Reino da Grã-Bretanha
Reino da Irlanda
Reino Unido
República da Irlanda (1919-1922)
Bandeira do Reino Unido
Brasão de armas do Reino Unido
Lema
Dieu et mon droit
Língua portuguesa
Hino nacional
God Save the Queen
Continente
Europa
Região
Ilhas Britânicas
País
República da Irlanda
Capital
Londres
Língua oficial
Língua inglesa
Língua ânglica escocesa
Língua galesa
Língua córnica
Língua gaélica escocesa
Religião oficial
Cristianismo
Forma de governo
Monarquia parlamentar
Lista de monarcas britânicos
Jorge III do Reino Unido
Jorge IV do Reino Unido
Guilherme IV do Reino Unido
Vitória do Reino Unido
Eduardo VII do Reino Unido
Jorge V do Reino Unido
Lista de primeiros-ministros do Reino Unido
"William Pitt, o Novo"
David Lloyd George
Poder legislativo
Parlamento do Reino Unido
Câmara dos Lordes
Câmara dos Comuns do Reino Unido
Século XVIII
Século XX
1 de janeiro
1801
Ato de União de 1800
31 de março
1922
Tratado Anglo-Irlandês
Lista de países e territórios por área
Lista de países por população
Moeda
Libra esterlina
Estado soberano
Estado Livre Irlandês
Reino Unido da Grã-Bretanha e Irlanda do Norte
França
Guerras Napoleônicas
Marinha Real Britânica
Império Britânico
Potência mundial
Napoleão Bonaparte
Batalha de Waterloo
Primeira Guerra Mundial
Grande potência
Guerra da Crimeia
Império Russo
África
Ásia
Guerras do ópio
Dinastia Qing
Canadá
Austrália
Nova Zelândia
Terra Nova
África do Sul
Domínio (política)
Política externa
Grande Fome Irlandesa
Economia mundial
Estados Unidos
Índia britânica
América do Sul
Império Alemão
Japão
Rússia
Itália
Potências Centrais
Áustria-Hungria
Império Otomano
Guerra de Independência da Irlanda
Escócia
História da Escócia
História da Inglaterra
História da Irlanda
História do País de Gales
História do Reino Unido
International Standard Book Number
Britânia Romana
Reino da Inglaterra
Principado de Gales
Reino da Escócia
Países do Reino Unido
Irlanda
Inglaterra
Irlanda do Norte
País de Gales
Dependências da Coroa Britânica
Guernsey
Jersey
Ilha de Man
Conselho Britânico-Irlandês
Ilhas do Canal
Grã-Bretanha
Hébridas
Hébridas Interiores
Hébridas Exteriores
Irlanda (ilha)
Ilhas Scilly
Órcades
Shetland
Auregnais
Língua de sinais britânica
Língua francesa
Guernésiais
Língua irlandesa
Jèrriais
Língua manesa
Sercquiais
Língua shelta
Britânicos
Córnicos
Ingleses
Romnichals
Irlandeses
Pavee
Escoceses
Galeses
Estado extinto
