Bandeira da Nicarágua
Brasão de armas da Nicarágua
"Salve a ti, Nicaragua"
América Central
Manágua
Língua castelhana
Gentílico
República unitária
Presidencialismo
Ditadura
Lista de presidentes da Nicarágua
Daniel Ortega
Vice-presidente
Rosario Murillo
Independência
Espanha
15 de Setembro
1821
25 de Julho
1850
19 de Julho
1979
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Costa Rica
Honduras
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Córdoba (moeda)
ISO 4217
Fuso horário
UTC−6
Lista de TLDs
.ni
Lista de códigos telefónicos
Golfo de Fonseca
El Salvador
Mar das Caraíbas
Colômbia
San Andrés e Providencia
Oceano Pacífico
Império Espanhol
Século XVI
Revolução Sandinista
República
Democracia representativa
Língua espanhola
Língua misquita
Línguas crioulas de base inglesa
Rubén Darío
Pablo Antonio Cuadra
Ernesto Cardenal
Atração turística
Gil González Dávila
História da Nicarágua
William Walker
José Santos Zelaya
Partido Liberal de Honduras
Adolfo Díaz
Juan Bautista Sacasa
José María Moncada
César Augusto Sandino
Anastasio Somoza García
Frente Sandinista de Libertação Nacional
Sandinistas
Contras
Unesco
Fundo Monetário Internacional
Lago Nicarágua
Organização dos Estados Americanos
Geografia da Nicarágua
Caribe
Pacífico
Política da Nicarágua
Montesquieu
Bandeira Nacional
Federação Centro-Americana
Brasão de Armas
Triângulo equilátero
Vulcão
Arco-íris
Barrete frígio
Hino nacional
América
Frade
Granada (Nicarágua)
Raquetes
Granada (departamento da Nicarágua)
Masaya
Carazo
Rivas (departamento)
Asteca
Departamentos da Nicarágua
Boaco (departamento)
Boaco
Departamento de Carazo
Jinotepe
Departamento de Chinandega
Chinandega
Departamento de Chontales
Juigalpa
Departamento de Estelí
Estelí (Nicarágua)
Jinotega (departamento)
Jinotega
Departamento de León
León (Nicarágua)
Departamento de Madriz
Somoto
Manágua (departamento)
Departamento de Masaya
Departamento de Matagalpa
Matagalpa
Departamento de Nueva Segovia
Ocotal
Departamento de Río San Juan
San Carlos (Nicarágua)
Departamento de Rivas
Rivas (Nicarágua)
Región Autónoma del Atlántico Norte
Bilwi
Región Autónoma del Atlántico Sur
Bluefields
DGEEC
Economia da Nicarágua
Cana-de-açúcar
Milho
Laranja
Banana
Abacaxi
Arroz
Mandioca
Sorgo
Feijão
Turismo na Nicarágua
Estados Unidos
América do Sul
Brasil
Argentina
Dinamarca
Noruega
Rivas
San Juan del Sur
Ometepe
Demografia da Nicarágua
População
Idioma
Religião
Cristianismo
Católico
Protestante
Morávios
Testemunhas de Jeová
Crescimento demográfico
Taxa de fecundidade
Expectativa de vida
Mortalidade infantil
Analfabetismo
IDH
León (departamento)
Masaya (departamento)
Tipitapa
Chinandega (Nicarágua)
Chinandega (departamento)
Matagalpa (departamento)
Estelí
Estelí (departamento)
Ciudad Sandino
Chontales
Alfabetização
Cultura da Nicarágua
Estádio Nacional de Futebol da Nicarágua
Beisebol
Major League Baseball
Los Angeles Dodgers
Boston Red Sox
Pitcher
Dennis Martínez
Jogo perfeito
Boxe
AMB
Conselho Mundial de Boxe
Federação Internacional de Boxe
Futebol
Testemunhas de jeová
Carlos Mejía Godoy
Luís Enrique Mejía Godoy
Grammy
Duo Guardabarranco
Clara Grun
Marimba
Maraca
Aliança Bolivariana para as Américas
América Central sob domínio mexicano
Lista de Estados soberanos
Lista de Estados soberanos e territórios dependentes da América
Missões diplomáticas da Nicarágua
República Federal da América Central
República Maior da América Central
International Standard Serial Number
Digital object identifier
Central Intelligence Agency
International Monetary Fund
Wikivoyage
Hino nacional da Nicarágua
Subdivisões da Nicarágua
Soberania
Belize
Guatemala
Panamá
América Central Insular
Arquipélago das Lucaias
Bahamas
Grandes Antilhas
Cuba
Haiti
Jamaica
República Dominicana
Pequenas Antilhas
Antígua e Barbuda
Barbados
Dominica
Granada (país)
Santa Lúcia
São Cristóvão e Neves
São Vicente e Granadinas
Trindade e Tobago
Estados
"Santo André, Providência e Santa Catarina"
França
Guadalupe
Martinica
Países Baixos
Bonaire
Saba
Santo Eustáquio (Países Baixos)
Venezuela
Nova Esparta
Dependências Federais da Venezuela
Território
Ilhas Virgens Americanas
Ilha de Navassa
Porto Rico
São Bartolomeu (coletividade)
São Martinho (França)
Aruba
Curaçau
São Martinho (Países Baixos)
Reino Unido
Anguila
Monserrate (ilha)
Ilhas Cayman
Ilhas Turcas e Caicos
Ilhas Virgens Britânicas
Bolívia
Canadá
Chile
Equador
Guiana
México
Paraguai
Peru
Suriname
Uruguai
Bandeira da Organização dos Estados Americanos
Carta da Organização dos Estados Americanos
Carta Democrática Interamericana
Estrutura da Organização dos Estados Americanos
Assembleia Geral da Organização dos Estados Americanos
Secretaria-geral da Organização dos Estados Americanos
Organização Pan-Americana da Saúde
Junta Interamericana de Defesa
Tratado Interamericano de Assistência Recíproca
Sistema Interamericano de Proteção aos Direitos Humanos
Convenção Americana sobre Direitos Humanos
Comissão Interamericana de Direitos Humanos
Corte Interamericana de Direitos Humanos
Instituto Interamericano da Criança
Cúpula das Américas
Banco Interamericano de Desenvolvimento
Capital Americana da Cultura
Pan-americanismo
Conferência Ibero-americana
Andorra
Portugal
Cabo Verde
Filipinas
Guiné Equatorial
Moçambique
Timor-Leste
Secretaria-Geral Ibero-Americana
Secretaria de Cooperação Ibero-americana
Associação de Bibliotecas Nacionais Ibero-americanas
Conferência de Autoridades Audiovisuais e Cinematográficas Iberoamericanas
Comunidade Ibero-americana de Nações
"Organização dos Estados Ibero-americanos para Educação, Ciência e Cultura"
União de Cidades Capitais Ibero-americanas
Ibero-América
Dinastia Filipina
Socialismo
História do movimento socialista no Brasil
História do socialismo no Canadá
História do movimento socialista nos Estados Unidos
Bandeira vermelha
Socialismo africano
Socialismo árabe
Britain's Road to Socialism
Via birmanesa para o socialismo
Socialismo com características chinesas
Sionismo trabalhista
Sandinismo
Revolução Bolivariana
República Popular de Angola
República Popular do Benim
República Popular do Congo
Derg
República Democrática Popular da Etiópia
República Popular de Moçambique
República Democrática Somali
Guiné-Bissau
São Tomé e Príncipe
Governo Revolucionário Popular de Granada
República Democrática do Afeganistão
Kampuchea Democrático
República Popular do Kampuchea
China
República Socialista Soviética da Pérsia
Governo Popular do Azerbaijão
República de Mahabad
Coreia do Norte
Laos
República Popular da Mongólia
República Popular de Tuva
Vietname
Vietnã do Norte
República do Vietname do Sul
República Democrática do Iêmen
Iêmen do Sul
Estado de Wa
República Socialista Popular da Albânia
República Soviética da Baviera
República Soviética de Bremen
República Popular da Bulgária
República Socialista da Checoslováquia
República Democrática da Finlândia
Alemanha Oriental
República Soviética Húngara
República Popular da Hungria
República Popular da Polónia
Romênia socialista
República Soviética Eslovaca
União Soviética
República Socialista Federativa da Iugoslávia
Base Virtual Internacional de Autoridade
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Sistema Universitário de Documentação
Biblioteca Nacional de Israel
Biblioteca Nacional da Austrália
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
Taxonomia
Medical Subject Headings
