Passaporte
País
América do Sul
Comunidade Andina
Equador
Peru
Venezuela
Visto
Bolívia
2006
2001
Organização de Aviação Civil Internacional
2005
31 de Dezembro
Bordô
Língua castelhana
Língua inglesa
Anexo:Lista de passaportes
Colômbia
Chile
Argentina
Brasil
Paraguai
Uruguai
México
Panamá
Banco de Desenvolvimento da América Latina
Parlamento Andino
Acordo de Cartagena
Integração sul-americana
Bandeira da Comunidade Andina de Nações
