Governo local
Municipalidade
Conselho de cidade
Prefeito
Língua francesa
Comuna da França
Hôtel de Ville
Moçambique
Município
Prefeitura
Brasil
Câmara municipal (Portugal)
Portugal
Vereador
Pelouro
Assembleia Municipal
Moldávia
Chişinău
Bălţi
Tiraspol
Língua moldávia
Partido dos Comunistas da República da Moldávia
Assembleia municipal
Assembleia da República (Portugal)
Freguesia
Sociedade civil
Wayback Machine
França
Itália
Países Baixos
Bélgica
Áustria
Marrocos
Noruega
