Dólmen
Anta (arquitetura)
Pleistoceno
Pantanal
Estado de conservação
Espécie vulnerável
Lista Vermelha da IUCN
Classificação científica
Reino (biologia)
Animal
Filo
Cordados
Classe (biologia)
Mamíferos
Ordem (biologia)
Perissodactyla
Família (biologia)
Tapirídeos
Género (biologia)
Tapirus
Espécie
Nomenclatura binomial
Carlos Lineu
Sinonímia (taxonomia)
Mamífero
Perissodáctilo
Venezuela
Argentina
Palmeira
Brasil
América do Sul
Crista sagital
Crina
Probóscide
Megafauna
Amazônia
Frugivoria
Semente
Onça-pintada
Onça-parda
Gestação
União Internacional para a Conservação da Natureza e dos Recursos Naturais
Criticamente em perigo
Llanos
Mata Atlântica
Caatinga
Andes
Caça predatória
Língua árabe
Alce
Língua espanhola
Língua tupi
Hippopotamus
Subespécie
Colômbia
Equador
Peru
Mato Grosso
Bolívia
Paraguai
Suriname
Guiana Francesa
Misiones (província)
Filogenia
Gene
Enzima
Mitocôndria
Citocromo c oxidase
Tapirus pinchaque
Istmo do Panamá
Tapirus kabomani
Citocromo b
Parafilético
Registro fóssil
Rio Juruá
Acre
Jacupiranga
Jaupaci
Chaco
Caça furtiva
Bioma
Vegetação ripária
Campo (bioma)
Forrageamento
Palmito-juçara
Jerivá
Floresta estacional semidecidual
Scheelea
Cerrado
Buriti
Eucalyptus
Corredor ecológico
Tapirus bairdii
Cernelha
Osteologia
Crânio
Osso temporal
Ontogênese
Músculo temporal
Nuca
Epiderme (pele)
Tecido fibroso
Incisivo
Talhadeira
Caninos
Pré-molar
Diastema
Molar (dente)
Cartilagem
Lábio
Músculo levantador do lábio superior
Levantador nasolabial
Músculo levantador do ângulo da boca
Nasal lateral
Ungulado
Ruminante
Intestino
Fermentação
Cavalo
Ceco
Dedo
Mauritia flexuosa
Ruminantes
Frugivorismo
Dispersão de sementes
Fezes
Crepuscular
Estro
Rio Amazonas
Frugívoro
Queixada
Caititu
Veado-mateiro
Tapir-centro-americano
Felino
Ectoparasita
Carrapato
Amblyomma
Neotrópico
Nemátodo
Fruto
Clareira
Floresta secundária
Espinho (botânica)
Espécie (biologia)
Rubiaceae
Melastomataceae
Arecaceae
Fabaceae
Araceae
Anacardiaceae
Euterpe edulis
Inajá
Patauá
Folha
Broto
Habitat
Diâmetro
Território (animal)
Área de vida
Parque Nacional de Brasília
Dor
Medo
Comportamento agonístico
Urina
Reflexo flehmen
Poliginia
Monogamia
Cio
Vulva
Anca
Cópula (biologia)
Cópula
Maturidade sexual
Ciclo reprodutivo
Parto
Desmame
Cativeiro
União Internacional para a Conservação da Natureza
Convenção sobre o Comércio Internacional das Espécies da Fauna e da Flora Silvestres Ameaçadas de Extinção
Desmatamento
Agricultura
Santa Catarina
Paraná
Espírito Santo (estado)
Rio de Janeiro (estado)
Espécie em perigo
Minas Gerais
Bahia
Rio Grande do Sul
São Paulo (estado)
Pouco preocupante
Lista de mamíferos ameaçados do Brasil
Serra do Mar
Agropecuária
Taxa (razão)
Extinção
Usina hidrelétrica
Usina Hidrelétrica Engenheiro Sérgio Motta
Pecuária
Zoonose
Febre aftosa
Região Sudeste do Brasil
Região Sul do Brasil
Manancial
Agrotóxico
Mineração
Petróleo
Reserva particular do patrimônio natural
Instituto de Pesquisas Ecológicas
Pontal do Paranapanema
Educação ambiental
Espécie bandeira
International Standard Book Number
OCLC
União Internacional para Conservação da Natureza
Digital object identifier
Grande Dicionário Houaiss
International Standard Serial Number
Zoológico de São Paulo
IUCN
Ministério do Meio Ambiente (Brasil)
Instituto Chico Mendes de Conservação da Biodiversidade
Wikimedia
Perissodáctilos
Chordata
Mammalia
Eutheria
Laurasiatheria
Hippomorpha
Equidae
Zebra
Equus
Cavalo-de-przewalski
Asno-selvagem-africano
Asno
Hemíono
Equus kiang
Zebra-de-grevy
Zebra-das-planícies
Zebra-das-montanhas
Ceratomorpha
Rhinocerotidae
Rhinoceros
Rinoceronte-indiano
Rinoceronte-de-java
Rinoceronte-de-sumatra
Rinoceronte-branco
Rinoceronte-negro
Tapirus indicus
Tapirus terrestris
Encyclopædia Britannica
Taxonomia
Enciclopédia da Vida
Organização Europeia e Mediterrânica para a Proteção das Plantas
Fossilworks Paleobiology Database
Global Biodiversity Information Facility
INaturalist
ITIS
Mammal Species of the World
National Center for Biotechnology Information
Convenção sobre o Comércio Internacional das Espécies Silvestres Ameaçadas de Extinção
Sistema Unificado de Linguagem Médica
