Arquitetura gótica
Viena
Áustria
Arquitetura revivalista
Inglaterra
Idade Média
Classicismo
Europa
Américas
Alemanha
França
Luís XVI
Rousseau
Eclectismo
Escocês
Friedrich Schlegel
Arquitetura paleocristã
Românico
Sturm und Drang
Basílica de Saint-Denis
Paris
Catedral
Espanha
Polônia
Bolonha
Arquitetura barroca
Carlo Rainaldi
Abóbada
Basílica de San Petronio
Oxford
Cambridge
Christopher Wren
Universidade de Oxford
Nicholas Hawksmoor
Bárbaro
Romantismo
Vitral
Iluminura
Tapeçaria
Literatura inglesa
Novela
O Castelo de Otranto
Horace Walpole
Ossian
Idílios do Rei
Alfred Tennyson
Rei Artur
Pitoresco
Estética
Rococó
Neoclássico
Robert Adam
James Wyatt
Abadia
Abadia de Fonthill
Wiltshire
William Adam (arquiteto)
Escócia
Andrea Palladio
Manufatura de Sèvres
Esmalte
Arcisse de Caumont
Normandia
Victor Hugo
Notre Dame de Paris
Prosper Merimée
Eugène Viollet-le-Duc
Abadia de Vézelay
Catedral de Notre Dame
Cidadela de Carcassona
Monte Saint-Michel
Palácio dos Papas de Avinhão
Catedral de Colônia
Duomo de Milão
Florença
Santa Maria del Fiore
Medici
Lorena
Arnolfo di Cambio
Campanário
Mosaico
Abbotsford
Sir Walter Scott
Grande Exposição
Augustus Pugin
Palácio de Windsor
Prataria
Palácio de Westminster
Cristã
Londres
Charles Barry
John Ruskin
Veneza
Sainte-Chapelle
Cantaria
Modernismo
Palácio de Cristal
Antoni Gaudí
Igreja da Inglaterra
Ideologia
Ritualismo
Berlim
Karl Friedrich Schinkel
Vitrúvio
Arquitetura renascentista
Jesuíta
Gótico
Goethe
Catedral de Estrasburgo
Johann Joachim Winckelmann
Arte grega
Castelo de Malbork
Ordem Teutónica
Catedral de Beauvais
Beauvais
Colônia (Alemanha)
Coro (arquitetura)
Império Austro-Húngaro
Parlamento de Budapeste
Danúbio
Cúpula
Brunelleschi
Arcobotante
Iluminismo
Racionalidade
Natureza
Ordem dórica
Ange-Jacques Gabriel
Palácio de Versalhes
Arquitetura neoclássica
Jacques-Germain Soufflot
Apologética
Napoleão Bonaparte
Catedral de Notre-Dame
Carcassonne
Kenneth Clark
Lâmpada incandescente
Elevador
Woolworth Building
Cass Gilbert
Chicago
Catedral de Liverpool
Universidade de Yale
Boston College
"Catedral de São João, o Divino"
Pedro II do Brasil
Teresina
Serra do Caraça
Minas Gerais
Catedral de Petrópolis
Rio de Janeiro
Ilha Fiscal
Botafogo (bairro do Rio de Janeiro)
Igreja Metodista do Catete
Neomanuelino
Real Gabinete Português de Leitura
São Paulo
Igreja Luterana
Martinho Lutero
Catedral Metropolitana de São Paulo
Paróquia Nossa Senhora da Conceição (Santa Ifigênia)
Catedral de Santos
Catedral da Boa Viagem
Belo Horizonte
Vitória (Espírito Santo)
Catedral Metropolitana de Fortaleza
Rio Grande do Sul
Catedral de Caxias do Sul
Capela do Santo Sepulcro
Flores da Cunha
Bento Gonçalves (Rio Grande do Sul)
Garibaldi (Rio Grande do Sul)
Veranópolis
Santa Cruz do Sul
Venâncio Aires
Igreja do Santíssimo Sacramento e de Santa Teresinha de Lisieux
Porto Alegre
Petrolina
Pernambuco
Basílica Menor Nossa Senhora do Rosário de Fátima (Embu das Artes)
Cotia
Embu das Artes
Arautos do Evangelho
Santos
Estilo neomanuelino
Palácio da Pena
Sintra
Portugal
Estilo manuelino
Torre de Belém
Mosteiro da Batalha
Mosteiro dos Jerónimos
Palácio de Monserrate
Palácio Hotel do Buçaco
Quinta da Regaleira
Palácio dos Condes de Castro Guimarães
Estação Ferroviária do Rossio
Soure (Portugal)
Elevador de Santa Justa
Lisboa
Ir para cima
Joseph Rykwert
Erwin Panofsky
Giulio Einaudi Editore
World Digital Library
Gótico da Crimeia
Alfabeto gótico
Cristandade gótica
Língua gótica
Godos
Baixa Idade Média
Gótico bielorrusso
Gótico de tijolos
Arquitetura gótica na Inglaterra
Gótico flamejante
Gótico radiante
Gótico isabelino
Arquitetura gótica na Itália
Arquitetura gótica em Portugal
Gótico mendicante
Arte gótica
Gótico internacional
Escrita gótica
Ficção gótica americana
Romantismo sombrio
Literatura gótica
Gótico do sul
Ficção científica gótica
Subcultura gótica
Cybergoth
Moda gótica
Filme gótico
Filme gótico romântico
Rock gótico
Metal gótico
Death rock
Dark wave
Ethereal wave
Dream pop
Cosmicismo
Dança macabra
Fantasia sombria
Drácula
Frankenstein
Expressionismo alemão
Giallo
Terror (gênero)
Terror psicológico
Gótico Lolita
Realismo mágico
Mal do século
Medievalismo
Memento mori
Ocultismo
Steampunk
Ubi sunt
Universal Monsters
Vampiro
Moda vitoriana
Romantismo na Alemanha
Romantismo no Brasil
Romantismo na Escócia
Romantismo em Portugal
Boémia (estilo de vida)
Herói byroniano
Contrailuminismo
Escola do Rio Hudson
Gesamtkunstwerk
Indianismo
Nacionalismo romântico
Nazarenos (arte)
Transcendentalismo
Ultrarromantismo
Lista de artistas do Romantismo
Khachatur Abovian
José de Alencar
Vittorio Alfieri
Hans Christian Andersen
Bettina von Arnim
Jane Austen
Álvares de Azevedo
Nicolau Baratashvili
Ievgueni Baratynski
Anna Laetitia Barbauld
Charles Baudelaire
William Blake
Hristo Botev
Clemens Brentano
William Cullen Bryant
Robert Burns
Lord Byron
Camilo Castelo Branco
António Feliciano de Castilho
Jacques Cazotte
François-René de Chateaubriand
John Clare
Samuel Taylor Coleridge
James Fenimore Cooper
Thomas de Quincey
Gonçalves Dias
Alexandre Dumas
Joseph Freiherr von Eichendorff
Ralph Waldo Emerson
Mihai Eminescu
José de Espronceda
Ugo Foscolo
Almeida Garrett
Théophile Gautier
Johann Wolfgang von Goethe
Nathaniel Hawthorne
Heinrich Heine
Alexandre Herculano
E. T. A. Hoffmann
Friedrich Hölderlin
Washington Irving
Jean Paul
John Keats
Heinrich von Kleist
Alphonse de Lamartine
Mariano José de Larra
Giacomo Leopardi
Mikhail Lérmontov
James Russell Lowell
Alexandru Macedonski
Gonçalves de Magalhães
Antoni Malczewski
Alessandro Manzoni
Prosper Mérimée
Adam Mickiewicz
Alfred de Musset
Mikael Nalbandian
Gérard de Nerval
Charles Nodier
Cyprian Norwid
Novalis
Adam Gottlob Oehlenschläger
Edgar Allan Poe
John William Polidori
Jan Potocki
France Prešeren
Alexandre Pushkin
Friedrich Schiller
Gustav Schwab
Walter Scott
Mary Shelley
P. B. Shelley
Taras Shevchenko
Juliusz Słowacki
Germaine de Staël
Stendhal
Ludwig Tieck
Ludwig Uhland
Mihály Vörösmarty
William Wordsworth
Vasily Zhukovsky
José Zorrilla y Moral
Ludwig Feuerbach
Johann Gottlieb Fichte
Georg Wilhelm Friedrich Hegel
Aleksei Khomiakov
Jean-Jacques Rousseau
August Wilhelm Schlegel
Friedrich Schleiermacher
Música do romantismo
Adolphe Charles Adam
Charles-Valentin Alkan
Daniel François Esprit Auber
Ludwig van Beethoven
Vincenzo Bellini
William Sterndale Bennett
Hector Berlioz
Louise Bertin
Franz Berwald
Johannes Brahms
Anton Bruckner
Luigi Cherubini
Frédéric Chopin
Gaetano Donizetti
Gabriel Fauré
John Field
César Franck
Mikhail Glinka
Jacques Fromental Halévy
Friedrich Kalkbrenner
Franz Liszt
Carl Loewe
Heinrich Marschner
Étienne Méhul
Fanny Mendelssohn
Felix Mendelssohn Bartholdy
Giacomo Meyerbeer
Stanisław Moniuszko
Ignaz Moscheles
Modest Mussorgsky
Niccolò Paganini
Anton Reicha
Nikolai Rimsky-Korsakov
Gioachino Rossini
Anton Rubinstein
Franz Schubert
Clara Schumann
Robert Schumann
Bedřich Smetana
Fernando Sor
Louis Spohr
Gaspare Spontini
Sigismond Thalberg
Giuseppe Verdi
Richard Wagner
Carl Maria von Weber
Pintura do romantismo
Ivan Konstantinovich Aivazóvski
Albert Bierstadt
Richard Parkes Bonington
Théodore Chassériau
Frederic Edwin Church
John Constable
Thomas Cole
Jean-Baptiste Camille Corot
Pierre Jean David
Eugène Delacroix
Caspar David Friedrich
Johann Heinrich Füssli
Théodore Géricault
Anne-Louis Girodet
Francisco de Goya
Hans Gude
Francesco Hayez
Emanuel Leutze
Samuel Palmer
Manuel de Araújo Porto-Alegre
Fleury François Richard
François Rude
Philipp Otto Runge
Ary Scheffer
William Turner
Philipp Veit
Antoine Wiertz
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Encyclopædia Britannica
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Itaú Cultural
