Esporte
Brasil
Bola
Saco
Crochê
Plástico
Futevôlei
Tênis
Mão
Curitiba
Paraná
2002
1998
Austrália
Footbag
2007
2008
Prefeitura
Santa catarina
2009
2010
Parque Barigui
2011
2012
Ministério do Esporte
Santa Catarina
Rio Grande do Sul
Cultura do Brasil
Esporte no Brasil
Desporto
