Pleistoceno
Pré-Cambriano
Câmbrico
Ordovícico
Silúrico
Devónico
Carbónico
Pérmico
Triássico
Jurássico
Cretácico
Paleogénico
Neogénico
Rio Piquirí
Pantanal
Reflexo flehmen
Rio São Lourenço (Mato Grosso)
Estado de conservação
Espécie quase ameaçada
Lista Vermelha da IUCN
Classificação científica
Reino (biologia)
Animalia
Filo
Chordata
Classe (biologia)
Mammalia
Ordem (biologia)
Carnivora
Família (biologia)
Felídeos
Pantherinae
Género (biologia)
Panthera
Espécie
Nomenclatura binomial
Carlos Lineu
Amazônia
Português brasileiro
Português europeu
Melanismo em felinos
Mamífero
América
Tigre
Leão
Continente americano
Leopardo
Evolução
Estados Unidos
Argentina
Extinto
Arizona
Novo México
Texas
Floresta tropical
Grande felino
Répteis
Tartaruga
Crepúsculo
Predador de emboscada
Predador
Cadeia alimentar
Ecossistema
Ecologia de populações
Herbívoro
Gado
Onça-parda
Área de vida
Rugido
Territorialidade
IUCN
Destruição de habitat
Fragmentação de habitat
América Central
América do Norte
Mata Atlântica
Tráfico de animais
Caça furtiva
América do Sul
Mitologia
Povos ameríndios
Indígenas
Maias
Astecas
Guaranis
Pantaneiro
Língua grega
Latim
Língua italiana
Brasil
Línguas tupi
Língua inglesa
Língua espanhola
Língua francesa
Paraguai
Nome científico
Etimologia popular
Sânscrito
Novo Mundo
Filogenia
Leopardo-das-neves
Leopardo-nebuloso
Táxon
Panthera tigris
Panthera uncia
Panthera pardus
Panthera leo
Clado
Grupo-irmão
Zoologia
Reginald Pocock
DNA
Jaguar-europeu
Leão-americano
DNA mitocondrial
Felino
Velho Mundo
Ásia
Beríngia
Panthera gombaszoegensis
África
Crânio
Variação clinal
Morfologia (biologia)
Subespécie
Acidente geográfico
Rio Amazonas
Fluxo gênico
Colômbia
Venezuela
Bacia amazônica
Peru
México
El Salvador
Sonora
Península de Iucatã
Belize
Guatemala
Panthera onca palustris
Mato Grosso
Mato Grosso do Sul
Rio Paraguai
Mammal Species of the World
Bacia Amazônica
Bolívia
Costa Rica
Península de Osa
Equador
Guiana Francesa
Guiana
Honduras
Nicarágua
Panamá
Suriname
Uruguai
Reserva Natural de Cockscomb
Sian Ka'an
Parque Nacional de Manú
Parque Indígena do Xingu
Parque Nacional do Iguaçu
Grand Canyon
Sul da Califórnia
Panthera onca augusta
Era do Gelo
Missouri
Carvalho
Armadilha fotográfica
Telemetria
Pampas
Cernelha
Américas
Reserva da Biosfera Chamela-Cuixmala
Crista sagital
Osso nasal
Côncavo
Anatomia
Hioide
Sínfise
Mandíbula
Fórmula dentária
Caninos
Acinonyx jubatus
Quilograma-força
Hiena
Anta-comum
Cotovelo
Digitígrado
Carnívoros
Garra
Camuflagem
Polimorfismo (biologia)
Melanismo
Taxa de mutação
Alelo
Vantagem do heterozigoto
Albinismo
Superpredador
Ser humano
Jacaré
Cobra
Boidae
Espécie-chave
Mesopredador
Simpatria
Noturno
Crepuscular
Jacaré-do-pantanal
Zona ribeirinha
Mazama (gênero)
Capivara
Anta-brasileira
Tayassuidae
Tamanduá-bandeira
Sucuri
Rato
Sapo
Ave
Cracidae
Peixe
Bicho-preguiça
Macaco
Dasipodídeos
Clamiforídeos
Paca
Ungulado
Queixada
Tapirus terrestris
Pecuária
Gado doméstico
Roedor
Aves
Jaguatirica
Lobo-guará
Cerdocyon thous
Quati
Mão-pelada
Osso temporal
Quelônio
Vértebra cervical
