Europa Ocidental
Guerra Fria
Estratégia da tensão
Maio de 1968
Alemanha
França
Itália
Extrema-esquerda
Extrema-direita
Europa
Cone Sul
Margarethe Von Trotta
Leão de Ouro
Festival Internacional de Cinema de Veneza
Gudrun Ensslin
Baader-Meinhof
Andreas Baader
Ulrike Meinhof
Hölderlin
Anos de chumbo (Brasil)
Ditadura militar no Brasil (1964–1985)
Desaparecidos políticos no Brasil
Terrorismo no Brasil
Brasil
AI-5
Governo Emílio Médici
Policia
Estado
Paramilitar
Guerra fria
Fração do Exército Vermelho
Brigadas Vermelhas
Propaganda pelo ato
Anarquista
OTAN
Descolonização
Viet-minh
Stay-behind
Gladio
Ordine Nuovo
Guerra do Vietnã
SS
Hanns-Martin Schleyer
1970
Bélgica
Guerrilha urbana
Ditadura dos coronéis
Anos de chumbo (Itália)
Democracia
Liberalismo
Socialismo
Agamben
Guerra civil
Crime comum
Anos de chumbo (Marrocos)
