Minas Gerais
Polvilho
Ovos
Sal
Óleo vegetal
Queijo
Brasil
Século XVIII
Desjejum
História da alimentação no Brasil
Mandioca
Biscoito
Ovo
Óleo
Banha
Manteiga
Margarina
Mussarela
Parmesão
Queijo de minas frescal
Paraguai
Uruguai
Argentina
Chipa
Colômbia
Equador
Bolívia
OCLC
Digital object identifier
International Standard Book Number
International Standard Serial Number
Wikilivros
