Partido Trabalhista Nacional
Renata Abreu
Pastor Everaldo
5 de março
1995
2 de outubro
1997
Lago Sul
Brasília
Distrito Federal (Brasil)
Conservadorismo liberal
Anticorrupção
Partido pega-tudo
Democracia direta
Janismo
Movimento operário
Espectro político
Centro-direita
Direita (política)
Mulheres na política
Partido Humanista da Solidariedade
Partido Social Cristão
Governador
Prefeitos
Senador
Deputado federal
Deputado estadual
Vereadores
Política do Brasil
Lista de partidos políticos do Brasil
Eleições no Brasil
Dorival de Abreu
José Masci de Abreu
Barack Obama
Estados Unidos
Tribunal Superior Eleitoral
Partido Trabalhista Brasileiro (1945)
Jânio Quadros
Getúlio Vargas
Eleição presidencial no Brasil em 1998
Thereza Ruiz
São Paulo (estado)
Eleições estaduais em São Paulo em 2006
Eleição presidencial no Brasil em 2014
João Carlos Bacelar Batista
Bahia
Christiane Yared
Paraná
Edson Moreira
Minas Gerais
Nacionalismo
Eleições municipais no Brasil em 2016
Crise econômica brasileira de 2014
Campanha presidencial de Barack Obama em 2008
Podemos (Espanha)
Conservadorismo
Centro (política)
Senado Federal
Alvaro Dias
Romário
José Antonio Medeiros
JBS
Governo Michel Temer
Progressistas
Avante
Chiquinho da Mangueira
Dica (político)
Jorge Picciani
Assembleia Legislativa do Estado do Rio de Janeiro
Paulo Melo
Edson Albertassi
Operação Cadeia Velha
Alexandre Baldy
Ministério das Cidades
Presidente do Brasil
Michel Temer
Campanha presidencial de Alvaro Dias em 2018
Eleição presidencial no Brasil em 2018
Paulo Rabello de Castro
Banco Nacional de Desenvolvimento Econômico e Social
Instituto Brasileiro de Geografia e Estatística
Eleições municipais no Brasil em 2020
Eduardo Braide
São Luís (Maranhão)
Maranhão
Jair Bolsonaro
Ministério da Justiça e Segurança Pública (Brasil)
Sergio Moro
Santos Cruz
Cláusula de barreira
Eleições gerais no Brasil em 2022
Esquerda (política)
Democracia participativa
Plebiscito
Referendo
Veto popular
Recall (política)
Privatização
Redistribuição de renda
Política verde
Foro especial por prerrogativa de função
Prisão em segunda instância no Brasil
Operação Lava Jato
Fundo Especial de Financiamento de Campanha
Rodrigo Cunha
Lista de senadores do Brasil da 56.ª legislatura
Lista de senadores do Brasil da 57.ª legislatura
Marcos do Val
Carlos Viana
Soraya Thronicke
Zequinha Marinho
Oriovisto Guimarães
Styvenson Valentim
Jorge Vianna
Aurelina Medeiros
Márcio da Farmácia
Eleições estaduais no Brasil em 2018
Justiça Eleitoral
Rodrigo Maroni
Jânio Natal
Aprígio
Taboão da Serra
Raimundo Costa
Lista de deputados federais do Brasil da 56.ª legislatura
Lista de deputados federais do Brasil da 57.ª legislatura
Gilson Daniel
Glaustin da Fokus
Fábio Macedo
Nely Aquino
Romero Rodrigues (político)
Lista de deputados federais do Brasil da 54.ª legislatura
Ruy Carneiro
Luiz Carlos Hauly
Lista de deputados federais do Brasil da 49.ª legislatura
Lista de deputados federais do Brasil da 50.ª legislatura
Lista de deputados federais do Brasil da 51.ª legislatura
Lista de deputados federais do Brasil da 52.ª legislatura
Lista de deputados federais do Brasil da 53ª legislatura
Lista de deputados federais do Brasil da 55.ª legislatura
Sargento Portugal
Mauricio Marcon
Bruno Ganem
Rodrigo Gambale
Câmara dos Deputados do Brasil
Lista de deputados federais do Brasil da 53.ª legislatura
Eleições estaduais no Brasil em 2022
Eleições estaduais no Acre em 2022
Gladson Cameli
Ney Amorim
Mailza Gomes
Eleições estaduais em Alagoas em 2022
Davi Davino Filho
Eleições estaduais no Amazonas em 2022
Henrique Oliveira
Eleições estaduais no Amapá em 2022
Gilvam Borges
Eleições estaduais na Bahia em 2022
ACM Neto
Cacá Leão
Eleições estaduais no Ceará em 2022
Capitão Wagner
Raimundo Matos
Eleições distritais no Distrito Federal em 2022
Paulo Octávio
Eleições estaduais no Espírito Santo em 2022
Renato Casagrande
Rose de Freitas
Ricardo Ferraço
Eleições estaduais em Goiás em 2022
Ronaldo Caiado
Delegado Waldir
Daniel Vilela
Vilmar Rocha
Eleições estaduais no Maranhão em 2022
Carlos Brandão
Flávio Dino
Eleições estaduais em Minas Gerais em 2022
Romeu Zema
Marcelo Aro
Igor Timo
Eleições estaduais em Mato Grosso do Sul em 2022
Rose Modesto
Luiz Henrique Mandetta
Eleições estaduais em Mato Grosso em 2022
Mauro Mendes
Wellington Fagundes
Otaviano Pivetta
Eleições estaduais no Pará em 2022
Helder Barbalho
Eleições estaduais na Paraíba em 2022
João Azevêdo
Pollyanna Dutra
Eleições estaduais em Pernambuco em 2022
Miguel Coelho
Alessandra Vieira
Eleições estaduais no Piauí em 2022
Eleições estaduais no Paraná em 2022
Álvaro Dias
Deltan Dallagnol
Eleições estaduais no Rio de Janeiro em 2022
Cláudio Castro
Thiago Pampolha
Eleições estaduais no Rio Grande do Norte em 2022
Eleições estaduais em Rondônia em 2022
Léo Moraes
Expedito Júnior
Eleições estaduais em Roraima em 2022
Eleições estaduais no Rio Grande do Sul em 2022
Eduardo Leite
Ana Amélia Lemos
Gabriel Souza
Eleições estaduais em Santa Catarina em 2022
Carlos Moisés
Celso Maldaner
Udo Döhler
Eleições estaduais em Sergipe em 2022
Alessandro Vieira
Eleições estaduais em São Paulo em 2022
Rodrigo Garcia
Eugênio José Zuliani
Eleições estaduais no Tocantins em 2022
Ronaldo Dimas
Carlos Amastha
Eleições estaduais no Acre em 2018
Marcus Alexandre
Jorge Viana
Josenildo Inácio
Eleições estaduais em Alagoas em 2018
Renan Filho
Renan Calheiros
Luciano Barbosa
Maurício Quintella Lessa
Eleições estaduais no Amazonas em 2018
David Almeida
Abdala Fraxe
Chico Preto
Eleições estaduais no Amapá em 2018
Davi Alcolumbre
Randolfe Rodrigues
Sebastião Bala Rocha
Eleições estaduais na Bahia em 2018
Rui Costa
Jacques Wagner
João Leão
Angelo Coronel
Eleições estaduais no Ceará em 2018
Camilo Santana
Eunício Oliveira
Izolda Cela
Eleições distritais no Distrito Federal em 2018
Rogério Rosso
Cristovam Buarque
Eleições estaduais no Espírito Santo em 2018
Fabiano Contarato
Eleições estaduais em Goiás em 2018
Jorge Kajuru
José Nelto
Lincoln Tejota
Wilder Morais
Eleições estaduais no Maranhão em 2018
Roberto Rocha
Zé Reinaldo
Aluísio Mendes
Graça Paz
Alexandre Almeida
Eleições estaduais em Minas Gerais em 2018
Adalclever Lopes
Fábio Cherem
Rosângela Reis
Neilando Pimenta
Eleições estaduais de Mato Grosso do Sul em 2018
Odilon de Oliveira
Eleições estaduais em Mato Grosso em 2018
Adilton Sachetti
Maria Lúcia Cavalli Neder
Eleições estaduais no Pará em 2018
Jader Barbalho
Lúcio Vale
Eleições estaduais na Paraíba em 2018
Veneziano Vital do Rêgo
Lígia Feliciano
Luiz Couto
Eleições estaduais em Pernambuco em 2018
Armando Monteiro
José Mendonça Filho
Ricardo Teobaldo
Eleições estaduais no Piauí em 2018
Elmano Férrer
Eleições estaduais no Paraná em 2018
Ratinho Júnior
Diego Alexsander Garcia
Paulo Roberto da Costa (político)
Darci Piana
Eleições estaduais no Rio de Janeiro em 2018
Bebeto
Marcelo Delaroli
Miro Teixeira
Eleições estaduais no Rio Grande do Norte em 2018
Carlos Eduardo Alves
Garibaldi Alves Filho
Antônio Jácome
Eleições estaduais em Rondônia em 2018
Confúcio Moura
Valdir Raupp
Eleições estaduais em Roraima em 2018
Suely Campos
Ângela Portela
Luciano Castro
Eleições estaduais no Rio Grande do Sul em 2018
Jairo Jorge
Eleições estaduais em Santa Catarina em 2018
Gelson Merisio
Esperidião Amin
João Paulo Kleinübing
Raimundo Colombo
Eleições estaduais em Sergipe em 2018
Diná Almeida
Zezinho Sobral
Eleições estaduais em São Paulo em 2018
Márcio França
Maurren Maggi
Marco Feliciano
Roberto de Lucena
Ataíde Teruel
Eleições estaduais no Tocantins em 2018
Vicentinho Alves
Ataídes Oliveira
Eleição presidencial no Brasil em 2010
Dilma Rousseff
Partido dos Trabalhadores
Movimento Democrático Brasileiro (1980)
Partido Liberal (2006)
Partido Socialista Brasileiro (1985)
Partido Democrático Trabalhista
Partido Comunista do Brasil
Republicanos (partido político)
Agir (Brasil)
Aécio Neves
Partido da Social Democracia Brasileira
Aloysio Nunes
Partido da Mobilização Nacional
Solidariedade (partido político)
Democratas (Brasil)
Patriota (Brasil)
Partido Trabalhista Brasileiro (1979)
Partido Republicano Progressista (1989)
Eleição presidencial no Brasil em 2022
Simone Tebet
Mara Gabrilli
Federação PSDB Cidadania
Financial Times
Gerson Camarotti
O Globo
Folha de S.Paulo
Veja (revista)
R7
Universo Online
Metrópoles (jornal)
Correio (jornal)
O Estado de S. Paulo
Congresso em Foco
G1
Agência Brasil
Correio Braziliense
CNN Brasil
Folha de Londrina
Gazeta do Povo
Partidos políticos no Brasil
Brasil
Partido Socialista dos Trabalhadores Unificado
Rede Sustentabilidade
Partido Comunista Brasileiro
Cidadania (partido político)
Partido Renovação Democrática
Democracia Cristã (Brasil)
Partido Renovador Trabalhista Brasileiro
Partido da Causa Operária
Partido Novo
Mobilização Nacional
Partido da Mulher Brasileira
Partido Verde (Brasil)
União Brasil
Partido Socialismo e Liberdade
Partido Social Democrático (2011)
Unidade Popular (Brasil)
Lista de partidos políticos brasileiros extintos
Retorno do pluripartidarismo no Brasil
Lista de fundações partidárias do Brasil
Fundo Partidário
Posicionamentos dos partidos brasileiros
