Ilha de Moçambique
Moçambique (dança)
Bandeira de Moçambique
Emblema da República de Moçambique
Pátria Amada
Maputo
Língua portuguesa
Gentílico
Moçambicanos
República
Semipresidencialismo
Sistema de partido dominante
Lista de presidentes de Moçambique
Filipe Nyusi
Lista de primeiros-ministros de Moçambique
Adriano Maleiane
Independência
Portugal
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Tanzânia
Zâmbia
Maláui
Essuatíni
Zimbábue
África do Sul
Densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhão
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Metical
ISO 4217
Fuso horário
Tempo Universal Coordenado
ISO 3166-1
Lista de TLDs
.mz
Lista de códigos telefónicos
África
Oceano Índico
Malawi
Zimbabwe
Bantus
Suaílis
Árabes
Vasco da Gama
Império Português
África Oriental Portuguesa
Guerra da Independência de Moçambique
República Popular de Moçambique
Guerra Civil Moçambicana
Presidencialismo
Recurso natural
Agricultura
Indústria
Alumínio
Petróleo
Turismo
Brasil
Espanha
Bélgica
Crescimento econômico
PIB per capita
Desigualdade econômica
Esperança de vida
Organização das Nações Unidas
País subdesenvolvido
Língua oficial
Segunda língua
Língua macua
Língua tsonga
Ndaus
Chuabo
Língua sena
Cristianismo
Islamismo em África
União Africana
Commonwealth
Comunidade dos Países de Língua Portuguesa
União Latina
Organização para a Cooperação Islâmica
Comunidade de Desenvolvimento da África Austral
Organização Internacional da Francofonia
História de Moçambique
Império de Gaza
Gungunhana
Khoisan
Línguas bantas
Rio Zambeze
Comunidade
Sociedade
Gado
Ferro
Idade Média
Sofala
Persas
Madagascar
Extremo Oriente
Palácio dos Capitães-Generais (Ilha de Moçambique)
Coral
Nampula
Rio Rovuma
Cabo da Boa Esperança
Portugueses
Ouro
Tete (cidade)
Prazos da Coroa
Sesmaria
Miscigenação
Cundas
Escravidão
Franceses
Forte Jesus de Mombaça
Quénia
Lisboa
Índia
Colonização do Brasil
Omã
Império Britânico
Companhia Britânica da África do Sul
Império colonial francês
Madagáscar
Companhia de Moçambique
Companhia da Zambézia
Companhia do Niassa
Britânicos
Transporte ferroviário
Africanos
Beira (Moçambique)
Estado Novo (Portugal)
António de Oliveira Salazar
Guerra Colonial Portuguesa
Exército de Portugal
Comunismo
Anticolonialismo
Independência de Moçambique
Guerrilha
Estado
Frente de Libertação de Moçambique
Eduardo Mondlane
África Ocidental Portuguesa
Angola
Guiné Portuguesa
Exército português
Democracia
Esquerda (política)
Junta de Salvação Nacional
Revolução dos Cravos
Acordos de Lusaka
Mina terrestre
FRELIMO
Estação do Caminho de Ferro de Maputo
Samora Machel
