UNESCO
Estado
Idioma
Constituição
País
Língua
Direito
Portugal
Brasil
Países Africanos de Língua Oficial Portuguesa
Timor-Leste
Língua portuguesa
Tétum
Paraguai
Bélgica
Suíça
África do Sul
Espanha
Língua galega
Galiza
Língua basca
País Basco
Navarra
Língua catalã
Catalunha
Baleares
Comunidade Valenciana
Aranês
Língua inglesa
República Popular da China
Macau
Hong Kong
Angola
Moçambique
Cabo Verde
Guiné-Bissau
Guiné Equatorial
São Tomé e Príncipe
Crioulo de base portuguesa
China
Línguas de Angola
Português de Angola
Comunidade dos Países de Língua Portuguesa
Kimbundu
Língua kongo
Umbundu
Côkwe (língua)
Língua cuanhama
Línguas do Brasil
Constituição brasileira de 1988
Língua brasileira de sinais
Luiz Inácio Lula da Silva
Surdez
Gramática
Língua Nheengatu
Tukano
Baniwa
São Gabriel da Cachoeira
Amazonas
Língua pomerana
Santa Maria de Jetibá
Espírito Santo (estado)
Pomerode
Santa Catarina
Língua italiana
Língua vêneta
Língua alemã
Dialeto Pomerano Oriental
Riograndenser Hunsrückisch
Região Sul do Brasil
Região Sudeste do Brasil
Caminho Pomerano
Região Norte do Brasil
Ministério do Turismo (Brasil)
Línguas de Moçambique
Língua nacional
Bantu
Constituição portuguesa de 1976
Mirandês
Miranda do Douro
Língua Gestual Portuguesa
Línguas de Timor-Leste
Língua castelhana
Reintegracionismo
CPLP
Língua materna
Lista de línguas oficiais
Lista de línguas por total de falantes
Geografia da língua portuguesa
LIBRAS
