Japão
Jigoro Kano
Idiotismo (linguística)
Portugal
Brasil
Kito-ryu
Aikido
Karate
Jiu-jitsu brasileiro
Mitsuyo Maeda
Yasuhiro Yamashita
Shiro Saigo
Kyuzo Mifune
Masahiko Kimura (judoca)
Português brasileiro
Português europeu
Arte marcial
Esporte de combate
1882
Defesa pessoal
Artes marciais
Artes marciais chinesas
Wushu
Baguazhang
Hsing-i chuan
Tai chi chuan
Wing chun
I-chuan
Shaolin quan
Bajiquan
Shuai jiao
Chin na
Kenpō
Sanshou
Budô
Bōjutsu
Bujutsu
Caratê
Iaidô
Jiu-jitsu
Judô
Kendo
Kenjutsu
Kyudo
Naguinata-do
Ninjutsu
Sôjutsu
Sumô
Artes marciais coreanas
Hapkidô
Haidong gumdo
Taekwondo
Tangsudo
Sipalki
Muay boran
Muay thai
Krabi krabong
Artes marciais vietnamitas
Viet vo dao
Qwan ki do
Eskrima
Krav magá
KAPAP
Boxe
Esgrima
Artes Marciais Históricas Europeias
Kickboxing americano
Jeet kune do
Luta greco-romana
Luta livre esportiva
Artes marciais mistas
Capoeira
Keysi
Sambo
Savate
Submission wrestling
Jogo do pau
Vale-tudo
Pancrácio
Dan (artes marciais)
Dojo
Hakama
Shihan
Chi kung
Samurai
Ninja
Jujutsu
Período Kamakura
Oriente
Desporto
Europa
Londres
Judogui
Obi (artes marciais)
Imigração japonesa no Brasil
Ju-Jutsu
Comodoro (patente)
Matthew Calbraith Perry
Era Meiji
Imperador Meiji
Cultura ocidental
Mestre
Samurais
Espada
Golpe
Golpe nos genitais
Educação física
Kanji
Dinâmica
Ação e reação
Kyusho-jitsu
Gravidade
Alavancas
Tóquio
Escola
Kodokan
Judô do Brasil
Criança
Década de 1910
Cidade de São Paulo
Restauração Meiji
Porto Alegre
Rio de Janeiro (estado)
São Paulo (estado)
Pará
Família Gracie
Luiz França (mestre de jiu-jitsu)
Araçatuba
Imigração japonesa ao Brasil
Confederação Brasileira de Judô
Academia desportiva
Medalha olímpica
Academia
América
Suzano
Região Metropolitana de São Paulo
Amazônia
Belém do Pará
Epidemia
Malária
Ameba
II Guerra Mundial
Polícia Militar do Estado do Rio de Janeiro
Academia Militar das Agulhas Negras
Judoca
Wazari
Ippon
Nocaute
Shido
Hansoku-Make
Técnicas do judô
Nage-Waza
Sensei
Fisiologia do exercício
Nutricionista
Fisioterapeuta
Psicólogo
Ir para cima
Federação Internacional de Artes Marciais
Wikimedia
Nage waza
Gokyo
Dai nikkyo
Dai sankyo
Dai gokyo
Katame waza
Shime waza
Kansetsu waza
Katas do judô
Itsutsu-no-kata
Ju-no-kata
Katame-no-kata
Kime-no-kata
Kodokan goshin-jutsu
Koshiki-no-kata
Nage-no-kata
Federação Internacional de Judô
União de Judô da Oceania
Campeonato Mundial de Judô
Judô nos Jogos Olímpicos
Teddy Riner
Noriko Anno
Xian Dongmei
Driulis González
Shokichi Natsui
Artes marciais japonesas
Combate corpo a corpo
Kickboxing
Luta de rua
Silat
Tiro com arco
Wrestling
África do Sul
Angola
Egito
Tahtib
Madagáscar
Nigéria
Senegal
Luta senegalesa
Síria
Somália
Sudão
Argentina
Esgrima crioula
Bolívia
Tinku
Aipenkuit
Huka-huka
Idjassú
Jiu-jítsu brasileiro
Luta marajoara
Maculelê
Seiwakai
Canadá
Colômbia
Equador
Estados Unidos
Chun kuk do
Kajukenbo
Kickboxing bando
Haiti
México
Peru
Rumi maki
Vacón
Venezuela
Camboja
Bokator
Pradal Serey
China
Shaolin do Norte
Choy lay fut
Hung gar
Lau gar
Louva-a-deus do norte
Louva-a-deus do sul
Nan quan
Piguaquan
Garra de águia
Zui quan
Neijia
Wudang quan
Neigong
Suai jiao
Coreia do Sul
Geon gon kwan
Gongkwon yusul
Hankido
Hankumdo
Hapkido
Hoi jeon moo sool
Soo bahk do
Subak
Taekkyeon
Filipinas
Artes marciais filipinas
Arnis
Kombatan
Yaw-yan
Índia
Artes marciais indianas
Gatka
Kabaddi
Kalari payattu
Malla khra
Mushti yuddha
Vajra mushti
Indonésia
Pencak silat
Israel
Budō
Jōdō
Iaidō
Kendō
Kyūdō
Naginata-dō
Shōrinji kenpō
Battōjutsu
Hojōjutsu
Iaijutsu
Kyujutsu
Shurikenjutsu
Sōjutsu
Kickboxing japonês
Shoot boxing
Tegumi
Laos
Muay Lao
Malásia
Silat melayu
Tomoi
Myanmar
Bando (arte marcial)
Lethwei
Naban
Thaing
Mongólia
Paquistão
Rússia
Buza (arte marcial)
Tailândia
Turquia
Uzbequistão
Vietname
Vovinam
Alemanha
Musado
Nindokai
Espanha
França
Canne de combat
Francombat
Gouren
Kinomichi
Reino Unido
Bartitsu
Boxe com as mãos nuas
Catch wrestling
Collar-and-elbow
Combate em ambientes confinados
Wrestling de Lancashire
Grécia
Pále
Pigmaquia
Luta Greco-romana
Islândia
Glíma
Itália
Kick jitsu
Galhofa
Romênia
Sérvia
Suíça
Ucrânia
Austrália
Nova Zelândia
Samoa Americana
Desporto olímpico
Jogos Olímpicos
Jogos Olímpicos de Verão
Atletismo nos Jogos Olímpicos
Badminton nos Jogos Olímpicos
Basquetebol nos Jogos Olímpicos
Boxe nos Jogos Olímpicos
Breaking nos Jogos Olímpicos
Canoagem nos Jogos Olímpicos
Ciclismo nos Jogos Olímpicos
