Triângulo (jiu-jitsu)
Esporte de combate
Contato pleno
Grappling
Brasil
Hélio Gracie
Carlos Gracie
Mitsuyo Maeda
Luiz França (mestre de jiu-jitsu)
Oswaldo Fadda
Kodokan Judo
Kanō Jigorō
Catch wrestling
Luta livre esportiva
Sambo
Artes Marciais Mistas
Submission grappling
Raul Gazolla
Luiz Fux
Sérgio Malandro
Saulo Ribeiro
Antônio Rodrigo Nogueira
Antônio Rogério Nogueira
BJ Penn
Demian Maia
Ed O'Neill
Fábio Gurgel
Fabricio Werdum
Família Gracie
Fernando Tererê
Frank Mir
Gabriel Gonzaga
Georges St-Pierre
Glover Teixeira
José Aldo
Manara
Rodolfo Vieira
Rousimar Palhares
Shinya Aoki
Ronaldo Souza
Vitor Belfort
Chris Weidman
Anderson Silva
Charles Oliveira
Leandro Lo
Marcus Almeida
Erberth Santos de Mesquita
Roger Gracie
Renzo Gracie
Royce Gracie
Júlio Secco
Carlson Gracie
Rickson Gracie
Ryan Gracie
Wallid Ismail
Murilo Bustamante
Ricardo Arona
Antonio Carlos Júnior (lutador)
Gilbert Burns
Gabi Garcia
Kyra Gracie
Mackenzie Dern
Augusto Ichisato
Língua japonesa
Artes marciais
Judô
Vale-tudo
Artes marciais mistas
UFC
Década de 1990
Pride Fighting Championships
Década de 2000
Chave de braço
Leglock
Mata-leão
Ju-jutsu
Ne waza
Katame waza
Tate waza
Kodokan
Kansetsu waza
Arte marcial
Japão
Aiquidô
Caratê
Okinawa
Krav maga
Israel
Capoeira regional
Índia
China
Jiu-jítsu
Século XIX
Mestre
Artes marciais japonesas
Jigoro Kano
Estados Unidos
Academia de West Point
Cuba
México
América Central
Luta livre olímpica
Pro wrestling
1915
Atlético Rio Negro Clube (Amazonas)
Belém do Pará
Rio de Janeiro (cidade)
Professor
Lutador
Estados brasileiros
1925
Golpe
Movimento de finalização
Artes marciais chinesas
Wushu
Baguazhang
Hsing-i chuan
Tai chi chuan
Wing chun
I-chuan
Shaolin quan
Bajiquan
Shuai jiao
Chin na
Kenpō
Sanshou
Budô
Aikido
Bōjutsu
Bujutsu
Iaidô
Jiu-jitsu
Kendo
Kenjutsu
Kyudo
Naguinata-do
Ninjutsu
Sôjutsu
