Rio Piquiri
Urubu-de-cabeça-preta
Praia
Porto Jofre
Foz
Rio São Lourenço (Mato Grosso)
Brasil
Panthera onca palustris
Rio
Mato Grosso
Região Centro-Oeste do Brasil
Afluente
Mato Grosso do Sul
Rio Correntes (Mato Grosso do Sul)
Parque Estadual de Encontro das Águas
Pantanal
Geografia do Brasil
Hidrografia
