José Wasth Rodrigues
Lema
11 de agosto
1827
Faculdade de Direito da Universidade de São Paulo
25 de janeiro
1934
Universidade pública
Universidade estadual (Brasil)
"Secretaria de Desenvolvimento Econômico, Ciência, Tecnologia e Inovação do Estado de São Paulo"
Localização geográfica
São Paulo
São Paulo (estado)
Brasil
Reitor
Carlos Gilberto Carlotti Júnior
Maria Arminda do Nascimento Arruda
Professor
Aluno
Graduação
Pós-graduação
Bauru
Universidade de São Paulo em Bauru
Lorena (São Paulo)
Escola de Engenharia de Lorena da Universidade de São Paulo
Piracicaba
Escola Superior de Agricultura Luiz de Queiroz
Pirassununga
Faculdade de Zootecnia e Engenharia de Alimentos da USP
Ribeirão Preto
Universidade de São Paulo em Ribeirão Preto
Santos
São Carlos (São Paulo)
Universidade de São Paulo em São Carlos
Azul
Amarelo
Associação das Universidades de Língua Portuguesa
Conselho de Reitores das Universidades Brasileiras
Rede Nacional de Extensão
Faubai
Índice Geral de Cursos
Exame Nacional de Desempenho de Estudantes
Orçamento
Universidade
Ibero-América
Mundo lusófono
Governo do estado de São Paulo
Universidade Estadual de Campinas
Universidade Estadual Paulista
Universidade Virtual do Estado de São Paulo
Ensino superior
América Latina
Campi
Cidade Universitária Armando de Salles Oliveira
University Ranking by Academic Performance
BRICS
Países em desenvolvimento
QS World University Rankings
Mestrado
Doutorado
Capes
História do Brasil
Presidente do Brasil
Fernando Henrique Cardoso
"Faculdade de Filosofia, Letras e Ciências Humanas da Universidade de São Paulo"
Jânio Quadros
Supremo Tribunal Federal
Faculdade de Medicina da Universidade de São Paulo
Século XX
Revolução Constitucionalista de 1932
Escola Livre de Sociologia e Política
Fundação Escola de Sociologia e Política de São Paulo
Governador
Armando de Salles Oliveira
Sergio Milliet
Claude Lévi-Strauss
Fernand Braudel
Roger Bastide
Emilio Willems
Donald Pierson
Pierre Monbeig
Herbert Baldus
"Faculdade de Filosofia, Letras e Ciências Humanas"
Escola Politécnica da Universidade de São Paulo
Faculdade de Farmácia e Odontologia da Universidade de São Paulo
Escola de Educação Física do Estado de São Paulo
Escola de Engenharia de São Carlos da Universidade de São Paulo
Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo
Anos 1960
Júlio de Mesquita Filho
Monumento a Ramos de Azevedo
Cidade universitária Armando de Salles Oliveira
Florestan Fernandes
Octavio Ianni
Paula Beiguelman
José Arthur Giannotti
Francisco Weffort
Azis Simão
Ruy Coelho
Eunice Ribeiro Durham
Ruth Cardoso
Ruy Fausto
Bóris Fausto
Paul Singer
Antonio Candido de Mello e Souza
Roberto Schwarz
Gioconda Mussolini
Regime militar no Brasil
Anistia
Edifício
Instituto de Física da Universidade de São Paulo
Humanidades
Campus USP de São Carlos
Engenharia Aeronáutica
Engenharia de computação
Engenharia Ambiental
Zona Leste de São Paulo
USP Leste
"Escola de Artes, Ciências e Humanidades"
Engenharia da computação
Escola de Engenharia de Lorena
Vale do Paraíba
Reintegração de posse na USP em 2011
Movimento estudantil na Universidade de São Paulo
João Grandino Rodas
José Serra
Partido da Social Democracia Brasileira
Polícia Militar do Estado de São Paulo
Butantã
Grupo de Operações Especiais (São Paulo)
Grupo de Ações Táticas Especiais (PMESP)
Instituto de Relações Internacionais da Universidade de São Paulo
Fuvest
Ensino Médio
Vestibular
Fundação Universitária para o Vestibular
Sistema de Seleção Unificada
Exame Nacional do Ensino Médio
Ministério da Educação (Brasil)
Medicina
Audiovisual
Engenharia
Direito
Relações internacionais
Ensino médio
Ensino público
Renda per capita
Vulnerabilidade social
Jogos Panamericanos de São Paulo
Museu de Arte Contemporânea da Universidade de São Paulo
Tomie Ohtake
"Faculdade de Economia, Administração e Contabilidade da Universidade de São Paulo"
Faculdade de Arquitetura e Urbanismo da Universidade de São Paulo
Reitoria
Museu
Hospital
HRACF
Centro Universitário Maria Antônia da Universidade de São Paulo
Ensino
Pesquisa
Extensão universitária
"Escola de Artes, Ciências e Humanidades da Universidade de São Paulo"
Geraldo Alckmin
Litoral de São Paulo
Engenharia de petróleo
Petróleo
Especialização
Ética
Cidadania
Gestão da cadeia logística
Logística
Homem
Mulher
Unesp
Unicamp
Imposto de Circulação de Mercadorias e Serviços
FAPESP
CNPq
Know-how
Biblioteca Florestan Fernandes
Biblioteca
Livro
Tese
Periódico
DEDALUS
Dissertação
Ciências exatas
Ciências biológicas
COVID-19
Museu de Arqueologia e Etnologia da Universidade de São Paulo
Museu de Ciências da Universidade de São Paulo
Museu de Zoologia da Universidade de São Paulo
Museu Paulista
Museu Paulista da Universidade de São Paulo
Conselho Nacional de Desenvolvimento Científico e Tecnológico
Universidade Humboldt
Berlim
Coronavirus
Prêmio IgNobel
Praça do Relógio (São Paulo)
América latina
Escola
Instituto
Faculdade
Conhecimento
Lista de instituições de ensino superior do Brasil
Lista de reitores da Universidade de São Paulo
Ano
"Lista de institutos, faculdades e escolas da Universidade de São Paulo"
Escola de Enfermagem da Universidade de São Paulo
Faculdade de Saúde Pública da Universidade de São Paulo
Arnaldo Vieira de Carvalho
Instituição
Faculdade de Direito da Universidade Federal de Pernambuco
Zona leste de São Paulo
Centro de Divulgação Científica e Cultural
Centro de Informática de São Carlos
EESC-USP
Rodovia Washington Luís
SP-310
Engenharia ambiental
Engenharia aeronáutica
Instituto de Física de São Carlos da Universidade de São Paulo
Instituto de Química de São Carlos da Universidade de São Paulo
Escola de Enfermagem de Ribeirão Preto da Universidade de São Paulo
Faculdade de Ciências Farmacêuticas de Ribeirão Preto da Universidade de São Paulo
Faculdade de Direito de Ribeirão Preto da Universidade de São Paulo
"Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto da Universidade de São Paulo"
"Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto da Universidade de São Paulo"
Faculdade de Medicina de Ribeirão Preto
Faculdade de Odontologia de Ribeirão Preto da Universidade de São Paulo
Centro de Energia Nuclear na Agricultura
Faculdade de Direito do Largo São Francisco
Escola Politécnica da USP
Faculdade de Medicina Veterinária e Zootecnia da Universidade de São Paulo
Faculdade de Medicina da USP
Faculdade de Odontologia de Bauru
Pessoa (biologia)
Odontologia
Fonoaudiologia
Hospital universitário
Área
Via Anhanguera
SP-330
Fernando Costa
UNICAMP
Engenharia Química
Engenharia de Materiais
Centro de Biologia Marinha da Universidade de São Paulo
Professor emérito
Pesquisa acadêmica
Jacques Marcovitch
Antônio Candido de Mello e Souza
Erney Felício Plessmann de Camargo
José Goldemberg
Celso Lafer
Camargo Guarnieri
Crodowaldo Pavan
Gofredo da Silva Teles Júnior
Mário Guimarães Ferri
André Dreyfus
Lista das 100 melhores universidades do mundo
Lista das universidades mais antigas do mundo
Revista Adusp
International Standard Book Number
Digital object identifier
Revista Exame
Folha de S.Paulo
Edusp
Twitter
Língua castelhana
Língua inglesa
YouTube
2017
Faculdade de Odontologia de Bauru da Universidade de São Paulo
Instituto de Arquitetura e Urbanismo da Universidade de São Paulo
Instituto de Ciências Matemáticas e de Computação
Curso de Ciências Moleculares
Escola de Comunicações e Artes da Universidade de São Paulo
Escola de Educação Física e Esporte da Universidade de São Paulo
Faculdade de Ciências Farmacêuticas da Universidade de São Paulo
Faculdade de Educação da Universidade de São Paulo
Faculdade de Odontologia da Universidade de São Paulo
"Instituto de Astronomia, Geofísica e Ciências Atmosféricas da Universidade de São Paulo"
Instituto de Biociências da Universidade de São Paulo
Instituto de Geociências da Universidade de São Paulo
Instituto de Matemática e Estatística da Universidade de São Paulo
Instituto Oceanográfico da Universidade de São Paulo
Instituto de Psicologia da Universidade de São Paulo
Instituto de Química da Universidade de São Paulo
Centro de Energia Nuclear na Agricultura da Universidade de São Paulo
"Centro de Pesquisa, Inovação e Difusão em Neuromatemática"
Instituto de Estudos Avançados da Universidade de São Paulo
Instituto de Estudos Brasileiros da Universidade de São Paulo
IEE
Instituto de Medicina Tropical de São Paulo
Núcleo de Estudos da Violência
Centro de Pesquisa sobre o Genoma Humano e Células-Tronco
Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo
Hospital de Reabilitação de Anomalias Crânio-Faciais
Hospital Universitário da Universidade de São Paulo
Instituto da Criança do Hospital das Clínicas da FMUSP
Instituto do Coração do Hospital das Clínicas da FMUSP
Instituto de Ortopedia e Traumatologia do Hospital das Clínicas da FMUSP
Instituto de Psiquiatria do Hospital das Clínicas da FMUSP
Centro de Preservação Cultural da Universidade de São Paulo
Museu da Educação e do Brinquedo
Museu de Anatomia Humana da Universidade de São Paulo
Museu de Anatomia Veterinária da Faculdade de Medicina Veterinária e Zootecnia da USP
Museu de Geociências do Instituto de Geociências da USP
Museu do Ipiranga
Museu Oceanográfico do Instituto Oceanográfico da Universidade de São Paulo
Museu Republicano de Itu
Parque de Ciência e Tecnologia da USP (CienTec)
Lista das Bibliotecas da Universidade de São Paulo
Biblioteca Brasiliana Guita e José Mindlin
Biblioteca Carlos Benjamin de Lyra
Biblioteca da ECA
Biblioteca da ESALQ
Biblioteca Dante Moreira Leite
Sistema Integrado de Bibliotecas da Universidade de São Paulo
Centro de Computação Eletrônica da Universidade de São Paulo
Centro de Práticas Esportivas da Universidade de São Paulo
Inova USP
Coral da Universidade de São Paulo
Escola de Arte Dramática da Universidade de São Paulo
Editora da Universidade de São Paulo
Estação Ciência da Universidade de São Paulo
Orquestra Sinfônica da Universidade de São Paulo
Instituto Dante Pazzanese de Cardiologia
Instituto de Pesquisas Energéticas e Nucleares
Instituto de Pesquisas Tecnológicas
Fundação Instituto de Pesquisas Econômicas
"Fundação Instituto de Pesquisas Contábeis, Atuariais e Financeiras"
Fundação Faculdade de Medicina
Fundação Carlos Alberto Vanzolini
Laboratório Aberto de Física Nuclear
Laboratório de Estudos do Romance
ThundeRatz
Associação Atlética Acadêmica Oswaldo Cruz
Centro Acadêmico Armando de Salles Oliveira
Centro Acadêmico Oswaldo Cruz
Centro Acadêmico Visconde de Cairu
Centro Acadêmico XI de Agosto
Departamento Jurídico XI de Agosto
Grêmio Politécnico
Diretório Central dos Estudantes Alexandre Vannucchi Leme
Festa do Livro da Universidade de São Paulo
Morte de Edison Tsung Chi Hsueh
Greves na Universidade de São Paulo em 2023
USP FM
"Faculdade de Filosofia, Ciências e Letras da Universidade de São Paulo"
Cultura da cidade de São Paulo
Brasão de São Paulo
Lista de bens tombados na cidade de São Paulo
Lista de consulados em São Paulo (cidade)
Lista dos distritos de São Paulo por população
Distritos policiais da cidade de São Paulo
Lista de favelas da cidade de São Paulo
História da cidade de São Paulo
Lista de museus da cidade de São Paulo
Lista de patrimônios culturais da cidade de São Paulo
Política e administração pública do município de São Paulo
Câmara Municipal de São Paulo
Lista de eleições municipais em São Paulo
Lista de prefeitos da cidade de São Paulo
Lista de primeiras-damas da cidade de São Paulo
Lista de vice-prefeitos da cidade de São Paulo
Turismo na cidade de São Paulo
ATP Challenger de São Paulo
Anima Mundi
Anime Friends
Brasil Game Show
Bienal Internacional de Arte de São Paulo
Bienal Internacional do Livro de São Paulo
Carnaval da cidade de São Paulo
Lista de escolas de samba e blocos carnavalescos de São Paulo
Lista de campeãs do carnaval de São Paulo
CCXP
Fenatran
Festival Internacional de Linguagem Eletrônica
Grande Prêmio do Brasil
São Paulo Indy 300
Lollapalooza
Maratona Internacional de São Paulo
Natal paulistano
Parada do Orgulho LGBT de São Paulo
Marcha para Jesus
Mostra Internacional de Cinema de São Paulo
Salão do Automóvel de São Paulo
São Paulo Fashion Week
Corrida Internacional de São Silvestre
Skol Beats
Virada Cultural
The Town Festival
Acervo Artístico-Cultural dos Palácios do Governo do Estado de São Paulo
Aquário de São Paulo
Arquivo Histórico Municipal (São Paulo)
Arquivo Público do Estado de São Paulo
Auditório Ibirapuera
Centro Cultural e de Estudos Superiores Aúthos Pagano
Alto das Nações
Lista de arranha-céus da cidade de São Paulo
Biblioteca Mário de Andrade
Edifício-sede da B3
Igreja de São Miguel Paulista
Capela do Morumbi
Casa Bandeirista do Itaim
Casa da Fazenda do Morumbi
Casa de Vidro
Casa do Butantã
Casa do Regente Feijó
Casa do Sertanista
Casa do Sítio da Ressaca
Casa das Rosas
Casa do Grito
Casa do Sítio Tatuapé
Casa Guilherme de Almeida
Catavento (museu)
Centro Cultural Banco do Brasil (São Paulo)
Centro Cultural São Paulo
Centro de Memória Bunge
Cinemateca Brasileira
Anhembi Parque
Residência Joaquim Franco de Melo
Casarão Marieta Teixeira de Carvalho
Casarão Sabbado D'Ângelo
Castelinho da Brigadeiro
Castelinho da rua Apa
Castelinho de Pirituba
Centro Empresarial Nações Unidas
Centro Histórico de São Paulo
Círculo Esotérico da Comunhão do Pensamento
Edifício da Associação Auxiliadora das Classes Laboriosas
Colégio São Francisco Xavier (São Paulo)
Conjunto Nacional
Edifício Altino Arantes
Edifício do Grupo Escolar São José
Edifício Copan
Edifício Dacon
Edifício Itália
Edifício Martinelli
Edifício Matarazzo
Edifício Prestes Maia
Edifício Sampaio Moreira
Edifício Victor Civita
Eldorado Business Tower
Fundação Cultural Ema Gordon Klabin
Escola Municipal de Astrofísica
Espaço Unimed
Estação Pinacoteca
Escola Estadual Amadeu Amaral
Escola Estadual Romão Puiggari
Estação da Luz
Estação Júlio Prestes
E-Tower
Antiga Unidade Sampaio Viana da Febem e Área Verde
Galeria do Rock
Edifício e Galeria Olido
Galeria Prestes Maia
Hakka Plaza
Itaú Cultural
Ipiranga 165
Fundação Maria Luisa e Oscar Americano
Memorial da América Latina
Marco zero da cidade de São Paulo
Mercado Municipal de São Paulo
Mirante do Jaguaré
Mirante do Vale
Monumento a Duque de Caxias
Monumento à Independência do Brasil
Monumento às Bandeiras
Obelisco de São Paulo
Olympia (casa de espetáculos)
Paço das Artes
Pinacoteca do Estado de São Paulo
Praça das Artes
Palacete Rosa
Palacete Violeta
Palácio 9 de Julho
Palácio das Indústrias
Palácio dos Bandeirantes
Palácio dos Cedros
Palácio dos Campos Elíseos
Palácio dos Correios (São Paulo)
Pátio do Colégio
Planetário Professor Aristóteles Orsini
Planetário do Carmo
Plaza Centenário
Quartel do Segundo Batalhão de Guardas
Residência de Júlio Guerra
Segunda Residência de Vilanova Artigas
Roda Rico
Sambódromo do Anhembi
