Itália
Comuna italiana
Regiões da Itália
Toscana
Províncias da Itália
Luca (província)
Território
População
Densidade populacional
Altitude
Camaiore
Lucca
Vecchiano
Viareggio
Istituto Nazionale di Statistica
Código postal
Região da Toscana
Província de Lucca
Quilómetro quadrado
Campanha da Itália
Linha Gótica
Força Expedicionária Brasileira
Demografia
1861
2011
Geografia
Província de Luca
Luca
Altopascio
Bagni di Lucca
Barga
Borgo a Mozzano
Camporgiano
Capannori
Careggine
Castelnuovo di Garfagnana
Castiglione di Garfagnana
Coreglia Antelminelli
Fabbriche di Vallico
Fabbriche di Vergemoli
Forte dei Marmi
Fosciandora
Gallicano
Giuncugnano
Minucciano
Molazzana
Montecarlo
Pescaglia
Piazza al Serchio
Pietrasanta
Pieve Fosciana
Porcari
San Romano in Garfagnana
Seravezza
Sillano
Stazzema
Vagli Sotto
Vergemoli
Villa Basilica
Villa Collemandina
