Lista de Estados soberanos
Lista de territórios dependentes
América
América do Norte
Canadá
Estados Unidos
Caribe
Mar do Caribe
América Latina
Hemisfério ocidental
Alasca
Hemisfério oriental
Oceano Atlântico
Eurafrásia
Islândia
Estado soberano
Soberania
Convenção de Montevideu
Organização das Nações Unidas
Organização dos Estados Americanos
Quilómetro quadrado
Bandeira de Antígua e Barbuda
Antígua e Barbuda
Língua inglesa
Saint John's
Dólar das Caraíbas Orientais
Bandeira da Argentina
Argentina
Língua castelhana
Buenos Aires
Peso argentino
Bandeira das Bahamas
Baamas
Nassau (Bahamas)
Dólar baamense
Bandeira dos Barbados
Barbados
Bridgetown
Dólar dos Barbados
Bandeira do Belize
Belize
Belmopã
Dólar do Belize
Bandeira da Bolívia
Bolívia
Língua aimará
Língua guarani
Língua quíchua
Sucre
La Paz
Boliviano (moeda)
Bandeira do Brasil
Brasil
Língua portuguesa
Brasília
Real brasileiro
Bandeira do Canadá
Língua francesa
Otava
Dólar canadiano
Bandeira do Chile
Chile
Santiago (Chile)
Valparaíso (Chile)
Peso chileno
Bandeira da Colômbia
Colômbia
Bogotá
Peso colombiano
Bandeira da Costa Rica
Costa Rica
São José (Costa Rica)
Colón costa-riquenho
Bandeira de Cuba
Cuba
Havana
Peso cubano
Peso convertível
Bandeira da Dominica
Domínica
Roseau
Bandeira da República Dominicana
República Dominicana
São Domingos (República Dominicana)
Peso dominicano
Bandeira do Equador
Equador
Quito
Dólar dos Estados Unidos
Bandeira dos Estados Unidos
"Washington, D.C."
Bandeira de Granada
Granada (país)
São Jorge (Granada)
Bandeira da Guatemala
Guatemala
Cidade da Guatemala
Quetzal (moeda)
Bandeira da Guiana
Guiana
Georgetown (Guiana)
Dólar da Guiana
Bandeira do Haiti
Haiti
Crioulo haitiano
Porto Príncipe
Gurde
Bandeira das Honduras
Honduras
Tegucigalpa
Comayagüela
Lempira
Bandeira da Jamaica
Jamaica
Kingston
Dólar jamaicano
Bandeira do México
México
Cidade do México
Peso mexicano
Bandeira da Nicarágua
Nicarágua
Manágua
Bandeira do Panamá
Panamá
Cidade do Panamá
Balboa (moeda)
Bandeira do Paraguai
Paraguai
Assunção
Guarani (moeda)
Bandeira do Peru
Peru
Lima
Novo sol
Bandeira do Salvador
Salvador (país)
São Salvador (Salvador)
Colón do Salvador
Bandeira de Santa Lúcia
Santa Lúcia
Castries
Bandeira de São Cristóvão e Neves
São Cristóvão e Neves
Basseterre
Bandeira de São Vicente e Granadinas
São Vicente e Granadinas
Kingstown
Bandeira do Suriname
Suriname
Língua neerlandesa
Paramaribo
Dólar do Suriname
Bandeira de Trindade e Tobago
Trindade e Tobago
Porto de Espanha
Dólar de Trindade e Tobago
Bandeira do Uruguai
Uruguai
Montevideu
Peso uruguaio
Bandeira da Venezuela
Venezuela
Caracas
Bolívar forte
Território dependente
Bandeira de Anguila
Anguila
The Valley
Território ultramarino britânico
Bandeira de Aruba
Aruba
Papiamento
Oranjestad
Florim de Aruba
Reino dos Países Baixos
Bandeira das Bermudas
Bermudas
Hamilton (Bermudas)
Dólar bermudense
Bandeira das Ilhas Caimão
Ilhas Caimão
George Town
Dólar das Ilhas Caimão
Bandeira de França
Ilha de Clipperton
França
Bandeira de Curação
Curaçau
Willemstad
Florim das Antilhas Neerlandesas
Bandeira das Ilhas Geórgia do Sul e Sanduíche do Sul
Ilhas Geórgia do Sul e Sanduíche do Sul
Grytviken
Libra esterlina
Bandeira da Gronelândia
Gronelândia
Língua groenlandesa
Nuuk
Coroa dinamarquesa
Reino da Dinamarca
Bandeira das Ilhas Malvinas
Ilhas Malvinas
Stanley (cidade)
Libra das Ilhas Malvinas
Bandeira de Monserrate
Montserrat
Plymouth
Brades
Ilha Navassa
Território não incorporado dos Estados Unidos
Bandeira de Porto Rico
Porto Rico
São João (Porto Rico)
Território organizado dos Estados Unidos
São Bartolomeu (Antilhas francesas)
Gustávia
Euro
Coletividade ultramarina
São Martinho (França)
Marigot (São Martinho)
Bandeira de São Martinho
São Martinho (Caraíbas)
Philipsburg
São Pedro e Miquelão
São Pedro (São Pedro e Miquelão)
Bandeira das Ilhas Turcas e Caicos
Ilhas Turcas e Caicos
Cockburn Town
Bandeira das Ilhas Virgens Britânicas
Ilhas Virgens Britânicas
Road Town
Bandeira das Ilhas Virgens dos Estados Unidos
Ilhas Virgens dos Estados Unidos
Charlotte Amalie
Bandeira de Bonaire
Bonaire
Kralendijk
Países Baixos Caribenhos
Países Baixos
Guadalupe
Basse-Terre
Departamento ultramarino
Guiana Francesa
Caiena
Martinica
Forte de França
Bandeira de Saba
Saba
The Bottom
Bandeira de Santo Eustáquio
Santo Eustáquio (Países Baixos)
Oranjestad (Santo Eustáquio)
Organizações
Economia
Política
Educação
Cultura
Segurança
Tecnologia
Saúde
Meio ambiente
Esporte
Organização Pan-Americana da Saúde
Organização Desportiva Pan-Americana
Organização do Tratado de Cooperação Amazônica
Cúpula das Américas
Parlamento Latino-americano
Sistema Econômico Latino-Americano
União de Nações Sul-Americanas
Banco do Sul
Parlamento Sul-Americano
Mercosul
Mercado Comum de Cidades
Parlamento do Mercosul
Comunidade Andina
Parlamento Andino
Grupo do Rio
Grupo de Contadora
Área de Livre Comércio das Américas
Acordo de Livre Comércio da América do Norte
"Tratado de Livre Comércio entre Estados Unidos, América Central e República Dominicana"
Alternativa Bolivariana para as Américas
Aliança para o Progresso
Associação dos Estados do Caribe
Comunidade do Caribe
Organização dos Estados Centro-Americanos
Parlamento Centro-Americano
Mercado Comum Centro-Americano
Associação Latino-Americana de Integração
Associação Latino-Americana de Livre Comércio
Lista de países da América por população
Lista de países da América do Sul por população
Lista das áreas metropolitanas das Américas por população
Ir para cima
Lista de Estados soberanos e territórios dependentes por continente
Lista de países e territórios da África
Lista de países da América do Norte
Lista de países da América do Sul
Antártida
Lista de Estados soberanos e territórios dependentes da Ásia
Lista de Estados soberanos e territórios dependentes da Europa
Lista de Estados soberanos e territórios dependentes da Oceania
África
Lista de países
África do Sul
Angola
Argélia
Benim
Botsuana
Burquina Fasso
Burundi
Cabo Verde
Camarões
Chade
Comores
República do Congo
Costa do Marfim
Djibuti
Egito
Eritreia
Essuatíni
Etiópia
Gabão
Gâmbia
Gana
Guiné
Guiné-Bissau
Guiné Equatorial
Lesoto
Libéria
Líbia
Madagáscar
Maláui
Mali
Marrocos
Maurícia
Mauritânia
Moçambique
Namíbia
Níger
Nigéria
Quénia
República Centro-Africana
República Democrática do Congo
Ruanda
São Tomé e Príncipe
Senegal
Serra Leoa
Seicheles
Somália
Sudão
Sudão do Sul
Tanzânia
Togo
Tunísia
Uganda
Zâmbia
Zimbábue
Ilha de Alborão
Ilhéu de Alhucemas
Canárias
Ceuta
Ilhas Chafarinas
Melilha
Ilhéu de Vélez de la Gomera
Maiote
Reunião (departamento)
Socotorá
Pantelária
Ilhas Pelágias
Região Autónoma da Madeira
"Santa Helena, Ascensão e Tristão da Cunha"
Saara Ocidental
Somalilândia
Banco do Geyser
Bassas da Índia
Ilha Europa
Ilhas Gloriosas
Ilha de João da Nova
Ilha Tromelin
Países da América
Bahamas
Dominica
El Salvador
Lista de países da América
Groenlândia
Monserrate (ilha)
São Bartolomeu (coletividade)
São Martinho (Países Baixos)
Turcas e Caicos
Ásia
Afeganistão
Arábia Saudita
Arménia
Azerbaijão
Bangladesh
Bahrein
Brunei
Butão
Camboja
Catar
Cazaquistão
China
Chipre
Coreia do Norte
Coreia do Sul
Emirados Árabes Unidos
Filipinas
Geórgia
Iémen
Índia
Indonésia
Irã
Iraque
Israel
Japão
Jordânia
Kuwait
Laos
Líbano
Maldivas
Malásia
Mongólia
Myanmar
Nepal
Omã
Paquistão
Quirguistão
Rússia
Singapura
Síria
Sri Lanka
Tajiquistão
Tailândia
Timor-Leste
Turquemenistão
Turquia
