Bandeira de Pernambuco
Brasão do estado de Pernambuco
Lema
Hino
Hino de Pernambuco
Gentílico
Regiões do Brasil
Região Nordeste do Brasil
Fronteira
Bahia
Piauí
Alagoas
Ceará
Paraíba
Regiões geográficas intermediárias e imediatas
Lista de regiões geográficas intermediárias e imediatas de Pernambuco
Lista de estados brasileiros por número de municípios
Recife
Lista de governadores de Pernambuco
Raquel Lyra
Partido da Social Democracia Brasileira
Priscila Krause
Cidadania (partido político)
Deputado federal
Lista de deputados federais do Brasil da 57.ª legislatura
Deputado estadual
Assembleia Legislativa de Pernambuco
Senado Federal do Brasil
Fernando Dueire
Movimento Democrático Brasileiro (1980)
Humberto Costa
Partido dos Trabalhadores
Teresa Leitão
Quilómetro quadrado
Lista de unidades federativas do Brasil por área
Lista de unidades federativas do Brasil por população
Densidade populacional
Lista de unidades federativas do Brasil por densidade demográfica
Produto interno bruto
Lista de unidades federativas do Brasil por PIB
Renda per capita
Lista de unidades federativas do Brasil por PIB per capita
Indicador social
Esperança de vida
Lista de unidades federativas do Brasil por expectativa de vida
Mortalidade infantil
Lista de unidades federativas do Brasil por mortalidade infantil
Alfabetização
Lista de unidades federativas do Brasil por alfabetização
Índice de Desenvolvimento Humano
Lista de unidades federativas do Brasil por IDH
Fuso horário
UTC−3
UTC−2
Clima tropical
Clima tropical de altitude
Clima semiárido
Classificação climática de Köppen-Geiger
ISO 3166-2:BR
Unidades federativas do Brasil
Brasil
Oceano Atlântico
Norte
Noroeste
Sudeste
Sudoeste
Oeste
Fernando de Noronha
Arquipélago de São Pedro e São Paulo
Palácio do Campo das Princesas
Petrolina
Caruaru
Garanhuns
Vitória de Santo Antão
Ciclo do pau-brasil
Cana-de-açúcar
Capitania de Pernambuco
América portuguesa
Ciclo do açúcar
Ilha de Itamaracá
Pero Capico
Engenho de açúcar
História do Brasil
Batalha dos Guararapes
Insurreição Pernambucana
Exército Brasileiro
Guerra dos Mascates
Revolução Pernambucana
Confederação do Equador
Revolução Praieira
Cultura popular
Capoeira
Coco (dança)
Frevo
Maracatu (ritmo)
Patrimônio histórico
Patrimônio artístico
Patrimônio arquitetônico
Movimento Armorial
Ariano Suassuna
Manguebeat
Chico Science
Topônimos tupi-guaranis no Brasil
Língua tupi
Relação genitiva
Olinda
Pau-brasil
Rio Capibaribe
Cabo de Santo Agostinho
Fernão de Noronha
Bento Teixeira
Prosopopeia
Literatura brasileira
Camões
Jorge de Albuquerque Coelho
História de Pernambuco
Pintura rupestre
Parque Nacional do Catimbau
Bom Jardim (Pernambuco)
Brejo da Madre de Deus
Necrópole
Metro quadrado
Ferramenta de pedra
Lasca
Agreste
Pinturas rupestres
Cariris
Caetés (tribo)
Tabajaras
Tapuias
Pancararus
Tacaratu
Petrolândia (Pernambuco)
Fulniôs
Águas Belas (Pernambuco)
Xucurus
Pesqueira
Saque do Recife
União Ibérica
Guerra Anglo-Espanhola
Vicente Yáñez Pinzón
Cabo de Santo Agostinho (acidente geográfico)
Brasil Colônia
Invasões holandesas no Brasil
Patrimônio Cultural da Humanidade
UNESCO
Convento de São Francisco (Olinda)
Franciscano
Igreja dos Santos Cosme e Damião
Igarassu
IPHAN
Gonçalo Coelho
Feitorias portuguesas
Cristóvão Jacques
Feitorias de Igaraçu e na Ilha de Itamaracá
Açúcar
Bertrand d'Ornesan
Peregrina (navio)
Andaluzia
Espanha
Algodão
Mar Mediterrâneo
Pero Lopes de Sousa
João III de Portugal
Capitanias do Brasil
Duarte Coelho
Capitania de Itamaracá
Carta de Foral
Fernão Cardim
Gabriel Soares de Sousa
João Pessoa
Porto Calvo
James Lancaster
Porto do Recife
Carta de corso
Inglaterra
Período elisabetano
"Matias de Albuquerque, Conde de Alegrete"
Estado do Brasil
França Equinocial
Jerônimo de Albuquerque Maranhão
Alexandre de Moura
Batalha de Guaxenduba
Daniel de La Touche
Forte de São Luís do Maranhão
Filipe III de Espanha
Companhia Holandesa das Índias Ocidentais
Salvador (Bahia)
Arraial do Rio Vermelho
Recôncavo baiano
Cádis
Lisboa
Francisco de Moura Rolim
Invasões holandesas do Brasil
Nova Holanda
Guerra Luso-Holandesa
América
Maurício de Nassau
Sinagoga Kahal Zur Israel
Sinagoga
Frota da prata
República Holandesa
Coroa da Espanha
Filipe IV de Espanha
Cabo Verde
Hendrick Lonck
Mauritsstad
Palácio de Friburgo
Observatório astronômico
Hemisfério Sul
Farol
Jardim botânico
Continente americano
Recife (Recife)
América Latina
Nicolaas Visscher
Batalha Naval dos Abrolhos
Invasão holandesa
Antônio Dias Cardoso
Casa Forte (Recife)
Indígenas
Escravo
Sirinhaém
Rio Formoso
Mandioca
Batalha de Tejucupapo
Inquisição
Amsterdã
Nova Iorque
Ilha de Manhattan
Estados Unidos
George Washington
Guerra de Independência dos Estados Unidos
Bolsa de Valores de Nova Iorque
Suprema Corte dos Estados Unidos
Franklin Roosevelt
Primeira Guerra Anglo-Neerlandesa
Sri Lanka
Ilhas Molucas
Indonésia
Império Português
Paz de Haia (1661)
Rio Ipojuca
Rio Una (Pernambuco)
Quilombo dos Palmares
Basílica e Convento de Nossa Senhora do Carmo (Recife)
Zumbi dos Palmares
Quilombo
Serra da Barriga
União dos Palmares
Comarca do Rio de São Francisco
"Conjuração de ""Nosso Pai"""
Conspiração dos Suassunas
Convenção de Beberibe
Engenho
Portugal
Jerônimo de Mendonça Furtado
Armando Frederico
Guerra da Restauração
Frei Caneca
Historiografia
Iluminismo
Revolução Francesa
Manuel Arruda Câmara
Sociedade Literária do Rio de Janeiro
Itambé (Pernambuco)
Loja maçônica
Areópago de Itambé
José Joaquim da Cunha Azeredo Coutinho
Padre Miguelinho
Revolução Pernambucana de 1817
Absolutismo
Luís do Rego Barreto
Dom João VI
Capitania de Alagoas
República
Liberalismo
Independência do Brasil
Pedro I do Brasil
Junta governativa pernambucana de 1821-1822
Império do Brasil
Movimento revolucionário
Constituição brasileira de 1824
Constituição do Brasil
Coroa Portuguesa
"Reino Unido de Portugal, Brasil e Algarves"
Thomas Cochrane
Arquivo Nacional (Brasil)
Período Regencial
Segundo Reinado
Pedro II do Brasil
Joaquim Nabuco
Proclamação da República do Brasil
José Cerqueira de Aguiar Lima
Barbosa Lima
Francisco de Assis Rosa e Silva
Vice-presidente do Brasil
Campos Sales
Política das Salvações
Hermes da Fonseca
Dantas Barreto
Manoel Borba
José Rufino Bezerra Cavalcanti
Sérgio Loreto
João Pessoa (político)
Getúlio Vargas
Revolução de 1930
Estácio Coimbra
Carlos de Lima Cavalcanti
Agamenon Magalhães
Barbosa Lima Sobrinho
Etelvino Lins
Cordeiro de Farias
Cid Sampaio
Ligas camponesas
Miguel Arraes
Golpe de Estado no Brasil em 1964
Vale do São Francisco
Geografia de Pernambuco
Mapa topográfico
Serra
Planalto
Brejo de altitude
Semiárido brasileiro
Praia
Planalto da Borborema
Depressão Sertaneja-São Francisco
Chapada do Araripe
Rio São Francisco
Sertão
Regiões hidrográficas do Brasil
Região hidrográfica do São Francisco
Região hidrográfica do Atlântico Nordeste Oriental
Bacias hidrográficas
Rio Goiana
Rio Beberibe
Rio Camarajibe
Rio Moxotó
Rio Pajeú
Rio Ipanema
Riacho do Navio
Déficit hídrico
África
Índice pluviométrico
Temperatura
Clima
Microclima
Floresta tropical e subtropical húmida
Floresta estacional semidecidual
Caatinga
Mata Atlântica
Ecótono
Área de Proteção Ambiental Costa dos Corais
Tamandaré (Pernambuco)
Instituto Chico Mendes de Conservação da Biodiversidade
Sistema Nacional de Unidades de Conservação da Natureza
Parques nacionais
Estação ecológica
Floresta nacional
Área de proteção ambiental
Reserva extrativista
Reserva biológica
Buíque
Ibimirim
Sertânia
