Hamburgo
Alemanha
Porto de Lisboa
Portugal
Onda
Corrente (oceanografia)
Oceano
Mar
Lago
Rio
Barco
Navio
Porto de Kobe
Japão
Porto marítimo
Estuário
Porto fluvial
Marina (litoral)
Quebra-mar
Molhe
Engenharia hidráulica
Modelos matemáticos
Modelos físicos
Hidráulica marítima
Chile
Valparaíso (Chile)
Porto de Miami
Estados Unidos
Canal
Calado
Vento
Estrada
Ferrovia
Agricultura
Segurança
Pireu
Grécia
Porto de Santos
Contentor
América Latina
Porto de Manaus
Estetino
Tecnologia
Lista de portos do Brasil
Brasil
Cidade
Santos
São Paulo (estado)
Porto de Paranaguá
Santa Catarina
Porto de Itajaí
Itajaí
Porto de Itapoá
Itapoá
Porto de São Francisco do Sul
São Francisco do Sul
Rio Grande do Sul
Porto de Rio Grande
Rio Grande (Rio Grande do Sul)
Espírito Santo (estado)
Porto de Vitória
Vitória (Espírito Santo)
Rio de Janeiro (estado)
Porto do Rio de Janeiro
Rio de Janeiro (cidade)
Porto de Angra dos Reis
Angra dos Reis
Porto de Itaguaí
Itaguaí
Bahia
Porto de Salvador
Salvador (Bahia)
Porto de São Sebastião
São Sebastião
Pernambuco
Porto de Suape
Ipojuca
Amazonas
Manaus
Maranhão
Ponta da Madeira
São Luís (Maranhão)
Porto do Itaqui
Alagoas
Porto de Jaraguá
Maceió
Porto de Singapura
Ásia
Xangai
Hong Kong
República Popular da China
Europa
Porto de Roterdã
Países Baixos
Porto de Sines
América
Los Angeles
Long Beach
Nova York
Nova Jérsei
África
Porto Said
Egito
Melbourne
Austrália
Panorama
Mundo
Base naval
Engenharia Hidráulica
Modelo matemático
Modelagem computacional
Usina maremotriz
Lista de portos de Portugal
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Encyclopædia Britannica
Gemeinsame Normdatei
Dicionário Histórico da Suíça
JSTOR
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Enciclopédia Treccani
