22 de maio
1979
Costa Rica
San José (Costa Rica)
Brasil
Tribunal
Organização dos Estados Americanos
Convenção Americana sobre Direitos Humanos
Tratado
Direitos Humanos
Sistema Interamericano de Proteção aos Direitos Humanos
OEA
Língua espanhola
Língua portuguesa
Língua inglesa
Língua francesa
Competência judicial
Estado
Comissão Interamericana de Direitos Humanos
Princípio do contraditório e da ampla defesa
Sentença
Lei
Juiz
Jurista
Uruguai
Colômbia
México
Argentina
Chile
Rodrigo Mudrovitsch
Antônio Augusto Cançado Trindade
Corte Internacional de Justiça
Roberto de Figueiredo Caldas
Violência doméstica
Assédio sexual
"Caso Gomes Lund e outros (""Guerrilha do Araguaia"") versus Brasil"
Tribunal Europeu de Direitos Humanos
Antígua e Barbuda
Bahamas
Barbados
Belize
Bolívia
Canadá
Cuba
Dominica
Estados Unidos
Equador
El Salvador
Granada (país)
Guatemala
Guiana
Haiti
Honduras
Jamaica
Nicarágua
Panamá
Paraguai
Peru
República Dominicana
Santa Lúcia
São Cristóvão e Neves
São Vicente e Granadinas
Suriname
Trindade e Tobago
Venezuela
Bandeira da Organização dos Estados Americanos
Carta da Organização dos Estados Americanos
Carta Democrática Interamericana
Estrutura da Organização dos Estados Americanos
Assembleia Geral da Organização dos Estados Americanos
Secretaria-geral da Organização dos Estados Americanos
Organização Pan-Americana da Saúde
Junta Interamericana de Defesa
Tratado Interamericano de Assistência Recíproca
Instituto Interamericano da Criança
Cúpula das Américas
Banco Interamericano de Desenvolvimento
Capital Americana da Cultura
Pan-americanismo
Direitos humanos
Direitos da criança
Direitos das mulheres
Direito natural
Lei positiva
Soberania
Jurisdição universal
História dos direitos humanos
Direito Internacional dos Direitos Humanos
Declaração Universal dos Direitos Humanos
Direito humano à água e ao saneamento
Direito ao armamento
Direitos civis
"Direitos difusos, coletivos e individuais homogêneos"
Direitos digitais
Direitos individuais e coletivos
Direito de morrer
Direito negativo
Direito positivo
Direitos políticos
Direitos de propriedade
Direito de resistência
Direitos reprodutivos
Direitos sociais
Direito à vida
Direitos dos animais
Direitos autorais
Direito do consumidor
Direitos fetais
Direitos da juventude
Direitos LGBT
Direitos da mulher
Direitos indígenas
Direitos do trabalhador
Nações Unidas
Human Rights Watch
Anistia Internacional
Médicos sem fronteiras
Associação Nacional de Jornais
Abuso de poder
Censura
Discriminação
Crime de guerra
Escravatura
Escravidão sexual
Intolerância religiosa
Punição corporal
Racismo
Trabalho infantil
Turismo sexual infantil
Direitos humanos na África
Epidemia
Exclusão social
Fome
Gerações de direitos humanos
Liberdades civis
Liberdade de expressão
Nobel da Paz
Base Virtual Internacional de Autoridade
Biblioteca Nacional da França
Encyclopædia Britannica
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Sistema Universitário de Documentação
Pontifícia Universidade São Tomás de Aquino
