Porto Alegre
Brasil
19 de julho
1971
Universidade
Universidade Federal do Rio Grande do Sul
Site
Ministério da Educação (MEC)
Lista de hospitais de Porto Alegre
"Escola de Educação Física, Fisioterapia e Dança da Universidade Federal do Rio Grande do Sul"
Escola de Enfermagem da Universidade Federal do Rio Grande do Sul
Escola de Engenharia da Universidade Federal do Rio Grande do Sul
Faculdade de Direito da Universidade Federal do Rio Grande do Sul
Faculdade de Farmácia da Universidade Federal do Rio Grande do Sul
Faculdade de Medicina da Universidade Federal do Rio Grande do Sul
Faculdade de Odontologia da Universidade Federal do Rio Grande do Sul
Instituto de Artes da Universidade Federal do Rio Grande do Sul
Instituto de Ciências Básicas da Saúde da Universidade Federal do Rio Grande do Sul
Instituto de Ciências e Tecnologia de Alimentos da Universidade Federal do Rio Grande do Sul
Instituto de Física da Universidade Federal do Rio Grande do Sul
Instituto de Pesquisas Hidráulicas da Universidade Federal do Rio Grande do Sul
Instituto de Química da Universidade Federal do Rio Grande do Sul
Colégio de Aplicação da Universidade Federal do Rio Grande do Sul
Rádio da Universidade
Jornal da Universidade
Biblioteca Central da UFRGS
Museu da Universidade Federal do Rio Grande do Sul
Museu de Mineralogia e Petrologia Luiz Englert
Museu de Topografia Prof. Laureano Ibrahim Chaffe
Observatório Astronômico da Universidade Federal do Rio Grande do Sul
Observatório Astronômico do Morro Santana
Planetário Professor José Baptista Pereira
Pinacoteca Barão de Santo Ângelo
Prédios históricos da Universidade Federal do Rio Grande do Sul
Beneficência Portuguesa de Porto Alegre
Hospital da Brigada Militar de Porto Alegre
Hospital Nossa Senhora da Conceição (Porto Alegre)
Hospital Fêmina
Hospital Materno-Infantil Presidente Vargas
Hospital de Pronto Socorro de Porto Alegre
Hospital Psiquiátrico São Pedro
Associação Hospitalar Vila Nova
Hospital Banco de Olhos de Porto Alegre
Hospital Divina Providência
Hospital Ernesto Dornelles
Hospital São Lucas
Hospital Mãe de Deus
Hospital Moinhos de Vento
Hospital Porto Alegre
Instituto de Cardiologia do Rio Grande do Sul
Santa Casa de Misericórdia de Porto Alegre
Hospital Independência
Hospital Restinga e Extremo-Sul
Antigo Hospital da Criança Santo Antônio (Porto Alegre)
Hospital Lazzarotto
Hospital Ipiranga (Porto Alegre)
Hospital Luterano de Porto Alegre
Hospital Parque Belém
Hospital Petrópolis
