Cecília Meireles (política)
Arquivo Nacional (Brasil)
7 de novembro
1901
Rio de Janeiro
Distrito Federal do Brasil (1891–1960)
9 de novembro
1964
Guanabara
Brasileiros
Fernando Correia Dias
Maria Fernanda Meireles Correia Dias
Alma mater
Instituto Superior de Educação do Rio de Janeiro
Professora
Conferencista
Professora universitária
Jornalista
Ensaísta
Folclorista
Pintora
Escritora
Tradutora
Jabuti
Gênero literário
Poesia
Prosa
Conto
Crônica
Teatro
Magnum opus
Romanceiro da Inconfidência
Catolicismo
Pintura
Poeta
Escritor
Professor
Modernismo brasileiro
Língua portuguesa
Discriminação de gênero
Estados Unidos
México
Argentina
Uruguai
Chile
Universidade do Texas em Austin
Texas
Hemisfério ocidental
Portugal
Europa
Israel
Índia
Doutorado
Vanguardismo
Nacionalista
Rio Comprido (bairro)
Banco do Brasil
Ensino fundamental
Ilha de São Miguel
Açores
Babá
Olavo Bilac
Livros
Música
Canto (música)
Violão
Violino
Conservatório Nacional de Música
Ópera
Apóstolo São Paulo
Literatura
Olho
Solidão
Avó
Historiador
Basílio de Magalhães
Osório Duque-Estrada
Orador
Pintor
Desenhista
Ilustrador
Artista plástico
Brasil
Artes gráficas
Modernismo em Portugal
Século XX
Fernando Pessoa
Ironia
Pedagogia
Educação
Diario de Noticias (Rio de Janeiro)
Atlântico: revista luso-brasileira
Arquiteto
Engenheiro
Instituto de Arquitetos do Brasil
Clóvis do Rego Monteiro
26 de agosto
Bélgica
Holanda
EUA
Língua alemã
Língua castelhana
Língua francesa
Língua húngara
Língua inglesa
Língua italiana
Universidade do Distrito Federal
Boston
França
Jawaharlal Nehru
Gandhi
Goa
Nova Deli
Doctor honoris causa
Rabindranath Tagore
Cemitério de São João Batista
Poema
Espectros (livro)
Freitas Bastos
Dezessete
Prefácio
Gramática
História
Lendas
Mitologia
Religião
Cleópatra
Maria Antonieta
Judite
Sansão
Dalila
Soneto
Simbolismo
Musicalidade
Melancolia
João Batista Ribeiro de Andrade Fernandes
Jornal
Jornal do Comércio
Métrica (poesia)
Acentuação
Parnasianismo
Coletânea
Nova Fronteira
Tasso da Silveira
Andrade Muricy
Semana de Arte Moderna
São Paulo (estado)
Oswald de Andrade
Sonetos
Cronista
Teatróloga
Língua russa
Hebraico
Línguas indo-iranianas
Sânscrito
Hindi
Doutor Honoris Causa
Universidade de Delhi
Charles Dickens
François Perroux
Alexandre Pushkin
Rainer Maria Rilke
Virginia Woolf
Bodas de Sangue
García Lorca
Li Po
Du Fu
Cruzeiro (1990–1993)
Cruzeiro Real
Academia Brasileira de Letras
Prêmio Jabuti - Poesia
Real Gabinete Português de Leitura
Instituto Vasco da Gama
Fajã de Cima
Ponta Delgada
Cruzado Novo
Banco Central do Brasil
Fernando Collor
Lisboa
"Criança, meu amor"
Ou Isto ou Aquilo
Raimundo Fagner
Joaquim Pedro de Andrade
Universidade de São Paulo
Cult (revista)
Recife
Fundação Joaquim Nabuco
International Standard Book Number
Manchete (revista)
Universidade Estadual Paulista
Câmara dos Deputados
Empresa Brasil de Comunicação
Itaú Cultural
Universidade Federal de Sergipe
Hemeroteca Municipal de Lisboa
Editora da Universidade de São Paulo
Skoob
Globo.com
Pontifícia Universidade Católica do Rio de Janeiro
Atlântida
Wikiquote
Prêmio Jabuti
José Paulo Moreira da Fonseca
Sosigenes Costa
Cassiano Ricardo
Mário da Silva Brito
Mário Chamie
João Cabral de Melo Neto
Carlos Drummond de Andrade
Stella Carr Ribeiro
Lupe Cotrim
Dora Ferreira da Silva
Geraldo Pinto Rodrigues
Lêdo Ivo
Mauro Motta
Yone Giannetti Fonseca
Domingos Carvalho da Silva
Adélia Prado
Lélia Coelho Frota
Sebastião Uchoa Leite
Rubens Rodrigues Filho
Francisco Alvim
Orides de Lourdes Teixeira Fontela
Hilda Hilst
Alphonsus de Guimaraens Filho
Armando Freitas Filho
Ilka Brunhilde Laurito
Antonio Fernando de Franceschi
Alice Ruiz
Manoel de Barros
Affonso Ávila
Carlito Azevedo
Arnaldo Antunes
Moacyr Amâncio
Haroldo de Campos
Vinicius de Moraes
Rubem Braga
Frederico Barbosa
Marina Colasanti
Ivan Junqueira
Bruno Tolentino
Paulo Leminski
Leonardo Fróes
Renata Pallottini
Waly Salomão
Thiago de Mello
A. B. Mendes Cadaxa
Alberto da Costa e Silva
Marly de Oliveira
Gerardo Melo Mourão
Salgado Maranhão
Ferreira Gullar
Anderson Braga Horta
Ivo Barroso
Geraldo Melo Mourão
Marcus Accioly
Alexei Bueno
Marco Lucchesi
Artur Eduardo Benevides
Antonio Risério
Affonso Romano de Sant'Anna
Ruy Espinheira Filho
Domingos Pellegrini
Eucanaã Ferraz
Gilberto Mendonça Teles
Ricardo Aleixo
Maria Lúcia Dal Farra
Zulmira Ribeiro Tavares
Ademir Assunção
Glauco Mattoso
Antonio Cicero
Horácio Costa
Zuca Sardan
Alexandre Guarnieri
Simone Brantes
Luci Collin
Mailson Furtado Viana
Hilda Machado
Cida Pedrosa
Base Virtual Internacional de Autoridade
Bibsys
Museu Britânico
Biblioteca Nacional da República Argentina
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Biblioteca Virtual Miguel de Cervantes
Catálogo de autoridades de nomes e títulos da Catalunha
CiNii
Biblioteca Digital para a Literatura Holandesa
Discogs
Encyclopædia Britannica
Bibliotheca Alexandrina
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
MusicBrainz
Biblioteca Nacional da Austrália
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Biblioteca Nacional do Brasil
Dicionário Cravo Albin da Música Popular Brasileira
Enciclopédia Açoriana
Universidade Federal de Santa Catarina
Biblioteca Nacional de Portugal
IMDb
Open Library
Biblioteca Nacional de Israel
