Língua filipina
Língua inglesa
Bandeira das Filipinas
Brasão de armas das Filipinas
Hino nacional das Filipinas
Manila
Cidade Quezon
Gentílico
República
Presidencialismo
Estado unitário
Lista de presidentes das Filipinas
Bongbong Marcos
Lista de vice-presidentes das Filipinas
Sara Duterte
Independência
Espanha
Estados Unidos
12 de junho
1898
4 de julho
1946
2 de fevereiro
1987
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
República da China
Palau
Indonésia
Malásia
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhões
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Peso filipino
ISO 4217
Fuso horário
Tempo Universal Coordenado
Horário de verão
ISO 3166-1
Lista de TLDs
.ph
Lista de códigos telefónicos
Arquipélago Malaio
Sudeste Asiático
Mar das Filipinas
Mar de Celebes
Mar de Sulu
Mar da China Meridional
Estreito de Lução
Taiwan
Estreito de Balabac
Vietnã
Capital
Grande Manila
Ilha
Lução
Vissaias
Mindanau
Ásia
Negritos
Austronésios
Datu
Rajá
Sultão
China
Malaios
História da Índia
Muçulmano
Fernão de Magalhães
Ruy López de Villalobos
Filipe II de Espanha
Miguel López de Legazpi
Império Espanhol
Igreja Católica
Galeão de Manila
Acapulco
México
Frota da prata
Século XIX
Revolução Filipina
Primeira República das Filipinas
Guerra Filipino-Americana
Segunda Guerra Mundial
Batalha das Filipinas (1944–1945)
Revolução do Poder Popular
Potência regional
Mercados emergentes
Países recentemente industrializados
Agricultura
Setor terciário
Manufatura
Dívida governamental
Organização das Nações Unidas
Organização Mundial do Comércio
Associação de Nações do Sudeste Asiático
Cúpula do Leste Asiático
Círculo de fogo do Pacífico
Linha do equador
Sismo
Ciclone tropical
Mudança do clima
Subida do nível do mar
Filipe II da Espanha
Príncipe das Astúrias
Paleolítico
Índia
Hinduísmo
Budismo
Baía de Manila
Reino de Tondo
Luzon
Sulu
Mindanao
Islão
Johor
Sultanato de Sulu
Império do Brunei
Laguna de Bay
Cebu (ilha)
Catolicismo
Mactán
Lapu-Lapu
Divindade
Natureza
Cultura
Mutilação
Sexta-feira santa
Leyte (ilha)
Samar (ilha)
Rei da Espanha
Felipe II da Espanha
Cebu (cidade)
Capitania-Geral das Filipinas
Vice-Reino da Nova Espanha
Corrente oceânica
Ventos
América
Relações entre Estados Unidos e Filipinas
Independência da América Espanhola
José Rizal
Katipunan
Andrés Bonifácio
Dapitan
Emilio Aguinaldo
Guerra Hispano-Americana
Porto Rico
Guam
Língua tagalo
Commonwealth (área insular dos Estados Unidos)
Manuel Quezón
Sergio Osmeña
Império do Japão
Segunda República das Filipinas
José P. Laurel
Estado-fantoche
Guerrilha
Marcha da Morte de Bataan
Massacre de Manila
Tratado de Manila (1946)
Manuel Roxas
Rebelião Hukbalahap
Elpidio Quirino
Ramon Magsaysay
Carlos Polistico Garcia
Diosdado Macapagal
Conflito em Bornéu do Norte
Ferdinando Marcos
Imelda Marcos
Guerra do Vietnã
Lei marcial
Repressão política
Censura
Direitos humanos
Aeroporto Internacional Ninoy Aquino
Fraude eleitoral
Havaí
Corazón Aquino
Novo Exército Popular
Conflito Moro
MV Doña Paz
Pinatubo
Fidel Valdez Ramos
Crise financeira asiática de 1997
Joseph Estrada
Segunda Revolução do Poder Popular
Gloria Macapagal-Arroyo
Noynoy Aquino
Disputas territoriais no mar da China Meridional
Tufão Haiyan
Cidade Davao
Rodrigo Duterte
Guerra contra o narcotráfico nas Filipinas
Bangsamoro
Pandemia de COVID-19
Imagem de satélite
Geografia das Filipinas
Arquipélago
Longitude
Latitude
Visayas
Clima
Estação do ano
Verão
Floresta húmida
Apo
Vulcão
Pacífico
Placa tectónica
Placa Euroasiática
Placa do Pacífico
Placa das Filipinas
Carlito syrichta
Mamífero
Florestas tropicais
Pássaro
Planta
Animais
Países megadiversos
Vertebrado
Ave
Endemismo
Predador
Cobra
Píton
Crocodilo-de-água-salgada
Aves de rapina
Pithecophaga jefferyi
Águia
Paradoxurus hermaphroditus
Dugongo
Bohol
Orquídea
Raflésia
Clima tropical
Monção
°C
Nível do mar
Baguio
Tufão
Demografia das Filipinas
Censo
Crescimento populacional
Expectativa de vida
Lista de regiões metropolitanas por população
Subúrbio
Bulacão
Regiões das Filipinas
Dasmariñas
Cagayan de Oro
Caloocan
Parañaque
Davao
Região de Davao
Las Piñas
Cebu
Visayas Centrais
General Santos
Zamboanga
Península de Zamboanga
Makati
Antipolo
Calabarzon
Bacolod
Região VI
Pasig
Muntinlupa
Taguig
San Jose del Monte
Valenzuela (Filipinas)
Marikina
Cebuanos
Língua hiligaynon
Língua waray-waray
Ilocano
