Reino de Portugal
Coroa de Castela
Coroa de Aragão
Espanha dos Habsburgos
História de Portugal (1640–1777)
Bandeira Cruz de Borgonha
Brasão de armas de Espanha
Lema
Plus ultra
Continente
Europa
Região
Europa meridional
País
Espanha
Portugal
Capital
Madrid
Língua oficial
Língua espanhola
Língua portuguesa
Religião oficial
Igreja Católica
Forma de governo
Monarquia composta
Lista de monarcas da Espanha
1580
1598
Filipe II de Espanha
1621
Filipe III de Espanha
1640
Filipe IV de Espanha
Poder legislativo
Cortes Gerais (Espanha)
25 de agosto
Guerra da Sucessão Portuguesa
1 de dezembro
Guerra da Restauração
Moeda
Real espanhol
Real (moeda portuguesa)
Península Ibérica
Monarquia de Portugal
Monarquia da Espanha
Crise de sucessão de 1580
Dinastia Filipina
Sancho III de Navarra
Afonso VII de Leão e Castela
Miguel da Paz
Manuel I de Portugal
Isabel de Aragão (1470)
História de Portugal
Dinastia de Bragança
Império Português
Tráfico negreiro
Guerra dos Trinta Anos
Dinastia de Aviz
Batalha de Alcácer-Quibir
"António, Prior do Crato"
João III de Portugal
"João Manuel, Príncipe de Portugal"
Dinastia de Avis
Sebastião I de Portugal
Cardeal D. Henrique
"Catarina, infanta de Portugal, duquesa de Bragança"
Conselho de Castela
Conselho de Portugal
Conselho das Índias
Conselho de Governadores do Reino de Portugal
Rei de Portugal
Terço (militar)
Duque de Alba
Fernando Álvarez de Toledo y Pimentel
Batalha de Alcântara
Diogo de Meneses (governador da Índia)
Desembarque da Baía das Mós
Ilha Terceira
El Escorial
Cortes de Tomar
Casa de Habsburgo
Açores
Alberto de Áustria
Vice-rei de Portugal
Corte (realeza)
Lisboa
Sevilha
Barcelona
Valladolid
Chanceler
Junta de Portugal
Restauração da Independência
Ceuta
Monarquia Habsburgo
Coroa de Portugal
Ordem do Tosão de Ouro
Salão dos Reinos
Cortes de Tomar de 1581
Vice-rei
Conselho de Estado
Mesa da Consciência e Ordens
Inquisição Portuguesa
Desembargo do Paço
Bacharéis
Ordenações Filipinas
Conselho da Fazenda
Vedor da Fazenda
Mesa da Consciência
Sebastianismo
Luís Mendes de Vasconcelos
Guerra Luso-Holandesa
Império português
Meridiano de Tordesilhas
"João Teixeira Albernaz, o velho"
Oceano Índico
Oceano Pacífico
Oceano Atlântico
Tratado de Windsor (1386)
Isabel I da Inglaterra
Guerra Anglo-Espanhola
Ceilão
Japão
África
São Jorge da Mina
Salvador (Bahia)
Olinda
Recife
Maurício de Nassau
Companhia Holandesa das Índias Ocidentais
Sergipe
São Luís do Maranhão
"João Teixeira Albernaz, o Velho"
Batalha dos Guararapes
Insurreição Pernambucana
Exército Brasileiro
Dezessete Províncias
Capitania da Bahia
Capitania de Pernambuco
Invasões holandesas no Brasil
Jornada dos Vassalos
Mar do Caribe
Tratado de Tordesilhas
Uti possidetis
Rio Grande do Sul
Rio da Prata
Andes
Buenos Aires
Colônia do Sacramento
Tratado de Madrid (1750)
João IV de Portugal
Isabel I de Inglaterra
Contra armada inglesa
Conde-duque de Olivares
Nobreza
Burguesia
Guerra dos Segadores
Cardeal Richelieu
"Antão de Almada, 7.º conde de Avranches"
Miguel de Almeida 4.º conde de Abrantes
João Pinto Ribeiro
Quarenta Conjurados
Miguel de Vasconcelos
Defenestração
Praça do Comércio
"Margarida de Saboia, Duquesa de Mântua"
Filipe IV da Espanha
Batalha de Montijo
Batalha das Linhas de Elvas
Batalha do Ameixial
Batalha de Castelo Rodrigo
Batalha de Montes Claros
Conselho de Guerra
Instituto Ricardo Brennand
França
Inglaterra
República Neerlandesa
Tratado de Haia (1641)
Malaca
Salvador Correia de Sá e Benevides (militar)
Angola
São Tomé e Príncipe
Brasil
Mascate
Cabo da Boa Esperança
Guerra civil inglesa
Oliver Cromwell
Tratado dos Pirenéus
Luísa de Gusmão
Afonso VI de Portugal
Catarina de Bragança
Carlos II de Inglaterra
Tânger
Bombaim
Libras esterlinas
Tratado de Haia (1661)
Cochim
Pedro de Bragança
Pedro II de Portugal
"Luís de Vasconcelos e Sousa, 3.º Conde de Castelo Melhor"
Tratado de Lisboa (1668)
Carlos II de Espanha
Dinastia
Ducado
Casa de Bragança
Casa de Aviz
Afonso V de Portugal
"Afonso I, Duque de Bragança"
João I de Portugal
Beatriz Pereira de Alvim
Nun'Álvares Pereira
"João I, Duque de Bragança"
"Catarina de Portugal, duquesa de Bragança"
Giovanni Pierluigi da Palestrina
Iberismo
Monarquia Dual
União real
União pessoal
Estado
Reino de Castela
Reino de Aragão
Hispânia
Henry Kamen
International Standard Serial Number
International Standard Book Number
História militar de Portugal
Batalha de Cesar
Batalha de Pedroso
Batalha de Arouca
Batalha de Vatalandi
Batalha de São Mamede
Batalha de Cerneja
Batalha de Ourique
Torneio de Arcos de Valdevez
Conquista de Santarém
Cerco de Lisboa (1147)
Cerco de Badajoz
Cerco de Alcácer do Sal (1217)
Conquista de Faro (1249)
Batalha do Salado
Guerras fernandinas
Crise dinástica de 1383–1385
Conquista de Ceuta
Guerra de Sucessão de Castela
Batalha de Diu
Conquista portuguesa de Goa
Conquista de Malaca (1511)
Guerra de Iguape
Conflitos Luso-Turcos
Guerra da Sucessão Espanhola
Batalha de Matapão
Guerra Luso-Espanhola (1735–1737)
Guerra Guaranítica
Guerra Fantástica
Guerra hispano-portuguesa (1776–1777)
Campanha do Rossilhão
Cerco de Malta (1798–1800)
Guerra das Laranjas
Guerra Peninsular
Guerra contra Artigas
Guerra da Independência do Brasil
Guerra Civil Portuguesa (1832-1834)
Campanhas de Pacificação e Ocupação
Portugal na Primeira Guerra Mundial
Batalha de Timor
Invasão de Dadrá e Nagar Aveli
Invasão de Goa
Guerra Colonial Portuguesa
Movimento das Forças Armadas
