Literatura
Literatura do Brasil
Latim
Medieval
Galiza
Renascimento
Gil Vicente
Bernardim Ribeiro
Sá de Miranda
Poesia épica
Luís de Camões
Os Lusíadas
Barroco
António Vieira
Manuel Bernardes
Francisco Rodrigues Lobo
Neoclassicismo
Academia
Arcadismo
Almeida Garrett
Romantismo
Alexandre Herculano
Rebelo da Silva
Realismo
Eça de Queirós
Ramalho Ortigão
Camilo Castelo Branco
Fernando Pessoa
Ficção
António Lobo Antunes
José Saramago
Prémio Nobel
Dinis I de Portugal
Galaico-portuguesa
Afonso X o Sábio
Cantiga
Galaico-português
João Soares de Paiva
Paio Soares de Taveirós
Cantiga da Ribeirinha
Afonso III de Portugal
D. Dinis
Cantigas de Santa Maria
Cancioneiro da Ajuda
Cancioneiro da Vaticana
Cancioneiro da Biblioteca Nacional
Pergaminho Vindel
Pergaminho Sharrer
Hagiografia
Romances de cavalaria portugueses
Amadis de Gaula
João de Lobeira
Crise de 1383-1385
João I de Portugal
Duarte I de Portugal
"Pedro, Duque de Coimbra"
Crónica do Condestável
Fernão Lopes
Gomes Eanes de Zurara
Rui de Pina
Garcia de Resende
Petrarca
"Pedro de Coimbra, Condestável de Portugal"
Antiguidade Clássica
Cancioneiro Geral
Jorge Manrique
Renascimento em Portugal
Europa
Séc. XIV
Séc. XVI
Humanismo
Antiguidade clássica
Classicismo
Itália
Dante
Boccaccio
Dante Alighieri
Divina Comédia
Decameron
1516
Século XV
Século XVI
Poesia pastoril
Écloga
Cristóvão Falcão
Ritmo no poema
Camões
Gonçalo Anes Bandarra
Poesia lírica
Soneto
Canção
Sextina
António Ferreira
Diogo Bernardes
Pero Andrade de Caminha
Frei Agostinho da Cruz
Jerónimo Corte-Real
Luís Pereira Brandão
Francisco de Andrade
Gabriel Pereira de Castro
Francisco de Sá de Meneses
Brás Garcia de Mascarenhas
Crónica
Auto
Mistério
Farsa
Comédia
Tragicomédia
Sátira
Jorge Ferreira de Vasconcelos
A Castro
Tragédia
Sófocles
João de Barros
Diogo do Couto
Damião de Góis
Erasmo
Manuel I de Portugal
Jerónimo Osório
Fernão Lopes de Castanheda
António Galvão
Gaspar Correia
Brás de Albuquerque
Miguel Leitão de Andrada
África
Etiópia
Síria
Pérsia
Índia
Extremo Oriente
Brasil
Fernão Mendes Pinto
História Trágico-Marítima
Samuel Usque
Frei Heitor Pinto
Frei Amador Arrais
Século XVII
Século de Ouro
Absolutismo
Inquisição
Index Librorum Prohibitorum
Gongorismo
Maneirismo
Independência de Portugal
1640
Espanha
Idioma espanhol
Teatro
Francisco Manuel de Melo
Romance (poesia)
Violante do Ceo
Jerónimo Baía
Bernardo de Brito
António Serrão de Castro
Historiografia
Biografia
Eloquência
Carta
António Brandão
Luís de Sousa
Manuel de Faria e Sousa
Jacinto Freire de Andrade
João de Castro
Roma
Horácio
António das Chagas
Século XVIII
Despotismo
João V de Portugal
1720
Bibliografia
Barbosa Machado
1780
Crítica literária
1756
António Dinis da Cruz e Silva
Ode
Epístola
1774
Mecenas
Conde de Ericeira
França
1790
Manuel Maria Barbosa du Bocage
José Agostinho de Macedo
Curvo Semedo
José Anastácio da Cunha
Nicolau Tolentino
Francisco Manuel do Nascimento
Quintilha
Paris
Galicismo
Verso livre
Chateaubriand
António da Costa
António Ribeiro Sanches
Alexandre de Gusmão
Lisboa
Ópera
António José da Silva
1733
1741
Manuel de Figueiredo
Século XIX
Poeta
Inglaterra
1825
Lamennais
António Feliciano de Castilho
João de Lemos
Soares de Passos
Tomás Ribeiro
1865
Antero de Quental
Teófilo Braga
Budismo
Agnosticismo
Alemanha
Positivismo
Guerra Junqueiro
Dinastia de Bragança
António Gomes Leal
Baudelaire
João de Deus
João Penha
Parnasianismo
Gonçalves Crespo
Simbolismo
Eugénio de Castro
Mendes Leal
Pinheiro Chagas
Fernando Caldeira
Gervásio Lobato
João da Câmara
Lopes de Mendonça
Júlio Dantas
Marcelino Mesquita
Eduardo Schwalbach Lucci
Walter Scott
Andrade Corvo
Júlio Dinis
Naturalismo
Arnaldo Gama
Luís de Magalhães
Teixeira de Queirós
Carlos Malheiro Dias
Joaquim Pedro de Oliveira Martins
Fialho de Almeida
Júlio César Machado
Luciano Cordeiro
Moniz Barreto
Renascença Portuguesa
A Águia
Saudosismo
Teixeira de Pascoaes
Heterónimos
Modernismo
Revista Orpheu
Mário de Sá-Carneiro
1916
José Régio
Neorrealismo
Álvaro Feijó
João José Cochofel
Carlos de Oliveira
Manuel da Fonseca
Surrealismo
António Pedro
Mário Cesariny
Alexandre O'Neill
Raul Brandão
Bernardo Santareno
Luís Francisco Rebelo
José Cardoso Pires
Luís de Sttau Monteiro
Anos 1970
Salazarismo
Maria Isabel Barreno
Maria Teresa Horta
Maria Velho da Costa
Erotismo
Feminismo
Sophia de Mello Breyner Andresen
Prémio Nobel de Literatura
Ensaio sobre a cegueira
O Evangelho segundo Jesus Cristo
Poesia de Portugal
Poesia
Luís Vaz de Camões
Eugénio de Andrade
Florbela Espanca
Cesário Verde
Sophia de Mello Breyner
António Ramos Rosa
Herberto Helder
António Aleixo
Prosa de Portugal
Prosa
Padre António Vieira
Mariana Alcoforado
Maria Pia de Saxe-Coburgo e Bragança
Miguel Torga
Fernando Namora
Teolinda Gersão
Teatro de Portugal
Ir para cima
Literatura da Europa
Lista de países
Literatura da Alemanha
Literatura da Arménia
Literatura da Bielorrússia
Literatura da Chéquia
Literatura da Dinamarca
Literatura de Espanha
Literatura da Finlândia
Literatura da França
Literatura da Grécia
Literatura da Hungria
Literatura da Islândia
Literatura de Montenegro
Literatura da Noruega
Literatura dos Países Baixos
Literatura de Portugal
Literatura do Reino Unido
Literatura da Romênia
Literatura da Rússia
Literatura da Suécia
Literatura da Suíça
Lista de territórios dependentes
Finlândia
Portugal
Reino Unido
Dinamarca
Literatura das Ilhas Faroé
Literatura lusófona
Literatura de Angola
Literatura de Cabo Verde
Literatura de Moçambique
História da arte em Portugal
Arte da Pré-História em Portugal
