14 de março
1939
Vitória da Conquista
Bahia
Brasileiros
22 de agosto
1981
Rio de Janeiro
Rio de Janeiro (estado)
Diretor de Cinema
Roteirista
Ator
Escritor
Helena Ignez
Paula Gaitán
Festival de Cannes
O Dragão da Maldade contra o Santo Guerreiro
Di-Glauber
Cineasta
Brasil
Cinema Novo
Deus e o Diabo na Terra do Sol
Terra em Transe
Igreja Presbiteriana
Missão cristã
Povo dos Estados Unidos
José Luiz Soares Palmeira
Caetité
Salvador (Bahia)
Leucemia
Cigana
Parto
Artes performativas
Rádio
Teatro
Cinema
Círculo de Estudo Pensamento e Ação
Movimento Águia Branca
Integralismo brasileiro
Faculdade de Direito da Universidade Federal da Bahia
Universidade Federal da Bahia
Golpe Militar de 1964
Exílio
Anecy Rocha
Fosso
Elevador
Comissão Nacional da Verdade
Ditadura militar brasileira
Portugal
Força Aérea Brasileira
Comunismo no Brasil
Repressão política
Sepse
Lisboa
Sintra
Manuel Carvalheiro
Governo Lula
Arquivo
Interesse público
Cinema do Brasil
Barravento (filme)
Curta-metragem
Cineclube
Estados Unidos
Nouvelle Vague
Neorrealismo italiano
Direita (política)
Esquerda (política)
Poeta
Ferreira Gullar
Festival Internacional de Cinema de Karlovy Vary
Tchecoslováquia
Itália
Acapulco
Luis Buñuel
Espanha
Festival Internacional de Cinema de Locarno
Festival Internacional de Cinema de Veneza
Atlantic City (1980)
Leão de Ouro
Glória (1980)
A Idade da Terra
Gaumont
Cannes Film Festival
Cabezas Cortadas
Der Leone have sept cabeças
Câncer (filme)
Claro (filme)
Pátio (filme)
Cruz na Praça
Maranhão 66
História do Brasil
As Armas e o Povo
José Sarney
Maranhão
Jackson Lago
Flávio Dino
PC Do B
Corisco
Elomar Figueira Mello
"Glauber o Filme, Labirinto do Brasil"
International Standard Book Number
OCLC
O Globo
Wikiquote
O Leão de Sete Cabeças
Cabezas cortadas
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional do Chile
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
CiNii
Discogs
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Find a Grave
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Austrália
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Biblioteca Nacional do Brasil
Universidade da Beira Interior
Dicionário Cravo Albin da Música Popular Brasileira
Itaú Cultural
Universidade Federal de Santa Catarina
IMDb
Biblioteca Nacional de Israel
Biblioteca Nacional da Polónia
Universidade Pontifícia de Salamanca
AllMovie
AlloCiné
Cinémathèque Française
