Espectro eletromagnético
Radiofrequência
Brasil
MHz
Televisor
VHF
UHF
Micro-onda
SHF
Satélite de comunicação
Receptor (comunicação)
Rede Globo
Sistema Brasileiro de Televisão
RecordTV
TV Cultura
Rede Legislativa de Rádio e TV
Microgeradora
Amazônia Legal
Sinal aberto
Televisão por assinatura
Televisão digital
Televisão via streaming
Televisão no Brasil
Televisão em Portugal
Biblioteca Nacional da França
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Número de controle da Biblioteca do Congresso
Televisão
