Sua Excelência
Lista de presidentes do Brasil
Presidente do Brasil
Marco Maciel
Itamar Franco
Luiz Inácio Lula da Silva
Senado Federal do Brasil
São Paulo (estado)
Lista de ministros da Fazenda do Brasil
Brasil
Eliseu Resende
Rubens Ricupero
Lista de ministros das Relações Exteriores do Brasil
Celso Lafer
Celso Amorim
18 de junho
1931
Rio de Janeiro
Distrito Federal do Brasil (1891–1960)
Brasileiro
Alma mater
Universidade de São Paulo
Ordem Militar de Sant'Iago da Espada
"Ordem Militar da Torre e Espada, do Valor, Lealdade e Mérito"
Ordem do Banho
Ordem do Mérito
Ordem do Mérito Militar
Ordem do Infante D. Henrique
Ordem da Liberdade
Prêmio Juca Pato
Ruth Cardoso
Movimento Democrático Brasileiro (1966)
Movimento Democrático Brasileiro (1980)
Partido da Social Democracia Brasileira
Agnosticismo
Sociólogo
Escritor
Professor universitário
Político
Posições políticas de Fernando Henrique Cardoso
Teoria da dependência
Lista de livros publicados por Fernando Henrique Cardoso
Prêmios e honrarias recebidos por Fernando Henrique Cardoso
Governo Fernando Henrique Cardoso
Posse de Fernando Henrique Cardoso em 1995
Posse de Fernando Henrique Cardoso em 1999
Plano Real
Lei Kandir
Privatizações do governo Fernando Henrique Cardoso
Programa de Fortalecimento da Agricultura Familiar
Programa de Estímulo à Reestruturação e ao Fortalecimento do Sistema Financeiro Nacional
Contribuição Provisória sobre Movimentação Financeira
Desvalorização do real em 1999
Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério
Lei Pelé
Crise do apagão
Bolsa-escola
Programa Comunidade Solidária
Auxílio-gás
Luz no Campo
Marcha dos 100 mil de Brasília em 1999
Lista de viagens presidenciais de Fernando Henrique Cardoso
Real (moeda brasileira)
Tripé macroeconômico
Lei de Responsabilidade Fiscal
Exame Nacional do Ensino Médio
Gasoduto Bolívia-Brasil
Medicamento genérico
Benefício de prestação continuada
Lei de Crimes Ambientais
Sistema Nacional de Unidades de Conservação da Natureza
Agência Nacional de Saúde Suplementar
Agência Nacional de Vigilância Sanitária
Fundação Fernando Henrique Cardoso
Lista de fundadores do Partido da Social Democracia Brasileira
Assembleia Nacional Constituinte de 1987
Eleições estaduais em São Paulo em 1978
Eleição municipal de São Paulo em 1985
Eleições estaduais em São Paulo em 1986
Eleição presidencial no Brasil em 1994
Eleição presidencial no Brasil em 1998
"União, Trabalho e Progresso"
Levanta a Mão (jingle político)
Fernando Henrique Cardoso
Professor catedrático
Cientista político
São Paulo
Sociologia
Professor emérito
Golpe de Estado no Brasil em 1964
Chile
França
Franco Montoro
Governo do estado de São Paulo
Diretas Já
Jânio Quadros
Prefeito de São Paulo
Impeachment de Fernando Collor
Ministério das Relações Exteriores (Brasil)
Ministério da Fazenda (Brasil)
Instituto Fernando Henrique Cardoso
Universidade Brown
The Elders
Academia Brasileira de Letras
Rio de Janeiro (cidade)
Leônidas Cardoso
General de brigada
Deputado federal
Partido Trabalhista Brasileiro (1945)
Manaus
Império do Brasil
Felicíssimo do Espírito Santo
Partido Conservador (Brasil Império)
Província de Goiás
Escravidão no Brasil
Mulato
Afro-brasileiros
Thabo Mbeki
Ginásio (escola)
Ciências Sociais
"Faculdade de Economia, Administração e Contabilidade da Universidade de São Paulo"
"Faculdade de Filosofia, Letras e Ciências Humanas da Universidade de São Paulo"
Florestan Fernandes
Roger Bastide
Ciência Política
Livre-docência
Partido Comunista Brasileiro
Marxismo
O Capital
Nicolau Maquiavel
Antonio Gramsci
Alexis de Tocqueville
Max Weber
Revolução Húngara de 1956
Universidade de Paris X - Nanterre
Maio de 1968
Universidade de Stanford
Universidade de Berkeley
Estados Unidos
Universidade de Cambridge
Inglaterra
Escola de Altos Estudos em Ciências Sociais
Enzo Faletto
Morumbi (São Paulo)
Cátedra
Direitos políticos
Decreto-lei nº 477 de 26 de fevereiro de 1969
Ato Institucional Número Cinco
Centro Brasileiro de Análise e Planejamento
Smithsonian Institution
Ulysses Guimarães
Partido Democrata (Estados Unidos)
Esquerda política
Chico Buarque de Holanda
André Franco Montoro
Bipartidarismo
Ditadura militar brasileira
Pluripartidarismo
Eleições estaduais de São Paulo de 1982
Lista de governadores das unidades federativas do Brasil (1983-1987)
João Figueiredo
Diretas-já
Tancredo Neves
Ulisses Guimarães
Morte de Tancredo Neves
José Sarney
Mário Covas
Boris Casoy
Ateu
Governo Sarney
Plano Cruzado
Orestes Quércia
Constituição brasileira de 1988
Governo Fernando Collor
Fernando Collor
Plano Collor
Hiperinflação
Pérsio Arida
Armínio Fraga
André Lara Resende
Gustavo Franco
Pedro Malan
Edmar Bacha
Winston Fritsch
Unidade Real de Valor
José Aparecido de Oliveira
Portugal
Antônio Britto
Ministério da Previdência Social
Governo do Rio Grande do Sul
Democratas (Brasil)
Partido Trabalhista Brasileiro (1979)
Guilherme Palmeira
Congresso Nacional do Brasil
Eleições gerais no Brasil em 1998
Crise econômica
Crise financeira na Rússia em 1998
Centro-direita
Progressistas
Ciro Gomes
Cidadania (partido político)
Lista de eleições presidenciais no Brasil
Congresso Nacional Brasileiro
Estabilidade de preços
Taxa básica de juros
Gastos públicos
Contribuição Provisória sobre a Movimentação ou Transmissão de Valores e de Créditos e Direitos de Natureza Financeira
Câmbio fixo
Câmbio flutuante
Crise econômica do México de 1994
Crise financeira asiática de 1997
Regime cambial
Fundo Monetário Internacional
Taxa de desemprego no Brasil
Orçamento público
Desemprego
Ditadura Militar no Brasil
Índia
Dívida pública
PIB per capita
Privatização no Brasil
Consenso de Washington
Vale S.A.
Telecomunicações Brasileiras S.A.
Propina (português brasileiro)
Nelson Mandela
Mercosul
Organização Mundial do Comércio
Guerra Fria
Direito internacional
Pacifismo
Não intervencionismo
Autodeterminação
Pragmatismo
Assembleia Nacional Francesa
Estado Palestino
Ataques de 11 de setembro de 2001
Conselho de Segurança das Nações Unidas
Tratado de Não Proliferação de Armas Nucleares
Cuba
Países desenvolvidos
Países emergentes
Países em desenvolvimento
Leste Europeu
Agence France-Presse
"Casseta & Planeta, Urgente!"
Rede de Proteção Social
Lei de Diretrizes e Bases da Educação
Fator Previdenciário
Instituto Nacional do Seguro Social
Previdência social no Brasil
Veja (revista)
Antônio Carlos Magalhães
Partido Trabalhista Brasileiro (1981)
Partido Liberal (1985)
Câmara dos Deputados do Brasil
Partido dos Trabalhadores
Partido Comunista do Brasil
Partido Socialista Brasileiro (1985)
Partido Democrático Trabalhista
Gás natural
Petrobrás
Lei do Petróleo
Eletrobrás
Agricultura familiar
Terras indígenas
Unidades de conservação
Protocolo de Kyoto
Datafolha
Eleição presidencial no Brasil em 2002
José Serra
Juscelino Kubitschek
Lista dos presidentes do Brasil por tempo no cargo
Getúlio Vargas
Desenvolvimento econômico
Desenvolvimento social
Relações internacionais
Teoria da Dependência
Marxista
Terceiro Mundo
Revolução socialista
Honoris causa
Associação Internacional de Sociologia
Prêmio Kluge
Ciências Humanas
Biblioteca do Congresso dos Estados Unidos
Revista Prospect
Foreign Policy
João de Scantimburgo
Filosofia
Doutorado
Antropologia
Universidade do Chile
Universidade da Califórnia em Berkeley
Universidade Columbia
Consorte de político
Caros Amigos
Miriam Dutra
Europa
Arritmia cardíaca
União estável
GloboNews
Folha de S.Paulo
Dirce Tutu Quadros
Empresa Brasileira de Correios e Telégrafos
R7
Clube de Madrid
Inter-American Dialogue
Universidade de Brown
Instituto de Estudos Avançados de Princeton
Fundação Rockefeller
Universidade do Sul da Califórnia
Orquestra Sinfônica do Estado de São Paulo
O Estado de S. Paulo
O Globo
Gazeta do Povo
Think tank
América
Geraldo Alckmin
Aécio Neves
Eleição presidencial no Brasil em 2018
Eleição presidencial no Brasil em 1989
Jair Bolsonaro
Fernando Haddad
Eleição presidencial no Brasil em 2022
Senador
Eleições municipais na cidade de São Paulo em 1985
Lista de prefeitos da cidade de São Paulo
Caio Pompeu de Toledo
PFL
Partido Social Democrático (1987)
História da filosofia no Brasil
