Unidades federativas do Brasil
Rio de Janeiro (estado)
Lei
Lei Complementar nº20
1 de julho
1974
Lista de regiões metropolitanas do Brasil por número de municípios
Rio de Janeiro (cidade)
Área
Quilómetro quadrado
População
População residente
Lista de regiões metropolitanas do Brasil por população
IBGE
Densidade populacional
Índice de Desenvolvimento Humano
Lista de regiões metropolitanas brasileiras por IDH
PNUD
Produto interno bruto
R$
Renda per capita
Estado (subdivisão)
Guanabara
Metrópole
Zona Central do Rio de Janeiro
Duque de Caxias (Rio de Janeiro)
São João de Meriti
Belford Roxo
Nilópolis
Mesquita (Rio de Janeiro)
Nova Iguaçu
Queimados
Japeri
Paracambi
Seropédica
Itaguaí
Magé
Guapimirim
Niterói
São Gonçalo (Rio de Janeiro)
Itaboraí
Maricá
Tanguá
Rio Bonito
Cachoeiras de Macacu
Rio de Janeiro
Centro (bairro do Rio de Janeiro)
Migração pendular
Ditadura militar no Brasil (1964-1985)
Banco Mundial
Estatuto da Metrópole
Petrópolis
Mangaratiba
Brasil
Região Metropolitana de Florianópolis
Região Metropolitana de Campinas
Região Metropolitana de Vitória
Lista de concentrações urbanas do Brasil por população
Baixada Fluminense
Leste Fluminense
Conurbação
Densidade demográfica
Grande São Paulo
América do Sul
Lista de regiões metropolitanas por população
Ponte Rio-Niterói
Município
São José do Vale do Rio Preto
COMPERJ
Região Serrana Fluminense
Avenida Presidente Vargas
Praça Onze
Central do Brasil
Marcello Alencar
ICMS
Wilson Witzel
Interior do Rio de Janeiro
SuperVia
CCR Barcas
Região Geográfica Imediata do Rio de Janeiro
Saquarema
Silva Jardim
