Estado
Federação
República
Governo
Governo federal
Chefe de estado
Monarca
Divisão de poderes
República unitária
Alemanha
Nigéria
Etiópia
República Democrática Federal do Nepal
República Federal da Somália
Brasil
Canadá
Austrália
Malásia
Reino
Monarquia
Estados da Alemanha
Argentina
Subdivisões da Argentina
Buenos Aires
Áustria
Estados da Áustria
Bósnia e Herzegovina
Organização político-administrativa da Bósnia e Herzegovina
Unidades federativas do Brasil
Distrito Federal (Brasil)
Comores
União Política
Ilha
Regiões da Etiópia
Estados Unidos
Estados dos Estados Unidos
Territórios dos Estados Unidos
Distrito de Colúmbia
Índia
Estados e territórios da Índia
Subdivisões da Índia
Iraque
Províncias do Iraque
México
Subdivisões do México
Cidade do México
Estados Federados da Micronésia
Subdivisões dos Estados Federados da Micronésia
Nepal
Estados da Nigéria
Território da Capital Federal (Nigéria)
Paquistão
República islâmica
Subdivisões do Paquistão
Rússia
Subdivisões da Rússia
Sudão
Subdivisões do Sudão
Sudão do Sul
Subdivisões do Sudão do Sul
Suíça
Confederação
Cantões da Suíça
Venezuela
Bolivarianismo
Estados da Venezuela
Dependências Federais da Venezuela
Distrito Capital (Venezuela)
Forma de governo
Império
República popular
Política
