Recife de coral
Floresta húmida
Os seres vivos e os ecossistemas
Terrestre
Ecossistema aquático
Ecológico
Terra
Flora
Fauna
Fungo
Micro-organismo
Equitatividade
Variabilidade genética
Habitat
Paisagem
Sobrevivencialismo
Ecologia
Demografia
Biologia populacional
Genética
Taxonomia
Economia
Geografia
Antropologia
Sociologia
Thomas Lovejoy
Organismo
Espécie
Gene
Região
Diversidade genética
Diversidade de espécies
Ecossistema
Organização
Diversidade específica
Diversidade de ecossistema
Biologia molecular
Riqueza de espécies
União Internacional para a Conservação da Natureza
Mutação
Transferência horizontal de genes
Convenção sobre Diversidade Biológica
Organização das Nações Unidas para Alimentação e Agricultura
Planta vascular
Insetos
Bactéria
Fungi
Complexo específico
Ácaro
Microrganismo
Plâncton
Animalia
Aves
Mamíferos
Peixe
Artrópode
Extinção
Curva espécie-área
Sustentabilidade
América Latina
Esgotamento de recursos
PLOS ONE
Universidade de Sussex
World Wide Fund for Nature
Declínio contemporâneo da biodiversidade mundial
Extinção em massa do Holoceno
Extinção em massa
Fóssil
Antropoceno
Capital natural
Serviços ambientais
Espécie rara
Espécie em perigo
Espécie ameaçada
Lista Vermelha da IUCN
Espécie em perigo crítico
Relatório de Avaliação Global sobre Biodiversidade e Serviços Ecossistêmicos
Crescimento populacional
Sobre-exploração
Mudança do clima
Bioma
Temperatura
Precipitação (meteorologia)
Altitude
Solo
Biogeografia
Trópico
Áreas protegidas da região floral do Cabo
Equador
Europa
Polo geográfico
Latitude
Ecossistema marinho
Fractal
Produção primária
Medida de Lebesgue
Linha do equador
Hotspot de biodiversidade
Endemismo
Destruição de habitat
Mata Atlântica
Brasil
Madagáscar
Índia
Colômbia
África
Indonésia
Angiosperma
Répteis
Anfíbios
Clima alpino
Montanha
Europa Setentrional
Viés de seleção
Gilbert White
Evolução
Abiogênese
Idade da Terra
Archaea
Protozoário
Protista
Organismo unicelular
Cronologia da evolução
Água
Fotossíntese
Eukaryota
Organismo multicelular
Siluriano
Dinossauros
História da Terra
Origem da água na Terra
Intenso bombardeio tardio
Oxigénio
Grande evento de oxigenação
Origem e evolução do sexo eucariótico
Explosão Cambriana
Humano
Fanerozoico
Proterozoico
Arqueano
Hadeano
Mesoarqueano
Glaciação Huroniana
Criogeniano
Glaciação Karoo
Filo
Ediacarano
Ordoviciano
Invertebrados
Vertebrados
Carbonífero
Amniota
Asseliano
Sacmariano
Cisuraliano
Permiano
Extinção do Permiano-Triássico
Extinção do Cretáceo-Paleogeno
Maastrichtiano
Ammonoidea
Geologia
Capacidade de carga
Função logística
Crescimento exponencial
Bivalvia
População mundial
Estocástico
Par de bases
Ácido desoxirribonucleico
Tonelada
Biomassa (ecologia)
Biosfera
Carbono
Último ancestral comum universal
Vida
Eoarqueano
Crosta
Tapete microbiano
Austrália Ocidental
Grafite
Rocha metassedimentar
Kitaa
Austrália
Universo
Bélgica
Centaurea cyanus
Papoila
Entomofilia
Veículo aéreo não tripulado
Rendimento agrícola
Indústria madeireira
Pesca
Agricultura
Trator
Syrphidae
Barro Colorado
Doença de Lyme
Universidade Cornell
Metabolismo
Extremófilo
ARN ribossômico
Declínio das populações de insetos
Banco de sementes
Biodiversidade no Brasil
Conservação ambiental
Desenvolvimento Sustentável
Domesticação
Economia Ambiental
IUCN
História natural
Natureza selvagem
Reserva florestal
Seleção artificial
Vida selvagem
International Standard Book Number
PubMed Central
PubMed Identifier
Digital object identifier
Bibcode
BBC News
The Guardian
Winnipeg Free Press
Proceedings of the National Academy of Sciences of the United States of America
The Intercept
OCLC
Wayback Machine
Cengage Learning
National Science Foundation
New York Times
United States Geological Survey
Brent Dalrymple
Royal Society
Library of Congress Control Number
JSTOR
BMJ
World Business Council for Sustainable Development
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
Enciclopédia Treccani
Descritores em Ciências da Saúde
Medical Subject Headings
Sistema Unificado de Linguagem Médica
