Wyoming
Estados Unidos
Carvão mineral
Recurso natural
Combustível fóssil
Gás natural
Petróleo
Minerais do solo
Minério
Elemento (química)
Reação nuclear
Madeira
Recursos renováveis
Mineral
Ouro
Mineração
Terra
Crosta terrestre
Jazida mineral
Meteorização
Tectónica de placas
Propriedades físico-químicas
Manufatura
Indústria eletroeletrônica
Geração de eletricidade
Energia solar
Energia eólica
Hidrato de metano
Motor de combustão interna
Século XIX
Infraestrutura urbana
Transporte público
Extrativismo
Mudança do clima
Combustível nuclear
Comissão Mundial sobre Meio Ambiente e Desenvolvimento
Material físsil
Energia hidráulica
Resíduo radioativo
Energia geotérmica
Combustível
Urânio
Reator nuclear
Urânio-235
Água do mar
Lixiviação
Reactor térmico
Economia de escala
Acidente nuclear
Tonelada métrica
Economia
Bens de produção
David Ricardo
Harold Hotelling
Juro
Hermann Scheer
International Standard Book Number
OCLC
Digital object identifier
Wayback Machine
International Standard Serial Number
