Taiti
Língua francesa
Crioulo haitiano
Bandeira do Haiti
Brasão de armas do Haiti
Hino nacional do Haiti
Porto Príncipe
Gentílico
Semipresidencialismo
Presidente do Haiti
Lista de primeiros-ministros do Haiti
Alix Didier Fils-Aimé
Independência
França
1 de janeiro
1804
1825
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
República Dominicana
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhões
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Gourde
ISO 4217
Fuso horário
UTC −5
Horário de verão
UTC −4
ISO 3166-1
Lista de TLDs
.ht
Lista de códigos telefónicos
Jean Jacques Dessalines
Ilha de São Domingos
Mar do Caribe
Cuba
Jamaica
Bahamas
Caribe
Taínos
Europeus
Cristóvão Colombo
Américas
Fortaleza de La Navidad
Império Espanhol
Tratado de Rijswijk
São Domingos (colônia francesa)
Cana-de-açúcar
Comércio de escravos no Atlântico
Revolução Francesa
Maroon (povo)
Revolução Haitiana
Toussaint Louverture
Exército de Terra Francês
Napoleão Bonaparte
Soberania
Massacre de 1804 no Haiti
Estado-nação
América Latina
República
Escravidão
Jean-Pierre Boyer
Guerra de Independência da República Dominicana
Dívida de Independência do Haiti
Ocupação estadunidense do Haiti
François Duvalier
Autocrático
Jean-Claude Duvalier
Organização das Nações Unidas
Organização dos Estados Americanos
Associação dos Estados do Caribe
Organização Internacional da Francofonia
Comunidade do Caribe
Fundo Monetário Internacional
Organização Mundial do Comércio
Comunidade de Estados Latino-Americanos e Caribenhos
Golpe de Estado no Haiti de 2004
Missão das Nações Unidas para a estabilização no Haiti
Sismo do Haiti de 2010
Epidemia de cólera no Haiti em 2010
Crise haitiana (2018–presente)
Estado falido
Hispaniola
Sinal diacrítico
Língua inglesa
Reino da França
História do Haiti
Cacique
5.000 a.C.
Nativos americanos
Ianomâmis
Bacia do rio Amazonas
Ciboneis
Língua taíno
Línguas aruaques
Língua crioula haitiana
Pinturas rupestres
Léogâne
Capitania-Geral de São Domingos
Théodore de Bry
Môle Saint-Nicolas
Coroa de Castela
Santa Maria (nau)
Cabo Haitiano
Infecção
Eurásia
Epidemia
Varíola
Encomienda
Espanhóis
Ouro
Leis de Burgos
Proselitismo
Catolicismo
América Central
América do Sul
Pirataria nas Caraíbas
Tortuga
Inglaterra
Bucaneiro
Franceses
Tabaco
Martinica
Guadalupe
Café
Comércio exterior
Nova França
Línguas africanas
Vodu haitiano
Sincretismo
Code noir
Jean-Baptiste Colbert
Luís XIV de França
Febre tifoide
Taxa de natalidade
Aborto
Escravatura
Desflorestação
Luisiana (Nova França)
Pessoas de cor
Multirracial
Classe social
Crioulo
Quilombo
François Mackandal
Rights of Man
Liberdade política
Direitos civis
Primeira República Francesa
Léger-Félicité Sonthonax
Étienne Polverel
Convenção (Revolução Francesa)
Maximilien de Robespierre
