Bandeira europeia
Símbolos da União Europeia
Lema da União Europeia
Latim
Hino da alegria
Bruxelas
De facto
Línguas da União Europeia
Gentílico
Cidadania da União Europeia
União continental
Confederação
Estados-membros da União Europeia
Áustria
Bélgica
Bulgária
Croácia
Chipre
Chéquia
Dinamarca
Estónia
Finlândia
França
Alemanha
Grécia
Hungria
República da Irlanda
Itália
Letónia
Lituânia
Luxemburgo
Malta
Países Baixos
Polónia
Portugal
Roménia
Eslováquia
Eslovénia
Espanha
Suécia
Política da União Europeia
Supranacionalismo
Presidente da Comissão Europeia
Ursula von der Leyen
Presidente do Parlamento Europeu
Roberta Metsola
Presidente do Conselho Europeu
António Costa
Presidência do Conselho da União Europeia
Câmara alta
Conselho da União Europeia
Câmara baixa
Parlamento Europeu
História da União Europeia
Tratado de Roma (1957)
25 de março
1957
Tratado de Maastricht
7 de fevereiro
1992
Tratado de Lisboa (2007)
1 de dezembro
2009
Adesão da Croácia à União Europeia
1 de julho
2013
Brexit
31 de dezembro
2020
Reino Unido
Geografia da União Europeia
Quilómetro quadrado
Lista de países e territórios por área
Demografia da União Europeia
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
1 000 000 000 000
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Euro
ISO 4217
Fuso horário
Tempo Universal Coordenado
Horário de verão
Lista de TLDs
.eu
Lista de códigos telefónicos
Zona Euro
Regiões ultraperiféricas da União Europeia
Europa
Comunidade Europeia do Carvão e do Aço
Comunidade Económica Europeia
Alargamento da União Europeia
Instituições da União Europeia
Comissão Europeia
Conselho Europeu
Tribunal de Justiça da União Europeia
Tribunal de Contas Europeu
Banco Central Europeu
Eleições na União Europeia
Mercado comum
Espaço Schengen
Política Agrícola Comum da União Europeia
Política Comum das Pescas
Política regional da União Europeia
União monetária
Política Externa e de Segurança Comum da União Europeia
Relações internacionais da União Europeia
Forças armadas da União Europeia
Nações Unidas
Organização Mundial do Comércio
G7
G-20
População mundial
1 000 000 000
Nobel da Paz
Segunda Guerra Mundial
Declaração Schuman
Robert Schuman
Causas da Segunda Guerra Mundial
Alemanha Nazi
Zonas ocupadas pelos Aliados na Alemanha
Alemanha Ocidental
União Soviética
Dia da Europa
Dia da Vitória na Europa
Aço
Carvão
Estados Unidos
Argélia
Quarta República Francesa
Konrad Adenauer
Paris
Siderurgia
Comunidade Europeia
Ato Único Europeu
Guerra Fria
Comunidade Europeia de Defesa
Gaullismo
Comunista
Tratado de Bruxelas
União da Europa Ocidental
Tratado de Amesterdão
NATO
Comunidade Europeia da Energia Atómica
Muro de Berlim
Leste Europeu
Meio ambiente
Política externa
Democracia
Direitos humanos
Desenvolvimento sustentável
Tratado de Nice
Roma
Constituição Europeia
Alto Representante da União para os Negócios Estrangeiros e a Política de Segurança
Carta dos Direitos Fundamentais da União Europeia
Adesão da Turquia à União Europeia
Península Balcânica
