Poder judiciário
Trabalho (economia)
Dissídio coletivo
Alemanha
Brasil
França
Espanha
Revolução Industrial
Escravo
Servo
Relação de trabalho
Constituição do México
Direitos sociais
Tratado de Versalhes
Organização Internacional do Trabalho
Liga das Nações
Mercadoria
Salário
Salário mínimo
Menor de idade
Direito sindical
Constituição de Weimar
Tribunal Federal do Trabalho da Alemanha
Tribunal Constitucional Federal da Alemanha
Länder
Juiz classista
Dissídios coletivos
Seguridade social
Arrondissements da Bélgica
Antuérpia
Bruxelas
Gante
Liège
Mons
Rio de Janeiro (cidade)
Justiça do Trabalho do Brasil
Poder Judiciário
Constituição brasileira de 1946
Tribunais Regionais do Trabalho
Tribunal Superior do Trabalho
Juiz do Trabalho
Vara do Trabalho
Direito do trabalho no Brasil
Justa causa
Código comercial do Brasil
Aviso prévio
Papa Leão XIII
Rerum Novarum
Berlim
Código Civil
Ministério do Trabalho e Previdência Social (Brasil)
Primeira instância
Poder Executivo
Língua francesa
Indústria
Comércio
Agricultura
Contrato de trabalho
Conciliação
Arbitragem
