Direito Militar
Justiça Especial
Brasil
Direito penal militar
Superior Tribunal Militar
Brasília
Forças Armadas do Brasil
Polícia Militar (Brasil)
Corpo de Bombeiros Militar
Constituição brasileira de 1988
Justiça Militar da União
Distrito Federal (Brasil)
Auditoria militar
Juiz
Juiz auditor militar
Conselho de justiça
Juiz militar
Minas Gerais
São Paulo (estado)
Rio Grande do Sul
Tribunal de Justiça
1808
Napoleão Bonaparte
1934
1946
Constituição Federal de 1988
Marinha do Brasil
Exército Brasileiro
Força Aérea Brasileira
Tribunal de exceção
1936
Segunda instância
Constituição da República Federativa do Brasil
Ministério Público Estadual
Conselho Supremo Militar e de Justiça
D. João VI
Forças Armadas
Guarda Real de Polícia
Rio de Janeiro (cidade)
Código Penal Militar
1918
1937
Constituição brasileira de 1946
Constituição brasileira de 1934
Constituição brasileira de 1967
Pacote de Abril
Emenda constitucional
Direito administrativo disciplinar militar
Tribunal de Justiça Militar do Estado de Minas Gerais
Casa Militar (Brasil)
Tribunal do júri
Bahia
Goiás
Paraná
Pernambuco
Rio de Janeiro (estado)
2009
Tribunal de Justiça do Estado do Rio Grande do Sul
Assembleia Legislativa do Rio Grande do Sul
2003
2015
Pedro Ruas
2011
2014
2019
Luciana Genro
Universidade Estadual do Rio Grande do Sul
2017
Sargento Rodrigues
Assembleia Legislativa de Minas Gerais
Tribunal de Justiça do Estado de Minas Gerais
Corpo de Bombeiro Militar
Direito militar
Polícia Militar do Brasil
Poder Judiciário do Brasil
Justiça Federal
Tribunal de Justiça (Brasil)
Justiça do Trabalho do Brasil
Justiça Eleitoral do Brasil
Supremo Tribunal Federal
Superior Tribunal de Justiça
Tribunal Superior do Trabalho
Tribunal Superior Eleitoral
Conselho Nacional de Justiça
Conselho da Justiça Federal
Tribunal Regional Federal da 1.ª Região
Tribunal Regional Federal da 2.ª Região
Tribunal Regional Federal da 3.ª Região
Tribunal Regional Federal da 4.ª Região
Tribunal Regional Federal da 5.ª Região
Tribunal Regional Federal da 6.ª Região
Tribunal Regional do Trabalho da 1.ª Região
Tribunal Regional do Trabalho da 2.ª Região
Tribunal Regional do Trabalho da 3.ª Região
Tribunal Regional do Trabalho da 4.ª Região
Tribunal Regional do Trabalho da 5.ª Região
Tribunal Regional do Trabalho da 6.ª Região
Tribunal Regional do Trabalho da 7.ª Região
Tribunal Regional do Trabalho da 8.ª Região
Tribunal Regional do Trabalho da 9.ª Região
Tribunal Regional do Trabalho da 11.ª Região
Tribunal Regional do Trabalho da 13.ª Região
Tribunal Regional do Trabalho da 15.ª Região
Tribunal Regional do Trabalho da 22.ª Região
Tribunal Regional Eleitoral de Alagoas
Tribunal Regional Eleitoral do Amapá
Tribunal Regional Eleitoral da Bahia
Tribunal Regional Eleitoral do Ceará
Tribunal Regional Eleitoral do Distrito Federal
Tribunal Regional Eleitoral de Goiás
Tribunal Regional Eleitoral de Mato Grosso do Sul
Tribunal Regional Eleitoral de Minas Gerais
Tribunal Regional Eleitoral da Paraíba
Tribunal Regional Eleitoral do Paraná
Tribunal Regional Eleitoral de Pernambuco
Tribunal Regional Eleitoral do Piauí
Tribunal Regional Eleitoral do Rio de Janeiro
Tribunal Regional Eleitoral do Rio Grande do Sul
Tribunal Regional Eleitoral de Rondônia
Tribunal Regional Eleitoral de Sergipe
Tribunal de Justiça do Estado do Acre
Tribunal de Justiça de Alagoas
Tribunal de Justiça do Estado do Amapá
Tribunal de Justiça do Estado do Amazonas
Tribunal de Justiça do Estado da Bahia
Tribunal de Justiça do Estado do Ceará
Tribunal de Justiça do Distrito Federal e dos Territórios
Tribunal de Justiça do Estado do Espírito Santo
Tribunal de Justiça do Estado de Goiás
Tribunal de Justiça do Maranhão
Tribunal de Justiça do Estado de Mato Grosso
Tribunal de Justiça do Estado do Pará
Tribunal de Justiça da Paraíba
Tribunal de Justiça do Estado do Paraná
Tribunal de Justiça de Pernambuco
Tribunal de Justiça do Estado do Piauí
Tribunal de Justiça do Estado do Rio de Janeiro
Tribunal de Justiça do Estado do Rio Grande do Norte
Tribunal de Justiça do Estado de Rondônia
Tribunal de Justiça do Estado de Roraima
Tribunal de Justiça de Santa Catarina
Tribunal de Justiça do Estado de São Paulo
Tribunal de Justiça do Estado de Sergipe
Tribunal de Justiça do Estado do Tocantins
Juizados Especiais
Juizado Especial Cível
Juizado Especial Criminal
Juizados Especiais da Fazenda Pública
Juizados da Infância e Juventude
Juizados de Violência Doméstica e Familiar contra a Mulher
Lista de presidentes dos órgãos do poder judiciário do Brasil
