Triássico Superior
Holoceno
Pré-Cambriano
Câmbrico
Ordovícico
Silúrico
Devónico
Carbónico
Pérmico
Triássico
Jurássico
Cretácico
Paleogénico
Neogénico
Classificação científica
Domínio (biologia)
Eukaryota
Reino (biologia)
Animalia
Filo
Chordata
Vertebrata
Classe (biologia)
Tetrapoda
Synapsida
Prototheria
Monotremata
Theria
Marsupialia
Placentalia
Lista de géneros de mamíferos
Latim
Subclasse
Vertebrados
Cordados
Glândulas mamárias
Leite
Alimentação
Filhote
Pelo
Cabelo
Golfinho
Baleia
Endotermia
Cérebro
Sistema circulatório
Coração
Humano
Período geológico
Dinossauros
Sangue
Pulmões
Ventrículo
Vivíparos
Monotremados
Carolus Linnaeus
Systema Naturae
Cetáceos
Osso
Crânio
Aves
Répteis
Diafragma (músculo)
Anfíbio
Peixe
Âmnio
Alantoide
Guelra
Sinapomorfia
Cório
Fecundação
Pele
Rins
Ureter
Esqueleto
Gado bovino
Gato
Cão
Urso-polar
Mamífero marinho
Autapomorfia
Táxon
Glândula mamária
Viviparidade
Tegumento
Glândula
Unha
Casco (animal)
Corno
Chifre
Escama (zoologia)
Coluna vertebral
Eritrócitos
Laringe
Orelha média
Orelha
Mandíbula
Dente
Molar
Espécie
Peixes
Moluscos
Crustáceos
Insetos
Anfíbios
Baleia-azul
Elefante africano
Musaranho-pigmeu
Morcego-nariz-de-porco-de-kitti
Foca
Antártida
Costa
Foca-anelada
Pólo Norte
Terra
Bioma
Tundra
Deserto
Savana
Floresta
Pântano
Lago
Rio
Subterrâneo
Morcego
Tubulidentata
Aardvark
África
Ornitorrinco
Tachyglossidae
Dasyuromorphia
Notoryctemorphia
Peramelemorphia
Diprotodontia
Paucituberculata
Microbiotheria
América do Sul
Rodentia
Chiroptera
Artiodátilos
Carnívoros
Austrália
Lobo
Raposa-vermelha
Novo Mundo
Suçuarana
Canadá
Chile
Toupeira-dourada
África do Sul
Lebre-da-eurásia
Eurásia
Alpes
Leão
Índia
Oriente Médio
Europa
Ásia
América do Norte
Pleistoceno
Encéfalo
Estribo (osso)
Músculos
Incisivos
Caninos
Pré-molares
Molares
Dentes de leite
Incisivo
Canino (dente)
Molar decíduo
Molar permanente
Tíbia
Astrágalo
Ílio
Púbis
Ísquio
Pelve
Fêmur
Glúteo
Vértebra cervical
Peixe-boi
Trichechus
Preguiça-de-dois-dedos
Vértebras
Preguiça-de-três-dedos
Atlas (anatomia)
Áxis
Costelas
Vértebra torácica
Aorta
Átrio
Nodo sinoatrial
Museu de Anatomia Veterinária da Faculdade de Medicina Veterinária e Zootecnia da USP
Bronquíolo
Alvéolo pulmonar
Diafragma
Cavidade peritoneal
Cavidade pleural
Inspiração
Audição
Olfato
Visão
Neocórtex
Córtex
Cerebelo
Sistema límbico
Bulbo olfatório
Primatas
Martelo (osso)
Bigorna (osso)
Orelha externa
Evolução
Noturno
Imagem
Luz
Acuidade
Retina
Célula
Bastonete
Fóton
Brilho
Canis lupus familiaris
Primata
Antropoide
Diurno
Vibrissa
História evolutiva dos mamíferos
Cinodonte
Mammaliaformes
Adelobasileus
Sinoconodon
Morganucodon
Docodonta
Hadrocodium
Therapsida
Cynodontia
Era Mesozoica
Cretáceo
John Ray
Lacépède
Marsupiais
Placentários
1816
Henri Marie Ducrotay de Blainville
Theodore Gill
1872
Eutheria
George Gaylord Simpson
