Pseudónimo
10 de dezembro
1920
Chechelnyk
Oblast de Vinnitsa
República Popular da Ucrânia
9 de dezembro
1977
Rio de Janeiro
Brasil
Ucrânia
Brasileiros
Romance
Escritor
Contista
Colunista
Crônica (gênero)
Jornalista
Prêmio Carmem Dolores Barbosa
Prêmio Jabuti
3º Prêmio Jabuti
20º Prêmio Jabuti
Ordem do Mérito Cultural
Gênero literário
Conto
Magnum opus
A Hora da Estrela
A Paixão segundo G.H.
Laços de Família (livro)
Perto do Coração Selvagem
Judaísmo
Língua ucraniana
Romances
Contos
Ensaios
Século XX
Epifania
Pernambuco
Guerra Civil Russa
Maceió
Recife
Rio de Janeiro (estado)
Tijuca
Rua Mariz e Barros
Direito
Universidade Federal do Rio de Janeiro
Tradutora
Ensaísta
Literatura brasileira
Modernismo no Brasil
Um Sopro de Vida
Câncer de ovário
Novela
Literatura infantil
Entrevista
Sinagoga
Podólia
Antissemitismo
Burguesa
Ano novo
América do Sul
Pogrom
Década de 1910
Haisyn
Estuprada
Sífilis
Emigração
1921
Rio Dniestre
Romênia
República da Moldávia
Albergue
Estados Unidos
Leste Europeu
Bucareste
Budapeste
Praga
Hamburgo
Onomástica
Língua portuguesa
Casa de Clarice Lispector (Recife)
Boa Vista (Recife)
Mascates
Língua hebraica
Linho
1924
Jardim de infância
1925
Boa Vista (bairro do Recife)
1928
1930
Peça teatral
1931
Diario de Pernambuco
Matemática
Rua da Imperatriz Tereza Cristina
Língua iídiche
21 de setembro
Ginásio Pernambucano
1932
1933
Fiódor Dostoiévski
O Lobo da Estepe
7 de janeiro
1935
Ministério do Trabalho e Emprego
Político
Agamenon Magalhães
Geografia
1938
Flamengo (bairro do Rio de Janeiro)
1936
Ginásio (escola)
2 de março
1937
Faculdade de Direito da Universidade Federal do Rio de Janeiro
Praia de Botafogo
Língua inglesa
Estado Novo (Brasil)
Getúlio Vargas
Segunda Guerra Mundial
Nazista
Sionista
Palestina (região)
1939
1940
25 de maio
Vesícula biliar
23 de agosto
26 de agosto
Palácio do Catete
Departamento de Imprensa e Propaganda
Raimundo Magalhães Júnior
Lourival Fontes
Museu Imperial
Petrópolis
10 de outubro
Feminismo
Agência Nacional (Brasil)
Lúcio Cardoso
Povo mineiro
Homossexual
1941
1º de maio
Belo Horizonte
19 de janeiro
Diário do Povo (Campinas)
Darcy Vargas
9 de agosto
1979
1946
Ateísmo
Religião
Franz Kafka
Filósofo
Baruch de Espinoza
14 de fevereiro
1942
Manchete
A Noite
Cinelândia
Vinicius de Moraes
Cornélio Pena
Rachel de Queiroz
Otávio de Faria
Poeta
Augusto Frederico Schmidt
Coronel
Generais
Katherine Mansfield
Avelar
Legislação
Fevereiro
Réis
Fernando Pessoa
Cecília Meireles
Manuel Bandeira
Carlos Drummond de Andrade
Francisco de Assis Barbosa
Retrato do artista quando jovem
James Joyce
Álvaro Lins
Botafogo
17 de dezembro
Colação de grau
Virginia Woolf
Jean-Paul Sartre
Marcel Proust
Pseudônimo
11 de janeiro
1944
Belém (Pará)
Francisco Paulo Mendes
Rainer Maria Rilke
5 de julho
Comuna
Italiana
Nápoles
19 de julho
Natal (Rio Grande do Norte)
30 de julho
Libéria
1 de agosto
Bolama
Guiné portuguesa
Dakar
Senegal
Avião
Lisboa
Portugal
Ribeiro Couto
João Gaspar Simões
Maria Archer
Casablanca
Marrocos
Argel
Argélia
Vasco Leitão da Cunha
Esfinge de Gizé
José Olympio
Emily Brontë
Roma
Surrealista
Giorgio de Chirico
Florença
Veneza
Giuseppe Ungaretti
Samuel Wainer
Rubem Braga
Fernando Sabino
Otto Lara Resende
Hélio Pellegrino
Paulo Mendes Campos
Berna
Suíça
Egito
Henrik Ibsen
Theodore Dreiser
Jean Cocteau
Simone de Beauvoir
13 de outubro
Existencialismo
Arquivo Nacional (Brasil)
Réveillon
10 de agosto
1948
10 de fevereiro
1953
"Washington, D.C."
Esquizofrenia
Europa
Leme (bairro do Rio de Janeiro)
Correio da Manhã (Brasil)
Diario da Noite (Rio de Janeiro)
Ghost-writer
Ilka Soares
14 de setembro
1966
2016
1975
Bogotá
Colômbia
Amuleto
Cemitério Comunal Israelita do Rio de Janeiro
Rio de Janeiro (cidade)
San Tiago Dantas
Alfredo Bosi
Metáfora
Fluxo de consciência
Jorge Luis Borges
Língua castelhana
Claude Farrère
Agatha Christie
Alistair MacLean
Jornal do Brasil
Nova Fronteira
Editora Record
Infantojuvenil
Abril Cultural
As Viagens de Gulliver
Jonathan Swift
Júlio Verne
Walter Scott
Ediouro
Edgar Allan Poe
A Paixão Segundo G.H.
1964
Língua espanhola
Língua francesa
França
Idioma espanhol
Idioma inglês
Universidade do Texas
1973
A Maçã no Escuro
Uma Aprendizagem ou O Livro dos Prazeres
Década de 1980
Década de 2000
Britânica
Penguin Books
Década de 2010
Anglófono
Literatura latina
Atlântico: revista luso-brasileira
A Paixão Segundo G.H. (filme)
Luiz Fernando Carvalho
Rocco (editora)
Mostra Internacional de Cinema de São Paulo
Festival do Rio
Festival Internacional de Cinema Independente de Buenos Aires
Maria Fernanda Cândido
Editora Rocco
Correio Feminino
Luiza Brunet
Alessandra Maestrini
Cintia Dicker
O Lustre
A Cidade Sitiada
Água viva (livro)
A Legião Estrangeira
Felicidade Clandestina
Lista de brasileiros naturalizados
Lista de ganhadores do Prêmio Jabuti
Elisa Lispector
Hebraico
Iídiche
Instituto Moreira Salles
TV Cultura
Bravo! (revista)
Wayback Machine
Hemeroteca Municipal de Lisboa
International Standard Book Number
Benjamin Moser
Cultrix
International Standard Serial Number
Digital object identifier
Wikiquote
Moacyr Scliar
Fundação Casa de Rui Barbosa
Hélène Cixous
Betty Milan
Água Viva (romance)
Prêmio Jabuti - Romance Literário
Jorge Amado
Marques Rebelo
Maria de Lourdes Teixeira
Osório Alves de Castro
Francisco Marins
José Cândido de Carvalho
Érico Veríssimo
José Mauro de Vasconcelos
Bernardo Élis
Ibiapaba Martins
Lenita Miranda de Figueiredo
Luis Martins
Rubens Teixeira Scavone
Lygia Fagundes Telles
Adonias Filho
Ivan Ângelo
Herberto Sales
Mário Donato
Dyonélio Machado
Sylviano Santiago
José J. Veiga
Rubem Fonseca
João Ubaldo Ribeiro
Rubem Mauro Machado
Maria Adelaide Amaral
Emil Farhat
Maria Alice Barroso
Milton Hatoum
Zulmira Ribeiro Tavares
Chico Buarque
João Silvério Trevisan
Silviano Santiago
Isaías Pessotti
João Gilberto Noll
José Roberto Torero
Rodrigo Lacerda
Carlos Heitor Cony
Fausto Wolff
Flávio Moreira da Costa
Luiz Alfredo Garcia-Roza
Márcio Souza
Sérgio Sant'Anna
Carlos Nascimento Silva
Sônia Coutinho
Modesto Carone
Flávio Aguiar
Patrícia Melo
Domingos Pellegrini
Rubens Figueiredo
Dionisio Jacob
Luís Giffoni
Ana Miranda
Bernardo Carvalho
Luiz Antonio de Assis Brasil
Nélida Piñon
Cristovão Tezza
Godofredo de Oliveira Neto
Edgard Telles Ribeiro
Luiz Ruffato
Antônio Torres
Beatriz Bracher
