São Fidélis
São Paulo
Brasileiro
Helena Pereira da Silva Ohashi
Prêmio de Viagem à Europa
29 de agosto
1867
São Paulo (cidade)
17 de janeiro
1939
Pintor
Desenhista
Decorador
Professor
Brasil
Século XIX
Século XX
Theatro Municipal de São Paulo
Museu Paulista
1882
Academia Imperial de Belas Artes
Eliseu Visconti
João Batista da Costa
João Zeferino da Costa
Victor Meirelles
Francisco Manuel Chaves Pinheiro
José Maria de Medeiros
Igreja de Nossa Senhora da Candelária
Benedito Calixto
Paróquia Matriz Nossa Senhora da Conceição (Santa Ifigênia)
Paróquia Nossa Senhora da Consolação (São Paulo)
Igreja Nossa Senhora do Rosário dos Homens Pretos (São Paulo)
Igreja de Nossa Senhora da Conceição
Aclamação de Amador Bueno
Estúdio
Léon Bonnat
Jean-Léon Gérôme
École des Beaux-Arts
Realismo
Eugène Delacroix
Impressionismo
Liceu de Artes e Ofícios de São Paulo
Ginásio do Estado de São Paulo
Pinacoteca do Estado de São Paulo
Museu do Ipiranga
Semana de Arte Moderna
Instituto Histórico e Geográfico de São Paulo
Lista de pinturas de Oscar Pereira da Silva
Almeida Júnior
Escrava Romana (Oscar Pereira da Silva)
Desembarque de Pedro Álvares Cabral em Porto Seguro em 1500
Fundação de São Paulo (Oscar Pereira da Silva)
Rodolfo Bernardelli
International Standard Serial Number
Digital object identifier
Base Virtual Internacional de Autoridade
Itaú Cultural
Museu de Arte do Rio Grande do Sul Ado Malagoli
Union List of Artist Names
