Regência
Latim
Governo
Chefe de Estado
Monarca
Família real
Interregno
Diogo Antônio Feijó
Pedro de Araújo Lima
Finlândia
Hungria
Primeira Guerra Mundial
Islândia
Lista de reis da Dinamarca
República
República das Duas Nações
Primaz
Reino de Roma
Reino de Portugal
Brasil Colônia
Conselho de Regência de 1807
Império do Brasil
Período regencial (Brasil)
Isabel do Brasil
Lei Áurea
Papa
Papa Leão XIII
Rosa de Ouro (condecoração)
Almirante
Miklós Horthy
Liechtenstein
Quedá
Lista de regentes de Portugal
