Palácio Guanabara
Rio de Janeiro (cidade)
Rio de Janeiro (estado)
Palácio Iguaçu
Curitiba
Paraná
Califórnia
Sacramento (Califórnia)
Latim
Cargo
Político
Eleição
Autoridade
Poder executivo
Província
Distrito
Estado
Federação
Brasil
Ano
Sufrágio universal
Brasil Colônia
1821
Donatário
Capitão-mor
Oligarquia
Senhor de engenho
Império do Brasil
1824
1889
Presidente (província)
28 de fevereiro
Capitanias do Brasil
Família imperial brasileira
Constituição brasileira de 1824
Partido Conservador (Brasil Império)
Partido Liberal (Brasil Império)
Carta Imperial
República Velha
1930
Era Vargas
1947
Interventor federal
República Nova (Brasil)
Estados brasileiros
República Popular da China
Portugal
Governo da República Portuguesa
Distritos de Portugal
Conselho de Ministros
Governador civil
Governador-geral
