Século
Século XVIII
Século XIX
Século XX
Década
Década de 1770
Década de 1780
Década de 1790
Década de 1800
Década de 1810
Década de 1820
Década de 1830
Década de 1840
Década de 1850
Década de 1860
Década de 1870
Ano
1817
1818
1819
1820
1821
1823
1824
1825
1826
1827
Wikimedia
Calendário gregoriano
Ab urbe condita
Calendário arménio
Calendário bahá'í
Calendário budista
Calendário chinês
23 de janeiro
Calendário copta
Calendário etíope
Calendário hindu
Vikram Samvat
Calendário nacional indiano
Cáli Iuga
Calendário Holoceno
Calendário islâmico
Calendário judaico
Calendário persa
21 de março
Calendário rúnico
Calendário solar tailandês
Numeração romana
Ano comum
Calendário Gregoriano
Era de Cristo
Letra dominical
Terça-feira
Forte de São Sebastião (Angra do Heroísmo)
Baía de Angra
José Carlos de Figueiredo
Hieroglifo
Thomas Young
Jean-François Champollion
Pedra de Roseta
Corografia Açórica
João Soares de Albergaria de Sousa
Velas
Ilha de São Jorge
Frederico Augusto de Mesquita
Guerra do Paraguai
1884
5 de janeiro
7 de janeiro
Rio de Janeiro
Argus (navio)
Libéria
9 de janeiro
Pedro I do Brasil
Lisboa
Dia do Fico
11 de janeiro
Guerra da Independência do Brasil
Rebelião de Avilez
Jorge de Avilez Zuzarte de Sousa Tavares
13 de janeiro
Grécia
Império Otomano
16 de janeiro
José Bonifácio
18 de janeiro
Chanceler
16 de fevereiro
Império do Brasil
Conselho dos Procuradores Gerais das Províncias do Brasil
19 de fevereiro
Joana Angélica
26 de fevereiro
4 de maio
13 de maio
Maçonaria
24 de maio
Equador
Espanha
3 de junho
14 de junho
Santo Amaro (Bahia)
Independência do Brasil
25 de junho
Batalha de Cachoeira
Cachoeira (Bahia)
Província da Bahia
Príncipe Regente do Brasil
21 de julho
Agustín de Iturbide
México
17 de julho
1 de agosto
2 de agosto
13 de agosto
Maria Leopoldina de Áustria
14 de agosto
São Paulo (estado)
2 de setembro
7 de setembro
Brasil
Portugal
12 de outubro
Imperador do Brasil
25 de outubro
1 de dezembro
Ordem Imperial do Cruzeiro
24 de dezembro
6 de Janeiro
Heinrich Schliemann
Troia
1890
3 de Março
Bernhard Hammer
Presidente da Confederação suíça
1879
1907
14 de março
Teresa Cristina de Bourbon-Duas Sicílias
Imperatriz do Brasil
11 de março
Joseph Bertrand
1900
27 de Abril
Ulysses S. Grant
Presidente dos Estados Unidos
1885
20 de Maio
Frédéric Passy
Nobel da paz
1901
1912
22 de Julho
Gregor Mendel
26 de Julho
Jakob Dubs
1864
27 de dezembro
Louis Pasteur
Bactérias
1895
24 de Janeiro
Ali Paxá de Tepelene
1741
4 de fevereiro
19 de Fevereiro
1761
25 de Junho
Ernst Theodor Amadeus Wilhelm Hoffmann
1776
25 de Agosto
William Herschel
Astronomia
Inglaterra
Alemanha
15 de Novembro
1738
13 de Outubro
Antonio Canova
1757
17 de Novembro
Joaquim Machado de Castro
1731
23 de Dezembro
Santo Antônio de Sant'Ana Galvão
Frei Galvão
1822 no Brasil
1822 na ciência
1822 no jornalismo
1822 na literatura
1822 na música
