Arthur Lira
1 de fevereiro
2021
Residência oficial
Lago Sul
Distrito Federal (Brasil)
Deputado
Ano
8 de maio
1826
Luís Pereira da Nóbrega de Sousa Coutinho
Ulysses Guimarães
Presidente da Câmara dos Deputados do Brasil
Câmara dos Deputados do Brasil
Constituição da República Federativa do Brasil
Presidente
Câmara dos Deputados
Vice-presidente do Brasil
Presidente do Brasil
Lei Áurea
Câmara dos Comuns do Reino Unido
Reino Unido da Grã-Bretanha e Irlanda do Norte
1889
Proclamação da república do Brasil
Império
Câmara dos Representantes dos Estados Unidos
Deputado federal
Mandato
Governador
Estado
Senador
Deputado estadual
Estados do Brasil
Habitante
Progressistas
Alagoas
Rodrigo Maia
Democratas (Brasil)
Monarquia Constitucional
Império do Brasil
Partido Conservador (Brasil)
Partido Liberal (1831)
Partido Democrático
Partido Popular
Partido Moderado (Brasil)
Liga Progressista
Partido Federalista
Primeiro Reinado
Luís Pereira da Nóbrega Sousa Coutinho
21 de dezembro
Província do Rio de Janeiro
Francisco de Paula Sousa e Melo
4 de maio
1827
2 de junho
Pedro de Araújo Lima
5 de maio
1828
Província de Pernambuco
Partido Moderado
José da Costa Carvalho
6 de julho
Província da Bahia
Partido Conservador (Brasil Império)
Romualdo Antônio de Seixas
3 de julho
1829
Província do Grão-Pará
1830
José Ribeiro Soares da Rocha
3 de agosto
Período regencial (Brasil)
Martim Francisco Ribeiro de Andrada
Província de Minas Gerais
José Martiniano Pereira de Alencar
Província do Ceará
Antônio Paulino Limpo de Abreu
Bento de Oliveira Braga
Venâncio Henriques de Resende
Antônio Maria de Moura
Cândido José de Araújo Viana
Joaquim Marcelino de Brito
Segundo Reinado
Martim Francisco Ribeiro de Andrada (filho)
Província de São Paulo
Manuel Inácio Cavalcanti de Lacerda
José Joaquim Fernandes Torres
Francisco Muniz Tavares
José Pedro Dias de Carvalho
Antônio Pinto Chichorro da Gama
Partido Liberal (Brasil Império)
Gabriel Mendes dos Santos
José Ildefonso de Sousa Ramos
Maciel Monteiro
Brás Carneiro Nogueira da Costa e Gama
Pedro Francisco de Paula Cavalcanti de Albuquerque
Zacarias de Góis
Província do Paraná
Francisco José Furtado
Província do Maranhão
Camilo Maria Ferreira Armond
Joaquim Saldanha Marinho
Francisco de Paula da Silveira Lobo
