Taxa (razão)
Assassinato
Homicídio
Dolo
Roubo
Infanticídio
Suicídio
Eutanásia
Escritório das Nações Unidas sobre Drogas e Crime
Demografia
Violência
Sociedade
Alemanha
2004
United Nations Office on Drugs and Crime
Burundi
Comores
Djibouti
Eritreia
Etiópia
Quénia
Madagascar
Malawi
Maurícia
Moçambique
Ruanda
Seicheles
Somália
Guerra Civil da Somália
Sudão do Sul
Uganda
Tanzânia
Zâmbia
Zimbabwe
Angola
Camarões
República Centro-Africana
Chade
Congo
República Democrática do Congo
Guiné Equatorial
São Tomé e Príncipe
Gabão
Argélia
Egito
Líbia
Guerra Civil Líbia (2014–presente)
Marrocos
Sudão
Conflitos tribais sudaneses
Conflito no sul do Sudão (2011)
Tunísia
Botswana
Lesoto
Namíbia
África do Sul
Essuatíni
Benim
Burquina Fasso
Cabo Verde
Costa do Marfim
Gâmbia
Gana
Guiné
Guiné-Bissau
Libéria
Mali
Mauritânia
Níger
Nigéria
Senegal
Serra Leoa
Togo
Anguila
Antígua e Barbuda
Aruba
Bahamas
Barbados
Ilhas Virgens Britânicas
Ilhas Cayman
Cuba
Domínica
República Dominicana
Granada (país)
Guadalupe
Haiti
Jamaica
Martinica
Montserrat
Porto Rico
São Cristóvão e Nevis
Santa Lúcia
São Vicente e Granadinas
Trindade e Tobago
Ilhas Turks e Caicos
Ilhas Virgens Americanas
Belize
Costa Rica
El Salvador
Guatemala
Honduras
México
Guerra contra o narcotráfico no México
Nicarágua
Panamá
Bermudas
Canadá
Gronelândia
Estados Unidos
Argentina
Bolívia
Brasil
Chile
Colômbia
Guerra Civil na Colômbia
Equador
Guiana Francesa
Guiana
Paraguai
Peru
Suriname
Uruguai
Venezuela
Cazaquistão
Quirguistão
Tajiquistão
Turquemenistão
Uzbequistão
China
Taiwan
Coreia do Norte
Hong Kong
Japão
Macau
Mongólia
Coreia do Sul
Brunei
Camboja
Indonésia
Laos
Malásia
Myanmar
Filipinas
Singapura
Tailândia
Timor-Leste
Vietname
Afeganistão
Guerra Civil do Afeganistão
Bangladesh
Butão
Índia
Irã
Maldivas
Nepal
Paquistão
Guerra no Noroeste do Paquistão
Sri Lanka
Arménia
Azerbaijão
Bahrein
Chipre
Geórgia
Iraque
Guerra do Iraque
Israel
Conflito israelo-palestino
Jordânia
Kuwait
Líbano
Territórios palestinos
Omã
Catar
Arábia Saudita
Síria
Guerra Civil Síria
Turquia
Emirados Árabes Unidos
Iémen
Bielorrússia
Bulgária
Chéquia
Hungria
Polónia
Moldávia
Roménia
Rússia
Eslováquia
Ucrânia
Dinamarca
Estónia
Finlândia
Islândia
República da Irlanda
Letónia
Lituânia
Noruega
Suécia
Reino Unido
Albânia
Andorra
Bósnia e Herzegovina
Croácia
Grécia
Itália
Kosovo
Malta
Montenegro
Portugal
Sérvia
Eslovénia
Espanha
Macedónia do Norte
Áustria
Bélgica
França
Liechtenstein
Luxemburgo
Mónaco
Países Baixos
Suíça
Austrália
Nova Zelândia
Fiji
Nova Caledônia
Papua-Nova Guiné
Ilhas Salomão
Vanuatu
Guam
Kiribati
Ilhas Marshall
Estados Federados da Micronésia
Nauru
Palau
Ilhas Cook
Polinésia Francesa
Niue
Samoa
Tonga
Tuvalu
África
América
Ásia
Europa
Oceania
Mundo
África Oriental
África Central
África Setentrional
África Austral
África Ocidental
Caribe
América Central
América do Norte
América do Sul
Ásia Central
Ásia Oriental
Sudeste Asiático
Ásia Meridional
Ásia Ocidental
Europa Oriental
Europa Setentrional
Europa Meridional
Europa Ocidental
Australásia
Melanésia
Micronésia
Polinésia
Irlanda
InSight Crime
Lista de cidades por taxa de homicídios
Digital object identifier
Wayback Machine
Statistics Canada
Lista de Estados soberanos
Happy Planet Index
Índice de Desempenho Ambiental
Lista de países por emissões de dióxido de carbono per capita
Lista de países por risco de desastre natural
Lista de países por código do COI
Lista de códigos de país da FIFA
Lista de códigos de país FIPS
ISO 3166-1
Prefixo naval
Lista de códigos telefónicos
Lista de TLDs
Lista de países por esperança média de vida à nascença
Lista de Estados soberanos e territórios dependentes por taxa de fecundidade
Lista de países por população imigrante
Lista de países por índice de mortalidade
Lista de países por índice de mortalidade infantil
Lista de países por taxa de natalidade
Lista de países por população
Lista de países por crescimento populacional
Lista de países por densidade populacional
Lista de países por principais grupos religiosos
Lista de países por população budista
Igreja Católica no mundo
Lista de países por população muçulmana
Protestantes por país
Lista de países por irreligião
Lista de países e territórios por índice de urbanização
Índice Composto de Capacidade Nacional
Índice de Capital Humano
Índice de Competitividade Mundial
Índice Internacional de Direitos de Propriedade
Lista de países por igualdade de riqueza
Lista de países por dívida externa
Lista de países por dívida pública
Lista de países por exportações
Lista de países por importações
Lista de países por índice de inflação
Índice de Inovação Global
Índice de Liberdade Econômica
Lista de países pelo número de milionários
Lista de países por número de bilionários
Lista de moedas
Lista das maiores perdas financeiras mundiais
Índice de Prosperidade Legatum
Lista de países por riqueza total
Lista de países por salário mínimo
Lista dos países que mais utilizam a tecnologia
Lista de países por carga tributária
Lista de países por consumo de álcool
Lista de países por consumo de cerveja por pessoa
Idade legal para consumo de bebidas alcoólicas
Consumo anual de cannabis por país
Lista de países por uso de canábis na vida adulta
Lista de países por número de celulares em uso
Lista de países por penetração de smartphones
Lista de países por número de assinaturas de Internet de banda larga
Lista de países por número de usuários de Internet
Lista de países por velocidades de conexão de Internet
Lista de países pelo consumo total de energia per capita
Lista de países por consumo de eletricidade
Lista de países por produção de eletricidade
Lista de países por produção de eletricidade renovável
Lista de países por exportação de gás natural
Lista de países por produção de gás natural
Lista de países por reservas comprovadas de gás natural
Lista de países por exportação de petróleo
Lista de países por produção de petróleo
Lista de países por reservas de petróleo
Lista de países por crescimento do PIB
Lista de países por taxa de crescimento real de PIB
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Lista de países por PIB (Paridade do Poder de Compra)
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por produção de alumínio
Lista de países por produção de antimônio
Lista de países por produção de bauxita
Lista de países por produção de bismuto
Lista de países por produção de carvão
Lista de países por reservas de carvão
Lista de países por produção de chumbo
Lista de países por produção de cobre
Lista de países por produção de crômio
Lista de países por produção de diamante
Lista de países por produção de estanho
Lista de países por produção de ferro
Lista de países por produção de lítio
Lista de países por produção de magnésio
Lista de países por produção de manganês
Lista de países por produção de mercúrio
Lista de países por produção de níquel
Lista de países por produção de ouro
Lista de países por produção de platina
Lista de países por produção de prata
Lista de países por produção de urânio
Lista de países por produção de zinco
Lista de países por número de aeroportos
Lista de países por mercados automotivos
Lista de países por veículos per capita
Lista de países por produção de veículos automóveis
Lista de países por número de heliportos
Lista de países por dimensão da malha ferroviária
Estatísticas totais de metropolitanos por país
Lista de países e territórios por área
Lista de capitais nacionais
