Pedro II
Mathew Brady
Lista de monarcas do Brasil
7 de abril
1831
15 de novembro
1889
18 de julho
1841
Pedro I do Brasil
Deodoro da Fonseca
Presidente do Brasil
Francisco de Lima e Silva
Nicolau Pereira de Campos Vergueiro
José Joaquim Carneiro de Campos
José da Costa Carvalho
João Bráulio Muniz
Diogo Antônio Feijó
Pedro de Araújo Lima
Príncipe Imperial do Brasil
2 de agosto
1826
Maria II de Portugal
Januária de Bragança
2 de dezembro
1825
Palácio de São Cristóvão
Rio de Janeiro
Império do Brasil
5 de dezembro
1891
Paris
Terceira República Francesa
12 de dezembro
Panteão da Dinastia de Bragança
Igreja de São Vicente de Fora
Lisboa
Portugal
8 de janeiro
1925
Mausoléu Imperial
Catedral de Petrópolis
Petrópolis
Brasil
Teresa Cristina de Bourbon-Duas Sicílias
Afonso Pedro de Bragança
Isabel do Brasil
Leopoldina de Bragança
Pedro Afonso de Bragança
Casa Real
Dinastia de Bragança
Maria Leopoldina da Áustria
Igreja Católica
Casa de Bragança
Abdicação de Pedro I do Brasil
Reino de Portugal
Declaração da Maioridade
Guerra do Prata
Guerra do Uruguai
Guerra do Paraguai
Graham Bell
Charles Darwin
Victor Hugo
Friedrich Nietzsche
Richard Wagner
Louis Pasteur
Henry Wadsworth Longfellow
Infância e juventude de Pedro II do Brasil
Pedro de Alcântara
Dom (título)
João VI de Portugal
Miguel I de Portugal
Francisco I da Áustria
Sacro Império Romano-Germânico
Império Austríaco
Napoleão Bonaparte
Francisco José I da Áustria
Maximiliano do México
Natimorto
Amélia de Leuchtenberg
Partido Conservador (Império)
Partido Liberal (1831)
Félix Émile Taunay
Museu Imperial
José Bonifácio de Andrada e Silva
Mariana Carlota de Verna Magalhães Coutinho
Guerra da Cisplatina
Sociedade Promotora da Maioridade
Coroação de Pedro II do Brasil
François-René Moreaux
Período regencial (Brasil)
Coroação de Dom Pedro II do Brasil
Johann Moritz Rugendas
Reino das Duas Sicílias
Província de São Paulo
Paraná
Província de Santa Catarina
Província de São Pedro do Rio Grande do Sul
Daguerreótipo
Bill Aberdeen
Revolta Praieira
Pernambuco
Lei Eusébio de Queirós
Confederação Argentina
Juan Manuel de Rosas
Uruguai
América do Sul
Chefe de Estado
Câmara dos Deputados do Brasil
Senado Federal do Brasil
Leopoldina de Bragança e Bourbon
Afonso Pedro de Alcântara de Bragança
Luísa Margarida de Barros Portugal
Trabalhador compulsivo
Casaca
Joias do Império do Brasil
Polímata
Antropologia
Geografia
Geologia
Medicina
Direito
Ciência da religião
Filosofia
Pintura
Escultura
Enxadrismo
Teatro
Música
Astronomia
Química
Física
Poesia
Tradução
Tecnologia
Linguística
Língua portuguesa
