18 de junho
1902
Campinas
São Paulo (estado)
Brasil
10 de fevereiro
1958
Rio de Janeiro
Rio de Janeiro (estado)
Pintor
Modernista
Rio de Janeiro (cidade)
Pintura
Modernismo
Brasileiros
Imigração italiana no Brasil
Retignano
Toscana
Capital paulista
Isaurinha Garcia
Massa-Carrara
Primeira Guerra Mundial
Pietrasanta
Forte dei Marmi
Mediterrâneo
Gênova
Alexandria
Santos
Companhia União dos Refinadores - Açúcar e Café
Litoral
Guarujá
Marinha do Brasil
A Noite Ilustrada
Núcleo Bernardelli
Campo de Santana (Rio de Janeiro)
Bruno Lechowski
Escola de Belas Artes da Universidade Federal do Rio de Janeiro
Ado Malagoli
Expedito Camargo Freire
Manuel Santiago
Bustamante Sá
Silvio Pinto
Campos do Jordão
São João del-Rei
Bienal de Veneza
Bienal de Arte de São Paulo
Museu de Arte Moderna do Rio de Janeiro
Câncer de estômago
Cemitério São João Batista (Rio de Janeiro)
Botafogo
Augusto Frederico Schmidt
Base Virtual Internacional de Autoridade
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Rijksbureau voor Kunsthistorische Documentatie
Biblioteca Nacional do Brasil
Itaú Cultural
Union List of Artist Names
Open Library
