Organização internacional
15 de maio
1954
31 de julho
2012
França
Paris
Língua castelhana
Língua francesa
Língua italiana
Língua portuguesa
Língua romena
Língua catalã
Línguas românicas
Madrid
Espanha
América
Europa
Ásia-Pacífico
África
Linguística
Educação
Meios de comunicação social
Literatura
Publicação
Televisão
Rádio (telecomunicações)
Roma Antiga
Latim
Cultura
Direito
Liberdade
Direitos humanos
Democracia
Religião
Bolívia
Chile
Colômbia
Costa Rica
Cuba
República Dominicana
Equador
El Salvador
Filipinas
Guatemala
Honduras
Nicarágua
Panamá
Paraguai
Peru
Uruguai
Venezuela
Haiti
Costa do Marfim
Mónaco
Senegal
Angola
Brasil
Cabo Verde
Timor-Leste
Guiné-Bissau
Moçambique
Portugal
São Tomé e Príncipe
Itália
San Marino
Moldávia
Romênia
Andorra
Catalunha
Comunidade Valenciana
Baleares
Alghero
Pirenéus Orientais
Argentina
México
Vaticano
Ordem de Malta
Comunidade dos Países de Língua Portuguesa
Lusofonia
América Latina
Bloco Latino
Iberos
Organização Internacional da Francofonia
Francofonia
Lista de povos itálicos
Organização dos Estados Ibero-americanos
Associação de Academias da Língua Espanhola
Hispânicos
América espanhola
Ibero-América
Pan-hispanismo
Estados Unidos da África Latina
Wayback Machine
