Classificação científica
Reino (biologia)
Animalia
Filo
Chordata
Classe (biologia)
Mammalia
Placentalia
Ordem (biologia)
Xenarthra
Pilosa
Vermilingua
Família (biologia)
Nome científico
Mamífero
Floresta
Savana
América Central
América do Sul
Belize
Argentina
Alimentação
Formiga
Cupim
Língua
Focinho
Garra
Pata (animal)
Locomoção
Tamanduá-bandeira
Cauda
Fêmea
Filhote
Predador
Habitat
Língua tupi
Tamanduá-mirim
Tamanduaí
Pantanal
Wikilivros
Eutheria
Folivora
Brádipo
Bradypus pygmaeus
Preguiça-de-coleira
Preguiça-de-bentinho
Preguiça-comum
Megaloniquídeos
Choloepus
Choloepus didactylus
Choloepus hoffmanni
Tamandua
Tamandua mexicana
Tesauro de Arte e Arquitetura
Grande Enciclopédia Soviética
Arquivos Nacionais e Administração de Documentos
Taxonomia
Animal Diversity Web
Enciclopédia da Vida
Organização Europeia e Mediterrânica para a Proteção das Plantas
Fossilworks Paleobiology Database
Global Biodiversity Information Facility
INaturalist
ITIS
Mammal Species of the World
National Center for Biotechnology Information
Sistema Unificado de Linguagem Médica
