Brasil
1995 no cinema
Minuto
Gênero cinematográfico
Filme de romance
Filme de drama
Diretor de cinema
Fábio Barreto
Produção cinematográfica
Lucy Barreto
Roteirista
Antônio Calmon
Leopoldo Serran
O Quatrilho (livro)
José Clemente Pozenato
Glória Pires
Patrícia Pillar
Bruno Campos
Alexandre Paternost
Gianfrancesco Guarnieri
José Lewgoy
Cecil Thiré
Cláudio Mamberti
Antônio Carlos Pires
Caetano Veloso
L. C. Barreto
Distribuição cinematográfica
Paramount Pictures
20 de outubro
1995
Língua portuguesa
Língua italiana
Filme
Óscar
1996
1910
Rio Grande do Sul
Imigração italiana no Brasil
José Vitor Castiel
O Pagador de Promessas
Anselmo Duarte
Farroupilha
Salto ventoso
Caminhos de Pedra
Jaques Morelenbaum
Estados Unidos
Associação Paulista de Críticos de Arte
Japão
Cuba
Festival de Havana
Lista de representantes brasileiros para o Oscar de Melhor Filme Estrangeiro
Lista de filmes brasileiros com mais de um milhão de espectadores
Wayback Machine
IMDb
"Índia, a Filha do Sol"
O Rei do Rio
Luzia Homem (filme)
Lambada (filme)
Bela Donna
A Paixão de Jacobina
Nossa Senhora de Caravaggio (filme)
"Lula, o Filho do Brasil (filme)"
