Pop Rock Brasil
Roque Brasiliano
Rock
Estados Unidos
Brasil
Década de 1950
Nora Ney
Samba-canção
Rock Around the Clock
Bill Haley & His Comets
Blackboard Jungle
Acordeão
Marisa Gata Mansa
Agostinho dos Santos
Tim Maia
Roberto Carlos
Erasmo Carlos
Jorge Ben
Rock and roll
Rockabilly
Grupo vocal
The Sputniks
Ronnie Self
Little Richard
Boogie woogie
Long Tall Sally
Elvis Presley
Carlos Imperial
Copa do Mundo de 1970
Cauby Peixoto
Sherlock de Araque
Paulo Silvino
Doo-wop
The Platters
Betinho & Seu Conjunto
Tony Campello
Celly Campelo
Rock instrumental
The Blue Jean Rockers
RCA Victor
Hound Dog
Chuck Berry
Abuso infantil
Jerry Lee Lewis
Pastor evangélico
Buddy Holly
Ritchie Valens
The Big Bopper
Bossa nova
João Gilberto
Rede Record
São Paulo (cidade)
Rio de Janeiro (cidade)
TV Tupi
Iê-iê-iê
Jovem Guarda
Arquivo Nacional (Brasil)
Revista
Sérgio Murilo
Louco por Você
Splish Splash (álbum de Roberto Carlos)
Bobby Darin
Luiz Ayrão
Demétrius
Eduardo Araújo
Ronnie Cord
Wilson Miranda
Surf music
The Jet Blacks
The Clevers
Os Incríveis (banda)
Hervé Cordovil
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini
Rua Augusta (canção)
É Proibido Fumar (canção)
Jovem Guarda (programa de televisão)
Wanderléa
Renato e seus Blue Caps
Golden Boys
Jerry Adriani
Dick Danello
The Beatles
Roberto Carlos em ritmo de aventura (filme)
A Hard Day's Night (filme)
Help! (filme)
Órgão Hammond
MPB
Elis Regina
Jair Rodrigues
Marcha contra a Guitarra Elétrica
Dodô e Osmar
Guitarra baiana
Trio Elétrico
Tropicália
Rock psicodélico
Os Mutantes
Rita Lee
Arnaldo Baptista
Sérgio Dias
Ronnie Von
Serguei
Caetano Veloso
Gilberto Gil
"Alegria, Alegria"
Sgt. Pepper's Lonely Hearts Club Band
Tropicália ou Panis et Circensis
Gal Costa
Tom Zé
Torquato Neto
Capinan
Rogério Duprat
Nara Leão
Beat Boys
Os Baobás
Os Brazões
Kurt Cobain
Nirvana (banda)
The Galaxies
Soul music
Funk
Samba-rock
Raul Seixas
Raulzito e os Panteras (álbum)
Trio Ternura
Renato e Seus Blue Caps
Gal (álbum de 1969)
Janis Joplin
Jimi Hendrix
Lanny Gordin
