Suécia
Suíço (futebolista)
Jean Luc Rosat
Língua alemã
Língua francesa
Língua italiana
Língua romanche
Bandeira da Suíça
Brasão de armas da Suíça
"Unus pro omnibus, omnes pro uno"
Latim
Hino nacional da Suíça
De jure
Berna
De facto
Zurique
Romanche
Gentílico
Sistema diretorial
Federação
Democracia direta
Conselho Federal (Suíça)
Viola Amherd
Presidente da Confederação Helvética
Guy Parmelin
Ignazio Cassis
Karin Keller-Sutter
Albert Rösti
Élisabeth Baume-Schneider
Beat Jans
Independência da Suíça
1 de agosto
1291
Tratado de Basileia (1499)
22 de setembro
1499
24 de outubro
1648
7 de agosto
1815
12 de setembro
1848
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Alemanha
Áustria
Liechtenstein
Itália
França
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhões
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Franco suíço
ISO 4217
Fuso horário
Horário da Europa Central
Tempo Universal Coordenado
Horário de verão
ISO 3166-1
Lista de TLDs
.ch
Lista de códigos telefónicos
Suíço-alemão
República federal
Cantões da Suíça
Cantão
Europa Central
País sem costa marítima
Jura (cordilheira)
Planalto suíço
Alpes
Cidade global
Genebra
Per capita
Qualidade de vida
País neutro
Fórum Económico Mundial
Movimento Internacional da Cruz Vermelha e do Crescente Vermelho
Organização Mundial do Comércio
União Postal Universal
Organização Internacional de Normalização
Escritório das Nações Unidas em Genebra
Associação Europeia de Comércio Livre
Acordo de Schengen
Comité Olímpico Internacional
Federação Internacional de Futebol
União das Associações Europeias de Futebol
Federação Internacional de Basquetebol
Federação Internacional de Voleibol
Simbolismo
Helvécios
Revolução Suíça de 1798
Antiga Confederação Helvética
Uri (cantão)
Schwyz
Unterwald
Lucerna
Internet
Século XVIII
Guerra dos Trinta Anos
História da Suíça
Império Romano
Celtas
Europa
Lago de Neuchâtel
Batalha de Bibracte
República Romana
Júlio César
Augusta Ráurica
Rio Reno
Imperador romano
Augusto
Lausana
Octoduro
Martigny (Valais)
Soleura
Sião (Suíça)
Basileia
Bellinzona
Burgúndios
Alamanos
Lombardos
Idade Média
Francos
Carlos Magno
Tratado de Verdun
Lotário I
Rio Aar
Sacro Império Romano-Germânico
Reforma Suíça
Confederação Suíça
Pacto Federal de 1291
Carbono-14
Passo de São Gotardo
Waldstätte
Friburgo (Suíça)
Lucerna (cantão)
Zurique (cantão)
Zug (cantão)
Berna (cantão)
Glarus (cantão)
Appenzell Interior
São Galo (cantão)
Borguinhões
Schwyz (cantão)
Antiga Guerra de Zurique
Glarona
Nicolau de Flüe
Friburgo (cantão)
Soleura (cantão)
Grisões
Guerra dos Suabos
Schaffhausen
Appenzell (cantão)
Antigo Regime
Oligarquia
Genebra (cantão)
Toggenburg
Napoleão Bonaparte
Aristocracia
Schinznach-Bad
Argóvia
República Helvética
Ata de Mediação
Revolução Francesa
Monarquia
Tomada da Bastilha
Direito de petição
Aarau
Vaud
Frédéric-César de La Harpe
Lyon
Lago Léman
Lago de Genebra
Ménard
Schaffhausen (cantão)
Neuchâtel (cantão)
Bienna
Camponês
Golpe de Estado
Nidwald
Obwald
Appenzell (comuna)
Turgóvia
Ticino
Guerra de Sonderbund
Batalha de Waterloo
Valais
Estados Unidos
Povo dos Estados Unidos
Declaração Universal dos Direitos Humanos
Basileia-Campo
Revolução Industrial
Túnel ferroviário de São Gotardo
Indústria têxtil
Reino Unido
Galo de Arbon
Carvão vegetal
Bloqueio Continental
Capitalismo
Torgau
Suíça durante as Guerras Mundiais
Ulrich Wille
Henri Guisan
Áustria-Hungria
Escândalo Grimm-Hoffmann
Sociedade das Nações
Conselho Europeu
Alemanha Nazista
Itália Fascista
Operação Árvore de Natal
Reduto nacional (Suíça)
Aliados
Potências do Eixo
Segunda Guerra Mundial
Refugiado
Nazismo
Judeus
Europa Ocidental
União Democrática do Centro
Parlamento da Suíça
Coligação política
Organização das Nações Unidas
Vaticano
Espaço Económico Europeu
União Europeia
Espaço Schengen
Geografia da Suíça
Lago de Constança
Rio Ródano
Alpes suíços
Matterhorn
Lago dos Quatro Cantões
Calcário
Eucalyptus
Pinheiro
Geleira
Íbex
Marmota
Columbídeos
Corvo
Gaivota
Classificação climática de Köppen-Geiger
Verão
Inverno
Sibéria
Chuva
Montreux
Lugano
Vento Föhn
Glaciar de Aletsch
Clima temperado
Vale de Joux
Lago Lugano
Lago Genebra
Aquecimento global
Davos
Demografia da Suíça
Sião (Valais)
Lausanne
Winterthur
St. Gallen
Biel/Bienne
Suíça alemã
Suíça romanda
Suíça italiana
Sierre
Ideológica
Röstigraben
Dialeto
Língua inglesa
Língua franca
Alemão padrão
Suíça francesa
Alemão suíço
Portugueses
Espanhóis
Italianos
Sérvios
Albaneses
Português europeu
Língua albanesa
Língua castelhana
Língua sérvia
Língua turca
Religião
Religião oficial
Igreja Católica Romana
Igreja Reformada Suíça
Velha Igreja Católica
Judaísmo
Cristianismo
Igrejas protestantes
Ortodoxia Oriental
Denominações cristãs
Islã
Irreligião
Ateísmo
Agnosticismo
Pietismo
Pentecostalismo
Metodismo
Igreja Nova Apostólica
Testemunhas de Jeová
Hinduísmo
Budismo
Protestantismo
Reforma Protestante
João Calvino
República de Genebra
Roma
Theodore Beza
William Farel
Huldrych Zwingli
Heinrich Bullinger
Anabatista
Felix Manz
Conrad Grebel
Pietro Martire Vermigli
Hans Denck
Andreas Karlstadt
Johannes Oecolampadius
Berchtold Haller
Niklaus Manuel
São Galo (cidade)
Constituição Federal da Suíça
Separação Igreja-Estado
Política da Suíça
Lista de presidentes da Confederação Suíça
Assembleia Federal (Suíça)
Hierarquia
Forças Armadas
SBB-CFF-FFS
Católica
Conselho Nacional (Suíça)
Conselho dos Estados (Suíça)
Palácio Federal da Suíça
Assembleia da República
Representação proporcional
Senado dos Estados Unidos
Portugal
Brasil
Presidente da República
Primus inter pares
Landsgemeinde
Neutralidade suíça
Missões diplomáticas da Suíça
Nações Unidas
Organização do Tratado do Atlântico Norte
Palácio das Nações
Líbia
Associação Europeia de Livre Comércio
Referendo
Exército Suíço
F/A-18 Hornet
Força Aérea da Suíça
Milícia
OTAN
ONU
Guarda Suíça
Vorarlberg
Municípios da Suíça
Cantão de Valais
Cantão de Tessino
Graubünden
Cantão de Neuchâtel
Cantão do Jura
Cantão de Berna
Cantão de Turgóvia
Cantão de Zurique
Cantão de Argóvia
Cantão de Lucerna
Cantão de Solothurn
Cantão de Schaffhausen
Cantão de Uri
Cantão de Schwyz
Cantão de Glarus
Cantão de São Galo
Appenzell Interior (cantão)
Appenzell Exterior (cantão)
Obwald (cantão)
Nidwald (cantão)
Cantão de Zug
Basileia-Cidade
Listenstaine
Economia da Suíça
Relógio
Exportação
Século XIX
Sistema bancário livre
Moeda privada
Regulação bancária
PIB
Dólar dos Estados Unidos
Taxa de câmbio
Paridade de poder de compra
PIB per capita
Taxa de desemprego
Competitividade
Proteccionismo
Agricultura
Capital financeiro
Sigilo bancário
The World Factbook
CIA
Lavagem de dinheiro
Paraísos fiscais
OCDE
Euro
Grande Recessão
Crise do subprime
Lehman Brothers
UBS
Hoffmann–La Roche
Nestlé
Macroeconomia
Setor primário
Setor secundário
Alfândega
Inflação
Turismo na Suíça
Lauterbrunnen
J. R. R. Tolkien
Rivendell
Zermatt
Engadina
Turismo
Usina nuclear
Däniken
Iniciativa popular
Sociedade dos 2.000 watts
Transporte na Suíça
Túnel de base de São Gotardo
Nova ferrovia transalpina
Bitola padrão
Bitola estreita
Ferrovia Rética
Patrimônio Mundial
Linha Matterhorn-Gotthard
St. Moritz
Maciço de São Gotardo
Autoestrada
Vinheta de autoestrada
Francos suíços
Aeroporto de Zurique
Aeroporto de Genebra
Leonhard Euler
Louis Agassiz
Auguste Piccard
Albert Einstein
Educação primária
Campus
Instituto Federal de Tecnologia de Zurique
Ensino secundário
Universidade
Escola Politécnica Federal de Lausana
Grande Colisor de Hádrons
CERN
Ciência
Tecnologia
Agência Espacial Europeia
Michael Mayor
51 Pegasi b
Função (matemática)
Laboratório
Física
Expectativa de vida
Taxa de natalidade
Taxa de mortalidade
Doença cardiovascular
Cancro
SIDA
Cultura da Suíça
Grupos étnicos da Suíça
Línguas da Suíça
Culinária da Suíça
Turismo da Suíça
Literatura da Suíça
Música da Suíça
Esporte da Suíça
Lista do Patrimônio Mundial da Suíça
Trompas alpinas
Grindelwald
Festival de Jazz de Montreux
Festival Internacional de Cinema de Locarno
Identidade nacional
Esqui
Caminhada
Mountain bike
Trompa alpina
Trombeta
Iodelei
Epítome
Jean-Jacques Rousseau
Jeremias Gotthelf
Gottfried Keller
Max Frisch
Friedrich Dürrenmatt
Hollywood
Germaine de Staël
Charles Ferdinand Ramuz
Blaise Cendrars
Heidi
Johanna Spyri
SRG SSR
Liberdade de imprensa
Liberdade de expressão
Neue Zürcher Zeitung
Le Temps
Televisão
Saas-Fee
Snowboard
Montanhismo
Esportes de inverno
Bobsleigh
Jogos Olímpicos de Inverno
Jogos Olímpicos de Inverno de 1928
Jogos Olímpicos de Inverno de 1948
Didier Cuche
Futebol
Hóquei no gelo
Esqui alpino
Tênis
Federação Internacional de Hóquei no Gelo
Comitê Olímpico Internacional
Museu Olímpico
Tribunal Arbitral do Esporte
Roger Federer
Grand Slam de tênis
Tenista
Copa do Mundo FIFA de 1954
Campeonato Europeu de Futebol de 2008
Super Liga Suíça
Nível do mar
Campeonato Mundial de Hóquei no Gelo de 2009
Vela (desporto)
America's Cup
Martina Hingis
Stanislas Wawrinka
Automobilismo
Desastre de Le Mans em 1955
Corrida de montanha (automobilismo)
Clay Regazzoni
Sébastien Buemi
Jo Siffert
Dominique Aegerter
Marcel Fässler
Nico Müller
A1 Grand Prix
Temporada da A1 Grand Prix de 2007–08
Neel Jani
Thomas Lüthi
MotoGP
Beisebol
Golfe
Fondue
Raclette
Rösti
Laticínio
Gruyère
Emmentaler (queijo)
Gruyères
Emmental
Chocolate suíço
Conchagem
Daniel Peter
Vinho
Uva
Terroir
Roma Antiga
Pinot noir
Merlot
Banco Mundial
International Monetary Fund
PNUD
PDF
Kilobyte
Enciclopédia Britânica
International Standard Book Number
Wayback Machine
Agence France-Presse
BBC
International Standard Serial Number
Digital object identifier
Encyclopædia Britannica Eleventh Edition
Historical Dictionary of Switzerland
Wikimedia
Suíça
Juramento do Rütli
Tratado de Basiléia (1499)
Pacto Federal
Lista de presidentes da Confederação suíça
Conselho Federal suíço
Forças Armadas suíças
Comunicações na Suíça
Subdivisões da Suíça
Anexo:Lista de lagos da Suíça
Anexo:Lista de rios da Suíça
Suíços
Lista de países
Albânia
Andorra
Arménia
Azerbaijão
Bélgica
Bielorrússia
Bósnia e Herzegovina
Bulgária
Cazaquistão
Chéquia
Chipre
Croácia
Dinamarca
Eslováquia
Eslovénia
Espanha
Estónia
Finlândia
Geórgia
Grécia
Hungria
República da Irlanda
Islândia
Letónia
Lituânia
Luxemburgo
Macedónia do Norte
Malta
Moldávia
Mónaco
Montenegro
Noruega
Países Baixos
Polónia
Roménia
Rússia
San Marino
Sérvia
Turquia
Ucrânia
Acrotíri e Deceleia
Gibraltar
Guernsey
Jersey
Ilha de Man
Ilhas Faroé
Åland
Abecásia
Kosovo
Ossétia do Sul
República Turca de Chipre do Norte
Transnístria
Reacção internacional à declaração de independência do Kosovo de 2008
Reconhecimento internacional da independência da Abecásia e Ossétia do Sul
País desenvolvido
Austrália
Canadá
China
Região administrativa especial
Hong Kong
Macau
Coreia do Sul
Irlanda
Israel
Japão
Nova Zelândia
Singapura
Taiwan
Comitê de Ajuda ao Desenvolvimento
Comissão Europeia
Base Virtual Internacional de Autoridade
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Biblioteca Nacional de Portugal
Biblioteca Nacional de Israel
Pontifícia Universidade São Tomás de Aquino
OpenStreetMap
Nomenclatura das Unidades Territoriais para Fins Estatísticos
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
TripAdvisor
Medical Subject Headings
