Nova Iorque
Sistema das Nações Unidas
Membros permanentes do Conselho de Segurança das Nações Unidas
China
França
Rússia
Reino Unido
Estados Unidos
17 de janeiro
1946
Wikimedia Commons
Organização das Nações Unidas
Estados-membros das Nações Unidas
Estado sucessor
União Soviética
República Popular da China
Assembleia Geral da ONU
Resolução do Conselho de Segurança das Nações Unidas
Secretário-Geral das Nações Unidas
Geoesquema das Nações Unidas
República da China
Estados Unidos da América
Linda Thomas-Greenfield
República Francesa
Governo Provisório da República da França
Quarta República Francesa
Reino Unido da Grã-Bretanha e Irlanda do Norte
Federação Russa
URSS
1984
Lista de membros do Conselho de Segurança das Nações Unidas
Assembleia Geral das Nações Unidas
Carta da ONU
África
América Latina
Caribe
Ásia
Europa Ocidental
Leste Europeu
1 de janeiro
Gabão
Gana
Emirados Árabes Unidos
Albânia
Brasil
Moçambique
Japão
Equador
Malta
Suíça
Serra Leoa
Argélia
Coreia do Sul
Eslovénia
Guiana
Somália
Paquistão
Panamá
Dinamarca
Grécia
Quénia
Conflito de Darfur
República Democrática do Congo
Nações G4
Secretário-geral das Nações Unidas
Kofi Annan
António Guterres
Alemanha
Segunda Guerra Mundial
Índia
G-4
Europa Central
Egito
Nigéria
África do Sul
Argentina
México
Itália
Coffee Club
Aníbal Cavaco Silva
2011
Língua portuguesa
Tratado de Não Proliferação de Armas Nucleares
Lista de membros eleitos para o Conselho de Segurança da ONU
Lista de vetos do governo dos Estados Unidos no Conselho de Segurança da ONU
Brasil e as Nações Unidas
Brasil no Conselho de Segurança das Nações Unidas
Agenzia Nazionale Stampa Associata
Agência Brasil
China continental
Nações Unidas
1971
Guerra Fria
Guerra Civil Chinesa
Taipé
1949
Reuters
História da Organização das Nações Unidas
Sociedade das Nações
Quatro Policiais
Alargamento da Organização das Nações Unidas
Assembleia Parlamentar das Nações Unidas
Bandeira das Nações Unidas
Dia das Nações Unidas
Línguas oficiais da Organização das Nações Unidas
Mandato da ONU
Grupos regionais das Nações Unidas
Presidentes da Assembleia Geral das Nações Unidas
Observadores da Assembleia Geral das Nações Unidas
Resolução da Assembleia Geral das Nações Unidas
Conselho de Direitos Humanos das Nações Unidas
Conferência das Nações Unidas sobre Comércio e Desenvolvimento
Centro de Comércio Internacional
Programa das Nações Unidas para o Desenvolvimento
Programa das Nações Unidas para o Meio Ambiente
Painel Intergovernamental sobre Mudanças Climáticas
Fundo de População das Nações Unidas
Programa das Nações Unidas para os Assentamentos Humanos
Alto-comissariado das Nações Unidas para os Refugiados
Fundo das Nações Unidas para a Infância
Escritório das Nações Unidas sobre Drogas e Crime
Agência das Nações Unidas de Assistência aos Refugiados da Palestina no Próximo Oriente
ONU Mulheres
Programa Alimentar Mundial
Instituto de Pesquisa das Nações Unidas para o Desenvolvimento Social
Universidade das Nações Unidas
UNAIDS
Escritório das Nações Unidas de Serviços para Projetos
Reforma do Conselho de Segurança das Nações Unidas
Poder de veto do Conselho de Segurança das Nações Unidas
Forças de manutenção da paz das Nações Unidas
Lista das missões de manutenção da paz das Nações Unidas
Polícia das Nações Unidas
Tribunal Especial para a Serra Leoa
Tribunal Penal Internacional para a ex-Jugoslávia
Tribunal Penal Internacional para o Ruanda
Comissão de Consolidação da Paz das Nações Unidas
Fundo para a Consolidação da Paz das Nações Unidas
Comissão de Estado-Maior
"Comissão das Nações Unidas de Vigilância, Verificação e Inspeção"
Conselho Económico e Social das Nações Unidas
Status Consultivo
Comissão das Nações Unidas para o Desenvolvimento Sustentável
Comissão Estatística das Nações Unidas
Comissão das Nações Unidas de Desenvolvimento Social
Fórum das Nações Unidas para as Florestas
Comissão Econômica para a América Latina e o Caribe
Comissão Econômica das Nações Unidas para a África
Comissão Económica das Nações Unidas para a Europa
Comissão Econômica e Social para a Ásia e o Pacífico
Lista de agências especializadas da Organização das Nações Unidas
Grupo Banco Mundial
Organização Mundial da Saúde
Organização Mundial do Comércio
"Organização das Nações Unidas para a Educação, a Ciência e a Cultura"
Agência Internacional de Energia Atómica
Fundo Internacional de Desenvolvimento Agrícola
Organização Internacional para as Migrações
Organização da Aviação Civil Internacional
