Tiradentes (Minas Gerais)
Brasil
1998
Minas Gerais
1997
Longa-metragem
Curta-metragem
Canal Brasil
Lista de festivais de cinema
Festival Internacional de Cinema de Alexandria
Festival de Berlim
Festival Biarritz Amérique Latine
Festival Internacional de Cinema do Brasil
Festival de Cannes
Festival Internacional de Cinema de Cartagena
Cine PE
Festival de Cinema Latino-Americano de Toulouse
Cinefantasy
Festival de Cinema de Países de Língua Portuguesa
Cineserra – Festival do Audiovisual da Serra Gaúcha
CRASH – Mostra Internacional de Cinema Fantástico
Festival Internacional de Cinema em Super 8 de Curitiba
Festival Curta Cinema
Curta Taquary
Festival de Cinema Fantástico de Porto Alegre
Festival Brasil de Cinema Internacional
Festival de Cinema Italiano
Festival Ecrã
Festival Internacional de Cinema Infantil
Festival de Cinema de Gante
Festival de Cinema de Gotemburgo
Festival de Gramado
Festival de Havana
Festival Internacional de Cinema de Karlovy Vary
Festival Internacional de Curtas-Metragens de Kiev
Los Angeles Brazilian Film Festival
Festival Internacional de Cinema de Locarno
Festival de Cinema de Londres
Mostra MacaBRo
Festival Internacional de Cinema de Miami
Festival Mix Brasil de Cultura da Diversidade
Molodist - Festival Internacional de Cinema de Kiev
Festival Internacional de Cinema de Moscou
Festival de Cinema de Munique
My French Film Festival
Amandaprisen
Festival de Cinema do Paraná
Festival do Rio
Festival Internacional de Cinema de San Sebastián
Festival Santa Cruz de Cinema
Mostra Internacional de Cinema de São Paulo
Santa Maria Vídeo e Cinema
Festival Sundance de Cinema
Festival Internacional de Cinema de Toronto
Festival de Cinema de Tribeca
Festroia
Festival Internacional de Curtas-Metragens de Upsala
Festival Varilux de Cinema Francês
Festival de Cinema de Vassouras
Festival Internacional de Cinema de Veneza
Festival de Cinema de Vitória
Watersprite Film Festival
WorldFest-Houston International Film Festival
Cinema
