6 de julho
1957
Rio de Janeiro
20 de novembro
2019
Brasileiros
Dora Pellegrino
Débora Kalume
Diretor de cinema
Ator
Produtor cinematográfico
Roteirista
O Quatrilho
Oscar de melhor filme estrangeiro
"Lula, o Filho do Brasil (filme)"
Filme biográfico
Luiz Inácio Lula da Silva
Cinema do Brasil
Luís Carlos Barreto
Lucy Barreto
Bruno Barreto
Curta-metragem
Vidas Secas (filme)
Carlos Diegues
Bye Bye Brasil
Longa-metragem
Festival de Cannes
"Índia, a Filha do Sol"
For All - O Trampolim da Vitória
Memórias do Cárcere (filme)
Déborah Kalume
19 de dezembro
2009
Acidente de automóvel
Rio de Janeiro (estado)
Traumatismo craniano
13 de janeiro
2010
21 de janeiro
Hidrocefalia
Deborah Kalume
Donas de Casa Desesperadas (série brasileira)
Nossa Senhora de Caravaggio (filme)
A Paixão de Jacobina
Bela Donna
Lambada (filme)
Luzia Homem (filme)
O Rei do Rio
Mané Garrincha (documentário de 1978)
Antônio de Siqueira Campos
Óscar
Festival de Havana
Festival de Brasília
IMDb
Base Virtual Internacional de Autoridade
Biblioteca Nacional da França
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
AllMovie
AlloCiné
