Organização não governamental
26 de novembro
1986
Lisboa
Portugal
Língua portuguesa
Angola
Brasil
Cabo Verde
Guiné-Bissau
Moçambique
São Tomé e Príncipe
Timor-Leste
Macau
Comunidade de Países de Língua Portuguesa
Intercâmbio educacional
Distribuição geográfica da língua portuguesa
Erasmus+
Países Africanos de Língua Oficial Portuguesa
América
Ásia
Europa
África
Acesso aberto
Instituto Camões
Fernão Mendes Pinto
Japão
Século XVI
Fac-símile
Organização dos Estados Ibero-americanos
União Europeia
Fundação Calouste Gulbenkian
International Standard Serial Number
Scientific Electronic Library Online
Latindex
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
European Science Foundation
Google Scholar
Digital object identifier
Comunidade dos Países de Língua Portuguesa
Francisco José Tenreiro
Universidade Técnica de Lisboa
Universidade Federal do Maranhão
Universidade de Caxias do Sul
Universidade Eduardo Mondlane
Universidade Agostinho Neto
Universidade do Algarve
Universidade Federal de Minas Gerais
Universidade Lúrio
Universidade de Macau
Universidade Mandume ya Ndemufayo
Universidade de Coimbra
Universidade de Cabo Verde
Instituto Superior de Ciências da Educação da Huíla
Universidade Católica de Angola
Universidade de Luanda
Universidade José Eduardo dos Santos
Universidade Katyavala Bwila
Universidade Privada de Angola
Universidade Técnica de Angola
Centro Estadual de Educação Tecnológica Paula Souza
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca
Centro Federal de Educação Tecnológica de Minas Gerais
UniBrasil
Centro Universitário Municipal de Franca
Centro Universitário do Rio Grande do Norte
Faculdade de Ciências Médicas de Minas Gerais
Fundação Oswaldo Cruz
Instituto Federal da Paraíba
Instituto Federal Farroupilha
Universidade da Integração Internacional da Lusofonia Afro-Brasileira
Universidade de Brasília
Universidade de Itaúna
Universidade de São Paulo
Universidade do Estado da Bahia
Universidade do Estado de Mato Grosso
Universidade do Estado do Rio de Janeiro
Universidade do Estado do Pará
Universidade Estadual da Paraíba
Universidade Estadual de Campinas
Universidade Estadual de Santa Cruz
Universidade Estadual Paulista
Universidade Federal da Bahia
Universidade Federal da Paraíba
Universidade Federal de Ciências da Saúde de Porto Alegre
Universidade Federal de Goiás
Universidade Federal de Alfenas
Universidade Federal de Mato Grosso
Universidade Federal de Pelotas
Universidade Federal de Pernambuco
Universidade Federal de Roraima
Universidade Federal de Santa Catarina
Universidade do Vale do Taquari
Universidade Federal de São Carlos
Universidade Federal de Uberlândia
Universidade Federal de Lavras
Universidade Federal do Amazonas
Universidade Federal do Agreste de Pernambuco
Universidade Federal do Espírito Santo
Universidade Federal do Pampa
Universidade Federal do Pará
Universidade Federal do Sul da Bahia
Universidade Federal do Recôncavo da Bahia
Universidade Federal do Rio de Janeiro
Universidade Federal do Rio Grande
Universidade Federal do Rio Grande do Norte
Universidade Federal do Rio Grande do Sul
Universidade Federal Fluminense
Universidade Tecnológica Federal do Paraná
Faculdade de Direito da Guiné-Bissau
Instituto Nacional de Estudos e Pesquisa
Universidade Lusófona da Guiné-Bissau
Instituto de Formação Turística de Macau
Universidade da Cidade de Macau
Universidade de Ciência e Tecnologia de Macau
Universidade de São José (Macau)
Instituto Politécnico de Macau
Instituto Superior Politécnico de Gaza
Universidade Joaquim Chissano
Universidade Alberto Chipande (UniAC)
Universidade Licungo
Universidade Católica de Moçambique
Universidade Pedagógica
Universidade Púnguè
Universidade Rovuma
Universidade Save
Universidade Zambeze
Escola Superior de Hotelaria e Turismo do Estoril
Instituto Piaget
Instituto Politécnico da Guarda
Instituto Politécnico de Beja
Instituto Politécnico de Bragança
Instituto Politécnico de Castelo Branco
Instituto Politécnico de Coimbra
Instituto Politécnico de Leiria
Instituto Politécnico de Lisboa
Instituto Politécnico de Santarém
Instituto Politécnico de Setúbal
Instituto Politécnico de Tomar
Instituto Politécnico de Viana do Castelo
Instituto Politécnico de Viseu
Instituto Politécnico do Cávado e do Ave
Instituto Politécnico do Porto
Instituto Superior de Gestão
Instituto Universitário da Maia
Instituto Universitário de Lisboa
Universidade Aberta
Universidade Autónoma de Lisboa
Universidade Católica Portuguesa
Universidade da Beira Interior
Universidade da Madeira
Universidade de Aveiro
Universidade de Évora
Universidade de Lisboa
Universidade de Trás-os-Montes e Alto Douro
Universidade do Minho
Universidade do Porto
Universidade Fernando Pessoa
Universidade Lusíada de Lisboa
Universidade Lusófona de Humanidades e Tecnologias
Universidade Nova de Lisboa
Universidade Portucalense Infante D. Henrique
Universidade de São Tomé e Príncipe
Universidade Nacional Timor Lorosa'e
França
Senegal
União das Cidades Capitais Luso-Afro-Américo-Asiáticas
Associação
