Século
Século XVIII
Século XIX
Século XX
Década
Década de 1830
Década de 1840
Década de 1850
Década de 1860
Década de 1870
Década de 1880
Década de 1890
Década de 1900
Década de 1910
Década de 1920
Década de 1930
Ano
1884
1885
1886
1887
1888
1890
1891
1892
1893
1894
Wikimedia
Calendário gregoriano
Ab urbe condita
Calendário arménio
Calendário bahá'í
Calendário budista
Calendário chinês
31 de janeiro
Calendário copta
Calendário etíope
Calendário hindu
Vikram Samvat
Calendário nacional indiano
Cáli Iuga
Calendário Holoceno
Calendário islâmico
Calendário judaico
Calendário persa
21 de março
Calendário rúnico
Calendário solar tailandês
Numeração romana
Ano comum
Calendário Gregoriano
Era de Cristo
Letra dominical
Terça-feira
15 de Novembro
Proclamação da República do Brasil
4 de Março
Benjamin Harrison
31 de Março
Torre Eiffel
Revolução Francesa
João Maria Pereira de Amaral e Pimentel
Bispo de Angra
Igreja da Misericórdia (Angra do Heroísmo)
Brasil
Hugo de Vries
Ermida do Senhor Bom Jesus (Fajã Grande)
Fajã Grande (Ilha de São Jorge)
1895
8 de janeiro
Herman Hollerith
Computador
10 de janeiro
Costa do Marfim
Protetorado
França
Presidente dos Estados Unidos
Paris
6 de maio
Colégio Militar do Rio de Janeiro
16 de maio
Missa
Ermida de São José
Ilha de São Jorge
6 de Julho
Santo Antão (Calheta)
Calheta (Açores)
15 de julho
Pedro II do Brasil
Império do Brasil
Rio de Janeiro (estado)
Revólver
Monarca
26 de agosto
Campo Grande (Mato Grosso do Sul)
Mato Grosso do Sul
23 de setembro
Fusajiro Yamauchi
Videogames
Nintendo
2 de novembro
Território de Dakota
Dakota do Norte
Dakota do Sul
Estados Unidos
8 de novembro
Montana
9 de novembro
Baile da Ilha Fiscal
11 de novembro
Washington
15 de novembro
Deodoro da Fonseca
16 de novembro
Quinta da Boa Vista
17 de novembro
Família imperial brasileira
19 de novembro
Bandeira do Brasil
Armas Nacionais do Brasil
Hino Nacional Brasileiro
Selo Nacional do Brasil
25 de novembro
Grã-Bretanha
Portugal
Angola
Moçambique
5 de dezembro
Família Imperial Brasileira
Lisboa
Proclamação da República Brasileira
3 de Fevereiro
Risto Ryti
Lista de presidentes da Finlândia
1956
19 de fevereiro
Ernest Marsden
1970
20 de Fevereiro
Laureano Gómez Castro
Lista de presidentes da Colômbia
Colômbia
1965
23 de fevereiro
Victor Fleming
16 de Abril
Charlie Chaplin
1977
20 de Abril
Adolf Hitler
Partido Nacional Socialista dos Trabalhadores Alemães
1945
26 de Abril
Ludwig Wittgenstein
1951
28 de Abril
António de Oliveira Salazar
12 de Maio
Abelardo Luján Rodríguez
Lista de chefes de Estado do México
1967
2 de junho
Martha Wentworth
1974
30 de junho
Alice B. Russell
1985
20 de agosto
Cora Coralina
26 de setembro
Martin Heidegger
1976
24 de Outubro
Ferhat Abbas
Lista de presidentes da Argélia
Argélia
Manuel II de Portugal
1932
24 de Novembro
Zalman Shazar
Lista de presidentes de Israel
25 de Dezembro
Osmín Aguirre y Salinas
Lista de presidentes de El Salvador
13 de fevereiro
João Maurício Wanderley
Lista de primeiros-ministros do Brasil
Lista de governadores da Bahia
1815
11 de Outubro
James Prescott Joule
1818
19 de Outubro
Luís I de Portugal
1838
28 de dezembro
Dona Teresa Cristina
Lista de imperatrizes do Brasil
1822
1889 na arte
1889 no Brasil
1889 na ciência
1889 no cinema
1889 no desporto
Divisões administrativas em 1889
1889 no jornalismo
1889 na literatura
1889 na música
1889 na política
1889 no teatro
1889 na televisão
