Türkiye (jornal)
Bandeira da Turquia
Emblema da Turquia
Língua turca
İstiklâl Marşı
Ancara
Istambul
Gentílico
Turcos (nacionalidade)
República
Estado unitário
Presidencialismo
Mustafa Kemal Atatürk
Presidente da Turquia
Recep Tayyip Erdoğan
Cevdet Yılmaz
Grande Assembleia Nacional da Turquia
Partição do Império Otomano
Império Otomano
Guerra de Independência da Turquia
29 de outubro
1923
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Grécia
Bulgária
Geórgia
Arménia
Azerbaijão
Irão
Iraque
Síria
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
1 000 000 000 000
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Lira turca
ISO 4217
Fuso horário
Horário da Turquia
ISO 3166-1
Lista de TLDs
.tr
Lista de códigos telefónicos
País transcontinental
Ásia Ocidental
Mar de Mármara
Europa Oriental
Anatólia
Trácia Oriental
Bálcãs
Enclave
Naquichevão
Mar Mediterrâneo
Chipre
Mar Egeu
Mar Negro
Bósforo
Dardanelos
Estreitos Turcos
Trácia
Migração humana
Império Seljúcida
Império Bizantino
Batalha de Manziquerta
Turcos seljúcidas
Sultanato de Rum
Império Mongol
Sultanato
Beilhique
Principado
Islão
Turcos otomanos
Sudeste da Europa
Sudoeste da Ásia
Norte da África
Primeira Guerra Mundial
Aliados da Primeira Guerra Mundial
Kemal Atatürk
Religião
Cristianismo
Judaísmo
Língua oficial
Língua curda
Curdos
Presidencialista
Mundo ocidental
Conselho da Europa
Organização do Tratado do Atlântico Norte
Organização para a Cooperação e Desenvolvimento Económico
Organização para a Segurança e Cooperação na Europa
G20
Adesão da Turquia à União Europeia
União Europeia
União aduaneira
Médio Oriente
Ásia Central
África
Organização para a Cooperação Islâmica
Organização de Cooperação Económica
Língua portuguesa
Comunidade dos Países de Língua Portuguesa
Forças Armadas da Turquia
Potência regional
Latim medieval
Grego medieval
Línguas turcomanas
Povos turcos
Língua árabe
Inscrições de Orkhon
Paisagem Cultural do Vale de Orkhon
Mongólia
Goturcos
Chineses
Montanhas Altai
História da Turquia
História da Anatólia
Göbekli Tepe
Biblioteca de Celso
Mundo greco-romano
Éfeso
Neolítico
Pınarbaşı (sítio arqueológico)
Aşıklı Höyük
Kaletepe Deresi
Çatalhüyük
Çayönü
Nevalı Çori
Hacılar Höyük
Yumuktepe
Mersin
Troia
Idade do Ferro
Línguas indo-europeias
Línguas semíticas
Línguas caucasianas meridionais
Língua hitita
Língua luvita
Hatitas
Hititas
Antigo Egito
Calcolítico
Língua acádia
Cultepe
Caiseri
Assíria
Caldeus
Babilônia (região)
Frígios
Reino da Frígia
Cimérios
Reino da Lídia
Reino da Cária
Reino da Lícia
Gregos
Eólios
Jônios
Mileto
Esmirna
Bizâncio
Hecateu de Mileto
Inscrição de Beistum
Dinastia orôntida
Império Aquemênida
"Alexandre, o Grande"
Período helenístico
Reino da Bitínia
Reino da Capadócia
Reino de Pérgamo
Reino do Ponto
República Romana
Dinastia arsácida da Arménia
Constantino I
Império Romano
Constantinopla
Queda do Império Romano
Emirado Danismêndida
Kızıl Kule
Castelo de Alânia
Alânia (Turquia)
Oguzes
História do Islão
Califado Abássida
Mar Cáspio
Mar de Aral
Grão-cã
Sudoeste Asiático
Osmã I
Balcãs
Levante (Mediterrâneo)
Sultão
"Maomé II, o Conquistador"
Queda de Constantinopla
Idade Média
"Solimão, o Magnífico"
Hungria
Mundo árabe
Norte de África
Viena
Liga Santa (1571)
República de Veneza
Espanha
Áustria
Casa de Habsburgo
Ordem Soberana e Militar de Malta
Batalha de Lepanto
Oceano Índico
Monopólio
Índia
Ásia Oriental
Descoberta do caminho marítimo para a Índia
Vasco da Gama
Alemanha
