Caboclo
Califado Abássida
Sultanato de Déli
Califado Fatímida
Império Aiúbida
Sultanato Mameluco do Cairo
Império Otomano
Unidade militar penal
830
1811
Língua árabe
Romanização (linguística)
Escravo
Pajem
Criado
Egito na Idade Média
Estepe Euroasiática
Circassianos
Abecásios
Georgianos
Armênios
Russos
Húngaros
Bálcãs
Albaneses
Gregos
Século IX
Século XIX
Egito
Síria
Levante (Mediterrâneo)
Mesopotâmia
Índia
Ilcanato
Batalha de Ain Jalut
1302
Cruzada
Maomé Ali
Carle Vernet
Zobair ibne Alauame
Otomão
Islã
Almotácime
Anarquia em Samarra
Século XXI
Califa
Abássidas
Bagdá
Turquia
Leste Europeu
Cáucaso
Tribo
Ibne Caldune
Islão
Retórica
Cristianismo
Janízaros
Política
Sheik
Sultão
Conspiração (política)
Nobreza
Sociedade
Sultões do Egito
Lista de sultões do Egito
Cavalaria
Casta
Militar
1250
1517
Xameçadim Iltutemis
Alaudim Maçude
Naceradim Mamude
Conflitos Luso-Turcos
Conflitos Luso-Mamelucos
Guerra Otomano-Mameluca (1485–1491)
Guerra Otomano-Mameluca (1516–1517)
Dinastia Bahri
História do Islã
International Standard Book Number
Bernard Lewis
Digital object identifier
Leiden
International Standard Serial Number
JSTOR
Base Virtual Internacional de Autoridade
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
Enciclopédia Treccani
