26 de junho
1852
Policiamento ostensivo
Federal
Ministério da Justiça e Segurança Pública (Brasil)
Governo federal do Brasil
Diretor executivo
Quartel (militar)
Brasília
Distrito Federal (Brasil)
Brasil
Polícia
Federação
Decreto
Pedro II do Brasil
Ferro
12 de abril
1990
Brasileiros
Rede Ferroviária Federal
Companhia Brasileira de Trens Urbanos
Metrô de Porto Alegre
Ministério do Desenvolvimento Regional
Ministério da Infraestrutura
Consolidação das Leis do Trabalho
Bahia
Polícia Rodoviária Federal
1996
Departamento Nacional de Estradas de Rodagem
Portaria
Constituição brasileira de 1988
Segurança pública
Imperador do Brasil
São Paulo (estado)
22 de abril
1862
Manuel Felizardo de Sousa e Melo
7 de setembro
1922
27 de julho
1945
Getúlio Vargas
18 de janeiro
1963
11 de dezembro
1973
5 de agosto
1988
26 de julho
1989
José Sarney
Ministério da Justiça (Brasil)
6 de junho
1991
Justiça do Trabalho
19 de novembro
1992
19 de fevereiro
1993
26 de outubro
3 de julho
1995
Ministério dos Transportes (Brasil)
28 de maio
2003
13 de setembro
2005
15 de março
2007
13 de junho
Tarso Genro
Luiz Inácio da Silva
1 de abril
2008
Advocacia-Geral da União
4 de junho
2010
14 de janeiro
2011
José Eduardo Cardozo
7 de fevereiro
8 de março
Dilma Rousseff
15 de junho
Medida provisória
Emendas parlamentares
João Paulo Cunha
Partido dos Trabalhadores
6 de julho
4 de agosto
28 de setembro
24 de novembro
13 de janeiro
2012
24 de agosto
Rio de Janeiro (estado)
Privatização no Brasil
Projeto de lei
Alta velocidade ferroviária
Lista de ferrovias do Brasil
Ministério da Segurança Pública (Brasil)
Transporte ferroviário do Brasil
Forças policiais do Brasil
Polícia Federal (Brasil)
Guarda Portuária
Departamento de Polícia Legislativa
Polícia do Senado Federal
Força Nacional de Segurança Pública
Polícias das Forças Armadas do Brasil
Polícia da Aeronáutica
Polícia do Exército (Brasil)
Polícias civis do Brasil
Polícia Civil do Estado do Acre
Polícia Civil do Estado de Alagoas
Polícia Civil do Estado do Amazonas
Polícia Civil do Estado da Bahia
Polícia Civil do Estado do Ceará
Polícia Civil do Distrito Federal
Polícia Civil do Estado do Espírito Santo
Polícia Civil do Estado de Goiás
Polícia Civil do Estado do Maranhão
Polícia Civil do Estado de Mato Grosso
Polícia Civil do Estado de Mato Grosso do Sul
Polícia Civil do Estado de Minas Gerais
Polícia Civil do Estado do Pará
Polícia Civil do Estado da Paraíba
Polícia Civil do Estado do Paraná
Polícia Civil do Estado de Pernambuco
Polícia Civil do Estado do Piauí
Polícia Civil do Estado do Rio de Janeiro
Polícia Civil do Estado do Rio Grande do Norte
Polícia Civil do Estado do Rio Grande do Sul
Polícia Civil do Estado de Rondônia
Polícia Civil de Roraima
Polícia Civil do Estado de Santa Catarina
Polícia Civil do Estado de São Paulo
Polícia Civil do Estado de Sergipe
Polícia Civil do Estado do Tocantins
Polícias científicas do Brasil
Centro de Perícias Forenses
Polícia Técnico-Científica (Amapá)
Departamento de Polícia Técnica (Bahia)
Superintendência de Polícia Técnico-Científica (Espírito Santo)
Superintendência de Polícia Técnico-Científica (Goiás)
Superintendência de Perícia Oficial e Identificação Técnica
Centro de Perícias Científicas Renato Chaves
Instituto de Polícia Científica
Polícia Científica (Paraná)
Instituto Técnico-Científico de Polícia do Rio Grande do Norte
Superintendência de Polícia Técnico-Científica (São Paulo)
Coordenadoria Geral de Perícias (Sergipe)
Superintendência de Polícia Técnico-Científica (Tocantins)
Polícias militares do Brasil
Polícia Militar do Estado do Acre
Polícia Militar de Alagoas
Polícia Militar do Estado do Amapá
Polícia Militar do Amazonas
Polícia Militar da Bahia
Polícia Militar do Estado do Ceará
Polícia Militar do Distrito Federal
Polícia Militar do Estado do Espírito Santo
Polícia Militar do Estado de Goiás
Polícia Militar do Estado do Maranhão
Polícia Militar do Estado de Mato Grosso
Polícia Militar de Mato Grosso do Sul
Polícia Militar do Estado de Minas Gerais
Polícia Militar do Estado do Pará
Polícia Militar da Paraíba
Polícia Militar do Paraná
Polícia Militar de Pernambuco
Polícia Militar do Estado do Piauí
Polícia Militar do Estado do Rio de Janeiro
Polícia Militar do Estado do Rio Grande do Norte
Brigada Militar do Rio Grande do Sul
Polícia Militar do Estado de Rondônia
Polícia Militar de Roraima
Polícia Militar de Santa Catarina
Polícia Militar do Estado de São Paulo
Polícia Militar do Estado de Sergipe
Polícia Militar do Estado do Tocantins
Corpos de bombeiros militares do Brasil
Corpo de Bombeiros Militar do Estado do Acre
Corpo de Bombeiros Militar do Estado de Alagoas
Corpo de Bombeiros Militar do Estado do Amapá
Corpo de Bombeiros Militar do Estado do Amazonas
Corpo de Bombeiros Militar da Bahia
Corpo de Bombeiros Militar do Estado do Ceará
Corpo de Bombeiros Militar do Distrito Federal
Corpo de Bombeiros Militar do Estado do Espírito Santo
Corpo de Bombeiros Militar do Estado de Goiás
Corpo de Bombeiros Militar do Estado do Maranhão
Corpo de Bombeiros Militar do Estado de Mato Grosso
Corpo de Bombeiros Militar do Estado de Mato Grosso do Sul
Corpo de Bombeiros Militar do Estado de Minas Gerais
Corpo de Bombeiros Militar do Estado do Pará
Corpo de Bombeiros Militar do Estado da Paraíba
Corpo de Bombeiros da Polícia Militar do Paraná
Corpo de Bombeiros Militar de Pernambuco
Corpo de Bombeiros Militar do Estado do Piauí
