Brasil
Sistema romano-germânico
Código Civil brasileiro
Direito privado
Common law
Direito romano
Corpus Juris Civilis
Independência do Brasil
Assembleia Constituinte do Brasil de 1823
Ordenações Filipinas
Francisco Inácio de Carvalho Moreira
Augusto Teixeira de Freitas
Joaquim Nabuco
Código civil
Código Civil alemão
Código Civil de Macau
Código Civil Português
Código napoleônico
International Standard Book Number
OCLC
Direito
Direito público
Direito internacional
Direito constitucional
Direitos fundamentais
Direito eleitoral
Direito administrativo
Direito ambiental
Direito urbanístico
Direito econômico
Direito financeiro
Direito tributário
Direito processual
Direito processual civil
Direito processual penal
Direito processual do trabalho
Direito penal
Direito previdenciário
Seguridade social
Direito militar
Direito penal militar no Brasil
Direito aéreo
Direito das coisas
Direito dos contratos
Direito de família
Direito das sucessões
Direito comercial
Direito bancário
Direito autoral
Direito marítimo
Direito internacional privado
Direito do consumidor
Direito do trabalho
Direito imobiliário
Direito digital
Direito religioso
Classificação decimal de direito
Direito comparado
Família romano-germânica de direitos
Direito canónico
Xaria
Halacá
Teoria geral do direito
Ciência do direito
Doutrina jurídica
História do direito
Filosofia do direito
Sociologia do direito
Antropologia do direito
Hermenêutica jurídica
Análise econômica do direito
Direito e moral
Estudo crítico do direito
Direitos humanos
Direitos das mulheres
Direitos dos animais
Direitos digitais
