5 de novembro
1932
Rio de Janeiro (cidade)
Distrito Federal do Brasil (1891-1960)
14 de abril
2012
Rio de Janeiro (estado)
Roteirista
Produtor cinematográfico
Diretor de cinema
Ana Maria Nascimento e Silva
Produtor
Ator
Cineasta
Brasil
Italianos
Cinema Novo
Glauber Rocha
Nelson Pereira dos Santos
Anos 1950
Crítico de cinema
Curta-metragens
RAI
Acidente vascular cerebral
O Gerente
O General
O Viajante
Natal da Portela
Ao sul do meu corpo
"Anchieta, José do Brasil"
"Amor, Carnaval e Sonhos"
A Casa Assassinada
Capitu (filme)
O desafio
Porto das Caixas
Caminhos
Festival de Brasília
Festival de Cinema Brasileiro de Miami
Festival de Moscou
Ir para cima
Wikiquote
Base Virtual Internacional de Autoridade
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Itaú Cultural
IMDb
AllMovie
AlloCiné
