Geórgia (Estados Unidos)
Bandeira da Geórgia
Brasão de armas da Geórgia
Tavisupleba
Territórios ocupados da Geórgia
Tiblíssi
Língua georgiana
Gentílico
Georgianos
República
Parlamentarismo
Presidente da Geórgia
Salome Zurabishvili
Lista de primeiros-ministros da Geórgia
Irakli Kobakhidze
História da Geórgia
Cólquida
Reino da Ibéria
Reino da Geórgia
1008
República Democrática da Geórgia
26 de maio
1918
União Soviética
9 de abril
1991
25 de dezembro
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Rússia
Azerbaijão
Arménia
Turquia
Mar Negro
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Lari (moeda)
ISO 4217
Fuso horário
Tempo Universal Coordenado
ISO 3166-1
Lista de TLDs
.ge
Lista de códigos telefónicos
Língua abecásia
Abecásia
Transliteração
País transcontinental
Fronteira continental
Europa Oriental
Ásia Ocidental
Estado unitário
Semipresidencialismo
Democracia representativa
Cutáissi
Batumi
Rustavi
Antiguidade clássica
Paganismo
Zoroastrismo
Cristianização da Ibéria
Davi IV da Geórgia
Tamara I da Geórgia
Império Russo
Revolução Russa de 1917
Invasão soviética da Geórgia
República Socialista Soviética Geórgia
Guerra Civil na Geórgia
Revolução Rosa
Grande Cáucaso
Línguas cartevélicas
Igreja Ortodoxa
Igreja Ortodoxa Georgiana
Ossétia do Sul
Reconhecimento internacional da independência de Abecásia e Ossétia do Sul
Guerra Russo-Georgiana
Conselho da Europa
Organização de Cooperação Econômica do Mar Negro
Organização para a Segurança e Cooperação na Europa
Eurocontrol
Organização do Tratado do Atlântico Norte
União Europeia
Língua grega
São Jorge
Império Romano do Oriente
Estrabão
Heródoto
Plutarco
Homero
Tito Lívio
Tácito
Península Ibérica
Dinastia Bagrationi
Homo erectus
Paleolítico
Vinho
Cultura de Shulaveri-Shomu
Pátera
Antínoo
Museu Nacional da Geórgia
Diauehi
Sispiritis
Mitologia grega
Velo de ouro
Jasão
Argonautas
Apolônio de Rodes
As Argonáuticas (Apolónio de Rodes)
Lázica
Guerra Lázica
Império Bizantino
Império Sassânida
Pérsia
Guerras romano-persas
Império Parta
Meribanes III
Tamara da Geórgia
Idade Média
Cazares
Pancrácio III da Geórgia
David IV da Geórgia
O Cavaleiro na Pele de Pantera
Turcos seljúcidas
Batalha de Didgori
Herdeiro aparente
Jorge III da Geórgia
Império Seljúcida
Vactangue VI de Cártlia
Império Corásmio
Jalaladim Mingueburnu
Jorge V de Geórgia
Demétrio II da Geórgia
Tamerlão
Confederação do Cordeiro Branco
Confederação do Cordeiro Negro
Império Safávida
Império Afexárida
Dinastia Cajar
Império Otomano
Caquécia
Ibéria (região do Cáucaso)
Paz de Amásia
Sulkhan-Saba Orbeliani
Reino da França
Estados Papais
Luís XIV de França
Papa Clemente XI
Pedro I da Rússia
Nader Xá
Reino de Cártlia-Caquécia
Heráclio II da Geórgia
Império Zand
Geórgia dentro do Império Russo
Tratado de Georgievsk
Jorge XII da Geórgia
Antônio II da Geórgia
Autocefalia
Paulo I da Rússia
Alexandre I da Rússia
São Petersburgo
Guerra Russo-Persa (1804-1813)
Tratado de Gulistan
Reino de Imerícia
República Socialista Soviética da Geórgia
Guerra Civil Russa
Menchevique
Noi Jordania
Reino Unido
Bélgica
Polônia
Guerra Georgiano-Armênia
Tuapse
Sochi
Anastas Mikoyan
Joseph Stalin
Sergo Ordzhonikidze
Exército Vermelho
Moscovo
Filipp Makharadze
Revolta de Agosto
República Socialista Federativa Soviética Transcaucasiana
Josef Stalin
Gori
Segunda Guerra Mundial
Alemanha Nazi
Referendo sobre a independência da Geórgia em 1991
Zviad Gamsakhurdia
Borjomi
Mikheil Saakashvili
Zurab Zhvania
Nino Burjanadze
Ajária
Relações entre Geórgia e Rússia
Gudauta
Limpeza étnica dos georgianos na Abecásia
Limpeza étnica dos georgianos na Ossétia do Sul
Tskhinvali
